datetime,KNCUSD_open,KNCUSD_high,KNCUSD_low,KNCUSD_close
2022-01-12 20:00:00,1.4337,1.4429,1.4136,1.4296
2022-01-12 21:00:00,1.4296,1.4513,1.4272,1.4368
2022-01-12 22:00:00,1.4383,1.4505,1.4121,1.4135
2022-01-12 23:00:00,1.412,1.418,1.4002,1.4029
2022-01-13 00:00:00,1.4043,1.4104,1.3846,1.3899
2022-01-13 01:00:00,1.3873,1.3943,1.376,1.3863
2022-01-13 02:00:00,1.3863,1.3889,1.383,1.3838
2022-01-13 03:00:00,1.3866,1.3869,1.3704,1.38
2022-01-13 04:00:00,1.3786,1.3919,1.3786,1.3881
2022-01-13 05:00:00,1.3861,1.3925,1.3835,1.3895
2022-01-13 06:00:00,1.3887,1.4026,1.3879,1.4011
2022-01-13 07:00:00,1.4011,1.4073,1.3969,1.4044
2022-01-13 08:00:00,1.4027,1.4446,1.4014,1.4393
2022-01-13 09:00:00,1.4393,1.4403,1.4262,1.4289
2022-01-13 10:00:00,1.4298,1.4374,1.429,1.4309
2022-01-13 11:00:00,1.4324,1.4324,1.4061,1.4089
2022-01-13 12:00:00,1.4091,1.4389,1.4082,1.4365
2022-01-13 13:00:00,1.4375,1.4478,1.4308,1.4456
2022-01-13 14:00:00,1.4462,1.455,1.4437,1.448
2022-01-13 15:00:00,1.4466,1.4479,1.3927,1.4161
2022-01-13 16:00:00,1.4137,1.425,1.3997,1.4151
2022-01-13 17:00:00,1.4141,1.4168,1.3727,1.386
2022-01-13 18:00:00,1.3844,1.3956,1.3803,1.3927
2022-01-13 19:00:00,1.3927,1.4015,1.3809,1.3956
2022-01-13 20:00:00,1.393,1.3974,1.3805,1.3935
2022-01-13 21:00:00,1.3949,1.4058,1.391,1.3927
2022-01-13 22:00:00,1.3933,1.3959,1.3802,1.3818
2022-01-13 23:00:00,1.3803,1.3962,1.3803,1.3822
2022-01-14 00:00:00,1.3822,1.4008,1.3716,1.3929
2022-01-14 01:00:00,1.3935,1.3953,1.3844,1.3899
2022-01-14 02:00:00,1.3874,1.4021,1.3711,1.3957
2022-01-14 03:00:00,1.3943,1.3962,1.3829,1.3863
2022-01-14 04:00:00,1.3865,1.3993,1.3844,1.3959
2022-01-14 05:00:00,1.3965,1.4207,1.3946,1.4171
2022-01-14 06:00:00,1.4176,1.4274,1.4132,1.4152
2022-01-14 07:00:00,1.4175,1.42,1.403,1.4085
