datetime,ALGOBUSD_open,ALGOBUSD_high,ALGOBUSD_low,ALGOBUSD_close
2022-02-17 11:00:00,0.9406,0.9446,0.9344,0.9365
2022-02-17 12:00:00,0.937,0.937,0.9215,0.9233
2022-02-17 13:00:00,0.9231,0.9258,0.8967,0.9169
2022-02-17 14:00:00,0.917,0.917,0.9034,0.9157
2022-02-17 15:00:00,0.9138,0.9138,0.8954,0.8986
2022-02-17 16:00:00,0.899,0.9063,0.8883,0.905
2022-02-17 17:00:00,0.9041,0.9093,0.8983,0.9054
2022-02-17 18:00:00,0.9056,0.9056,0.8944,0.8982
2022-02-17 19:00:00,0.8988,0.9052,0.8901,0.904
2022-02-17 20:00:00,0.9028,0.9112,0.8984,0.9057
2022-02-17 21:00:00,0.9067,0.9101,0.9039,0.9069
2022-02-17 22:00:00,0.9076,0.9124,0.906,0.9091
2022-02-17 23:00:00,0.9101,0.9128,0.9043,0.9043
2022-02-18 00:00:00,0.9055,0.9169,0.9055,0.9142
2022-02-18 01:00:00,0.9143,0.9177,0.9135,0.9164
2022-02-18 02:00:00,0.9172,0.9205,0.9101,0.9168
2022-02-18 03:00:00,0.9169,0.9268,0.9165,0.9245
2022-02-18 04:00:00,0.9245,0.9246,0.9216,0.9228
2022-02-18 05:00:00,0.9225,0.923,0.9162,0.9199
2022-02-18 06:00:00,0.92,0.9203,0.8986,0.8999
2022-02-18 07:00:00,0.9,0.9101,0.8964,0.9064
2022-02-18 08:00:00,0.9075,0.9084,0.8969,0.9043
2022-02-18 09:00:00,0.9046,0.9073,0.8774,0.8996
2022-02-18 10:00:00,0.901,0.9055,0.8802,0.8848
2022-02-18 11:00:00,0.8845,0.8968,0.8731,0.8848
2022-02-18 12:00:00,0.8851,0.8954,0.8851,0.8905
2022-02-18 13:00:00,0.8912,0.8972,0.8858,0.8972
2022-02-18 14:00:00,0.897,0.8979,0.8913,0.8957
2022-02-18 15:00:00,0.8961,0.8985,0.8857,0.8884
2022-02-18 16:00:00,0.89,0.8977,0.8873,0.8899
2022-02-18 17:00:00,0.8899,0.8934,0.8837,0.8908
2022-02-18 18:00:00,0.8908,0.8986,0.8895,0.8945
2022-02-18 19:00:00,0.8945,0.902,0.894,0.901
2022-02-18 20:00:00,0.9003,0.9056,0.8975,0.9014
2022-02-18 21:00:00,0.9017,0.9075,0.9004,0.907
2022-02-18 22:00:00,0.9074,0.9184,0.9045,0.9068
2022-02-18 23:00:00,0.9068,0.9138,0.9068,0.9133
2022-02-19 00:00:00,0.9119,0.9143,0.9095,0.9132
2022-02-19 01:00:00,0.9132,0.9175,0.9107,0.9172
2022-02-19 02:00:00,0.9159,0.9163,0.9114,0.9121
2022-02-19 03:00:00,0.9121,0.9128,0.8981,0.9012
2022-02-19 04:00:00,0.9001,0.9027,0.8968,0.8986
2022-02-19 05:00:00,0.8985,0.9007,0.888,0.8933
2022-02-19 06:00:00,0.8933,0.8952,0.8733,0.8793
2022-02-19 07:00:00,0.8798,0.8822,0.8734,0.8763
2022-02-19 08:00:00,0.8772,0.894,0.8694,0.89
2022-02-19 09:00:00,0.8894,0.8895,0.8786,0.8861
2022-02-19 10:00:00,0.886,0.8967,0.8828,0.8953
2022-02-19 11:00:00,0.8957,0.9097,0.8927,0.8969
2022-02-19 12:00:00,0.8957,0.9045,0.8931,0.9044
2022-02-19 13:00:00,0.9022,0.9033,0.8961,0.8991
2022-02-19 14:00:00,0.8993,0.8994,0.8874,0.8884
2022-02-19 15:00:00,0.8883,0.8938,0.8867,0.8931
2022-02-19 16:00:00,0.8928,0.8928,0.8845,0.8899
2022-02-19 17:00:00,0.8904,0.8956,0.8876,0.8948
2022-02-19 18:00:00,0.8948,0.9015,0.8916,0.8997
2022-02-19 19:00:00,0.8994,0.9004,0.8849,0.8878
2022-02-19 20:00:00,0.8889,0.8952,0.882,0.8942
2022-02-19 21:00:00,0.8954,0.8967,0.8816,0.8818
2022-02-19 22:00:00,0.8815,0.8825,0.8718,0.8742
2022-02-19 23:00:00,0.8741,0.8765,0.8616,0.8636
2022-02-20 00:00:00,0.8638,0.868,0.85,0.852
2022-02-20 01:00:00,0.8529,0.8553,0.842,0.8513
2022-02-20 02:00:00,0.8508,0.8576,0.8474,0.8572
2022-02-20 03:00:00,0.8574,0.8577,0.8394,0.8453
2022-02-20 04:00:00,0.8454,0.8543,0.8425,0.8501
2022-02-20 05:00:00,0.8505,0.8553,0.8453,0.8482
2022-02-20 06:00:00,0.848,0.8536,0.8464,0.8536
2022-02-20 07:00:00,0.8537,0.86,0.8475,0.8475
2022-02-20 08:00:00,0.8485,0.8506,0.8429,0.8432
2022-02-20 09:00:00,0.8444,0.8456,0.8326,0.8428
2022-02-20 10:00:00,0.8415,0.8526,0.8415,0.8501
2022-02-20 11:00:00,0.8488,0.8555,0.8444,0.8491
2022-02-20 12:00:00,0.8481,0.8533,0.8469,0.8515
2022-02-20 13:00:00,0.8515,0.8584,0.8504,0.8584
2022-02-20 14:00:00,0.8575,0.8575,0.8517,0.8537
2022-02-20 15:00:00,0.8537,0.8555,0.848,0.8514
2022-02-20 16:00:00,0.8514,0.8527,0.84,0.8486
2022-02-20 17:00:00,0.8492,0.8604,0.8457,0.8595
2022-02-20 18:00:00,0.8595,0.8631,0.8428,0.8455
2022-02-20 19:00:00,0.8444,0.859,0.838,0.859
2022-02-20 20:00:00,0.858,0.8758,0.8559,0.8682
2022-02-20 21:00:00,0.8687,0.8714,0.8673,0.87
2022-02-20 22:00:00,0.8701,0.8717,0.8632,0.866
2022-02-20 23:00:00,0.8669,0.8786,0.8669,0.8709
2022-02-21 00:00:00,0.8725,0.8764,0.8703,0.8707
2022-02-21 01:00:00,0.8706,0.8746,0.869,0.8725
2022-02-21 02:00:00,0.8727,0.8779,0.8696,0.8778
2022-02-21 03:00:00,0.8773,0.8786,0.8697,0.871
2022-02-21 04:00:00,0.8712,0.875,0.8674,0.8682
2022-02-21 05:00:00,0.8676,0.8699,0.8529,0.8569
2022-02-21 06:00:00,0.8564,0.8608,0.8365,0.84
2022-02-21 07:00:00,0.8384,0.8453,0.8317,0.8356
2022-02-21 08:00:00,0.8361,0.8361,0.818,0.8298
2022-02-21 09:00:00,0.8299,0.8659,0.8285,0.8619
2022-02-21 10:00:00,0.863,0.8722,0.8554,0.8561
2022-02-21 11:00:00,0.8558,0.8616,0.8548,0.8549
2022-02-21 12:00:00,0.8559,0.8589,0.8467,0.8477
2022-02-21 13:00:00,0.8486,0.8486,0.8249,0.8284
2022-02-21 14:00:00,0.8283,0.8356,0.8206,0.8313
2022-02-21 15:00:00,0.8294,0.8338,0.8257,0.83
2022-02-21 16:00:00,0.8294,0.8379,0.8024,0.8034
2022-02-21 17:00:00,0.8034,0.8126,0.7996,0.806
2022-02-21 18:00:00,0.805,0.8092,0.78,0.7856
2022-02-21 19:00:00,0.7852,0.7955,0.7798,0.7917
2022-02-21 20:00:00,0.7912,0.7989,0.7822,0.7929
2022-02-21 21:00:00,0.7923,0.7938,0.7843,0.7911
2022-02-21 22:00:00,0.7899,0.7899,0.7586,0.7637
2022-02-21 23:00:00,0.7642,0.7728,0.7639,0.767
2022-02-22 00:00:00,0.7668,0.7787,0.7648,0.7703
2022-02-22 01:00:00,0.7695,0.7805,0.7689,0.7772
