datetime,SOLUSDT_open,SOLUSDT_high,SOLUSDT_low,SOLUSDT_close
2022-01-15 07:00:00,145.59,145.79,145.13,145.41
2022-01-15 08:00:00,145.37,146.0,145.2,145.4
2022-01-15 09:00:00,145.29,145.68,144.82,145.54
2022-01-15 10:00:00,145.53,146.27,145.37,145.55
2022-01-15 11:00:00,145.48,146.82,145.39,146.35
2022-01-15 12:00:00,146.49,146.6,143.91,144.65
2022-01-15 13:00:00,144.61,145.48,144.25,145.44
2022-01-15 14:00:00,145.37,146.79,145.12,146.4
2022-01-15 15:00:00,146.35,148.67,145.9,148.17
2022-01-15 16:00:00,148.21,148.74,147.7,148.23
2022-01-15 17:00:00,148.22,148.83,147.9,148.39
2022-01-15 18:00:00,148.46,148.47,147.21,147.55
2022-01-15 19:00:00,147.62,148.4,147.44,148.17
2022-01-15 20:00:00,148.16,149.59,148.0,148.72
2022-01-15 21:00:00,148.63,149.19,147.6,148.06
2022-01-15 22:00:00,148.31,148.79,147.95,148.56
2022-01-15 23:00:00,148.56,148.64,147.41,147.67
2022-01-16 00:00:00,147.73,147.86,146.71,147.41
2022-01-16 01:00:00,147.41,148.19,147.1,147.1
2022-01-16 02:00:00,147.17,147.68,146.13,146.55
2022-01-16 03:00:00,146.41,147.29,146.13,146.93
2022-01-16 04:00:00,146.84,147.76,146.35,147.25
2022-01-16 05:00:00,147.2,147.56,146.5,146.59
2022-01-16 06:00:00,146.41,148.65,146.41,148.56
2022-01-16 07:00:00,148.52,150.07,148.33,149.92
2022-01-16 08:00:00,150.09,150.69,148.89,149.0
2022-01-16 09:00:00,149.46,149.5,148.8,149.47
2022-01-16 10:00:00,149.45,150.11,148.15,148.17
2022-01-16 11:00:00,148.14,148.61,147.67,148.09
2022-01-16 12:00:00,148.13,149.25,148.13,148.88
2022-01-16 13:00:00,149.14,149.97,147.09,149.88
2022-01-16 14:00:00,149.8,151.96,149.3,151.25
2022-01-16 15:00:00,151.21,151.39,149.66,150.1
2022-01-16 16:00:00,150.1,151.03,149.64,150.22
2022-01-16 17:00:00,150.47,150.65,149.07,149.62
2022-01-16 18:00:00,149.52,149.98,148.52,148.8
2022-01-16 19:00:00,148.81,148.92,147.8,147.84
2022-01-16 20:00:00,147.87,148.57,147.37,147.86
2022-01-16 21:00:00,147.87,148.08,146.22,146.83
2022-01-16 22:00:00,146.85,148.14,146.85,147.92
2022-01-16 23:00:00,147.92,148.4,147.29,148.11
2022-01-17 00:00:00,148.14,148.24,146.34,146.69
2022-01-17 01:00:00,146.69,146.82,145.53,145.91
2022-01-17 02:00:00,145.72,146.0,144.49,145.08
2022-01-17 03:00:00,144.96,145.15,142.66,142.79
2022-01-17 04:00:00,142.91,143.87,142.56,142.74
2022-01-17 05:00:00,142.65,143.17,141.74,143.12
2022-01-17 06:00:00,143.1,143.63,142.81,143.05
2022-01-17 07:00:00,143.1,143.72,143.09,143.36
2022-01-17 08:00:00,143.49,143.76,143.01,143.54
2022-01-17 09:00:00,143.67,144.03,143.19,143.78
2022-01-17 10:00:00,143.85,143.85,142.36,143.52
2022-01-17 11:00:00,143.56,143.7,142.34,142.45
2022-01-17 12:00:00,142.3,142.97,141.02,142.2
2022-01-17 13:00:00,142.14,142.9,142.03,142.42
2022-01-17 14:00:00,142.23,143.81,142.23,143.39
2022-01-17 15:00:00,143.0,143.28,141.72,142.17
2022-01-17 16:00:00,142.11,142.4,140.11,140.9
2022-01-17 17:00:00,140.91,140.91,139.21,139.87
2022-01-17 18:00:00,139.7,139.7,138.84,139.49
2022-01-17 19:00:00,139.17,140.1,139.17,139.86
2022-01-17 20:00:00,139.99,140.19,139.18,139.19
2022-01-17 21:00:00,139.19,139.57,137.12,138.02
2022-01-17 22:00:00,138.16,139.94,137.35,139.11
2022-01-17 23:00:00,139.18,140.3,139.16,139.8
2022-01-18 00:00:00,139.77,141.58,139.61,141.48
2022-01-18 01:00:00,141.45,141.85,140.41,140.87
2022-01-18 02:00:00,140.94,140.98,139.7,140.31
2022-01-18 03:00:00,140.26,140.55,138.97,139.03
2022-01-18 04:00:00,139.02,139.43,138.12,138.84
2022-01-18 05:00:00,138.84,139.26,138.27,139.08
2022-01-18 06:00:00,139.3,140.88,139.3,140.54
2022-01-18 07:00:00,140.21,140.71,139.51,140.12
2022-01-18 08:00:00,139.96,140.32,137.74,137.74
2022-01-18 09:00:00,137.72,138.17,136.05,137.41
2022-01-18 10:00:00,137.16,138.17,137.04,137.2
2022-01-18 11:00:00,137.1,137.73,136.96,137.66
2022-01-18 12:00:00,137.8,138.23,136.44,137.5
2022-01-18 13:00:00,137.5,137.56,135.24,136.48
2022-01-18 14:00:00,136.34,136.6,134.37,136.25
2022-01-18 15:00:00,136.03,137.74,135.74,136.64
2022-01-18 16:00:00,136.61,137.85,135.98,137.41
2022-01-18 17:00:00,137.22,137.67,136.1,136.1
2022-01-18 18:00:00,136.14,136.7,135.61,136.02
2022-01-18 19:00:00,136.0,137.53,135.98,137.03
2022-01-18 20:00:00,137.06,137.68,136.44,137.68
2022-01-18 21:00:00,137.61,140.84,137.38,140.67
