datetime,IDEXBUSD_open,IDEXBUSD_high,IDEXBUSD_low,IDEXBUSD_close
2022-02-19 12:00:00,0.17633,0.1829,0.17607,0.18184
2022-02-19 13:00:00,0.18161,0.1833,0.1767,0.17754
2022-02-19 14:00:00,0.17754,0.18257,0.17512,0.17775
2022-02-19 15:00:00,0.17794,0.19355,0.1776,0.18441
2022-02-19 16:00:00,0.18519,0.18975,0.17893,0.1877
2022-02-19 17:00:00,0.18741,0.18741,0.18211,0.18299
2022-02-19 18:00:00,0.18319,0.18422,0.17909,0.1794
2022-02-19 19:00:00,0.1794,0.18365,0.17878,0.1798
2022-02-19 20:00:00,0.18014,0.18469,0.17757,0.1812
2022-02-19 21:00:00,0.1816,0.1818,0.17701,0.17756
2022-02-19 22:00:00,0.17754,0.17754,0.17569,0.17685
2022-02-19 23:00:00,0.17685,0.17722,0.17205,0.17205
2022-02-20 00:00:00,0.172,0.174,0.16983,0.16983
2022-02-20 01:00:00,0.16985,0.17048,0.16556,0.16754
2022-02-20 02:00:00,0.16728,0.16915,0.16628,0.16872
2022-02-20 03:00:00,0.1688,0.16908,0.163,0.16426
2022-02-20 04:00:00,0.16414,0.17458,0.16405,0.17335
2022-02-20 05:00:00,0.1737,0.17824,0.17016,0.17391
2022-02-20 06:00:00,0.17398,0.17806,0.17259,0.17465
2022-02-20 07:00:00,0.17465,0.19645,0.17327,0.19074
2022-02-20 08:00:00,0.19121,0.21,0.19121,0.198
2022-02-20 09:00:00,0.19813,0.20296,0.185,0.1859
2022-02-20 10:00:00,0.18587,0.18816,0.18,0.18494
2022-02-20 11:00:00,0.18517,0.18638,0.17831,0.18247
2022-02-20 12:00:00,0.18247,0.18896,0.17966,0.183
2022-02-20 13:00:00,0.18286,0.18686,0.18127,0.18333
2022-02-20 14:00:00,0.18336,0.1895,0.17529,0.1759
2022-02-20 15:00:00,0.1759,0.17743,0.1727,0.17371
2022-02-20 16:00:00,0.17399,0.1753,0.16783,0.17026
2022-02-20 17:00:00,0.17053,0.17252,0.1679,0.17231
2022-02-20 18:00:00,0.17257,0.17433,0.17013,0.17013
2022-02-20 19:00:00,0.17051,0.17178,0.1691,0.17178
2022-02-20 20:00:00,0.17146,0.17522,0.17122,0.1745
2022-02-20 21:00:00,0.17448,0.17832,0.17388,0.17619
2022-02-20 22:00:00,0.17605,0.1781,0.17285,0.17381
2022-02-20 23:00:00,0.17392,0.17507,0.17187,0.17507
2022-02-21 00:00:00,0.17507,0.17627,0.17393,0.1753
2022-02-21 01:00:00,0.17533,0.17771,0.17468,0.17559
2022-02-21 02:00:00,0.17543,0.18258,0.1747,0.18056
2022-02-21 03:00:00,0.18005,0.18161,0.17624,0.17769
2022-02-21 04:00:00,0.17746,0.18066,0.17478,0.17487
2022-02-21 05:00:00,0.17479,0.17567,0.17068,0.17219
2022-02-21 06:00:00,0.1717,0.17285,0.16803,0.17202
2022-02-21 07:00:00,0.17186,0.173,0.16702,0.16883
2022-02-21 08:00:00,0.16886,0.17127,0.16571,0.17096
2022-02-21 09:00:00,0.17075,0.17552,0.16983,0.17433
2022-02-21 10:00:00,0.17435,0.17787,0.17185,0.1725
2022-02-21 11:00:00,0.17238,0.17348,0.169,0.16973
2022-02-21 12:00:00,0.16973,0.17187,0.16823,0.16902
2022-02-21 13:00:00,0.1691,0.17201,0.16591,0.16829
2022-02-21 14:00:00,0.16837,0.16964,0.16694,0.16887
2022-02-21 15:00:00,0.16885,0.17088,0.1674,0.16829
2022-02-21 16:00:00,0.16834,0.169,0.16255,0.16312
2022-02-21 17:00:00,0.16329,0.16498,0.15957,0.16081
2022-02-21 18:00:00,0.16077,0.16099,0.15578,0.15661
2022-02-21 19:00:00,0.1568,0.16039,0.15518,0.15847
2022-02-21 20:00:00,0.15881,0.16045,0.15669,0.15764
2022-02-21 21:00:00,0.15779,0.15813,0.15649,0.15666
2022-02-21 22:00:00,0.1566,0.1566,0.15176,0.15259
2022-02-21 23:00:00,0.15301,0.15418,0.15244,0.15262
2022-02-22 00:00:00,0.15271,0.15773,0.15242,0.15394
2022-02-22 01:00:00,0.15451,0.15956,0.15451,0.15733
2022-02-22 02:00:00,0.15746,0.15869,0.15516,0.15713
2022-02-22 03:00:00,0.15681,0.16351,0.15645,0.16137
2022-02-22 04:00:00,0.16149,0.16447,0.16034,0.16307
2022-02-22 05:00:00,0.16306,0.16447,0.16129,0.16418
2022-02-22 06:00:00,0.1639,0.1644,0.1606,0.16143
2022-02-22 07:00:00,0.16131,0.1627,0.15929,0.16083
2022-02-22 08:00:00,0.16101,0.16215,0.15896,0.16156
2022-02-22 09:00:00,0.16134,0.16357,0.15875,0.16274
2022-02-22 10:00:00,0.16272,0.16306,0.16024,0.16024
2022-02-22 11:00:00,0.16045,0.16226,0.1585,0.15945
2022-02-22 12:00:00,0.1597,0.16019,0.15748,0.15864
2022-02-22 13:00:00,0.15836,0.16025,0.15776,0.15881
2022-02-22 14:00:00,0.15842,0.16369,0.15764,0.16289
2022-02-22 15:00:00,0.1633,0.16357,0.16,0.16206
2022-02-22 16:00:00,0.16165,0.16252,0.16052,0.1608
2022-02-22 17:00:00,0.16098,0.1615,0.1603,0.16095
2022-02-22 18:00:00,0.16098,0.16771,0.16083,0.16445
2022-02-22 19:00:00,0.16476,0.16568,0.16275,0.16275
2022-02-22 20:00:00,0.16287,0.16334,0.1607,0.16115
2022-02-22 21:00:00,0.16093,0.16416,0.15962,0.15995
2022-02-22 22:00:00,0.15987,0.16122,0.15984,0.1611
2022-02-22 23:00:00,0.1607,0.16253,0.16,0.16253
2022-02-23 00:00:00,0.1626,0.16337,0.16127,0.16254
2022-02-23 01:00:00,0.1625,0.16389,0.16156,0.16193
2022-02-23 02:00:00,0.16207,0.16398,0.16163,0.16338
2022-02-23 03:00:00,0.16305,0.16832,0.16305,0.16652
2022-02-23 04:00:00,0.16652,0.16942,0.16585,0.167
2022-02-23 05:00:00,0.16685,0.1695,0.1656,0.16724
2022-02-23 06:00:00,0.16788,0.16818,0.16588,0.16684
2022-02-23 07:00:00,0.16684,0.17179,0.16645,0.16744
2022-02-23 08:00:00,0.16795,0.16932,0.16579,0.16602
2022-02-23 09:00:00,0.16613,0.16644,0.16249,0.16322
2022-02-23 10:00:00,0.16328,0.16341,0.16091,0.16224
2022-02-23 11:00:00,0.1623,0.16424,0.1603,0.16416
2022-02-23 12:00:00,0.16372,0.16534,0.15906,0.15945
2022-02-23 13:00:00,0.15941,0.15975,0.15779,0.15937
2022-02-23 14:00:00,0.15912,0.1603,0.15716,0.15811
2022-02-23 15:00:00,0.15806,0.15865,0.15666,0.15794
2022-02-23 16:00:00,0.15816,0.15898,0.15724,0.15769
2022-02-23 17:00:00,0.15761,0.1592,0.15589,0.15797
2022-02-23 18:00:00,0.15784,0.15798,0.15567,0.15618
2022-02-23 19:00:00,0.15645,0.15869,0.1562,0.15679
2022-02-23 20:00:00,0.15696,0.16162,0.15612,0.1579
2022-02-23 21:00:00,0.1579,0.15818,0.15227,0.15227
2022-02-23 22:00:00,0.15243,0.15334,0.14444,0.14444
2022-02-23 23:00:00,0.14446,0.14519,0.1382,0.1396
2022-02-24 00:00:00,0.13984,0.13985,0.13171,0.13412
2022-02-24 01:00:00,0.13438,0.13618,0.13122,0.13196
2022-02-24 02:00:00,0.13266,0.13311,0.12656,0.13194
2022-02-24 03:00:00,0.13192,0.13621,0.13158,0.13285
2022-02-24 04:00:00,0.13311,0.13641,0.1324,0.13306
2022-02-24 05:00:00,0.13306,0.1332,0.12904,0.13105
2022-02-24 06:00:00,0.13141,0.13329,0.12851,0.13281
2022-02-24 07:00:00,0.13234,0.13234,0.12935,0.13172
2022-02-24 08:00:00,0.13183,0.134,0.1308,0.13306
2022-02-24 09:00:00,0.13287,0.134,0.1309,0.13394
2022-02-24 10:00:00,0.13394,0.13911,0.13276,0.13741
2022-02-24 11:00:00,0.13732,0.142,0.13651,0.13909
2022-02-24 12:00:00,0.13909,0.13932,0.13581,0.13581
2022-02-24 13:00:00,0.1358,0.14309,0.1358,0.14077
2022-02-24 14:00:00,0.14032,0.14462,0.13982,0.14462
2022-02-24 15:00:00,0.14446,0.14797,0.14314,0.14465
2022-02-24 16:00:00,0.14467,0.14525,0.14207,0.14373
2022-02-24 17:00:00,0.14383,0.14468,0.13899,0.1395
2022-02-24 18:00:00,0.13948,0.14331,0.13948,0.14285
2022-02-24 19:00:00,0.14285,0.14668,0.1422,0.14281
2022-02-24 20:00:00,0.14276,0.14672,0.1425,0.14652
2022-02-24 21:00:00,0.14674,0.14868,0.14619,0.14766
2022-02-24 22:00:00,0.1476,0.14805,0.14467,0.14785
2022-02-24 23:00:00,0.14748,0.14887,0.1468,0.14862
2022-02-25 00:00:00,0.14862,0.14966,0.14564,0.14666
2022-02-25 01:00:00,0.14671,0.14821,0.14596,0.14777
2022-02-25 02:00:00,0.14777,0.14838,0.14692,0.14708
2022-02-25 03:00:00,0.14689,0.14723,0.1448,0.14621
2022-02-25 04:00:00,0.14598,0.14598,0.14115,0.14531
2022-02-25 05:00:00,0.14551,0.14615,0.14406,0.14513
2022-02-25 06:00:00,0.14534,0.14745,0.14467,0.1473
2022-02-25 07:00:00,0.14739,0.15331,0.1472,0.151
