datetime,FTMBUSD_open,FTMBUSD_high,FTMBUSD_low,FTMBUSD_close
2022-01-14 03:00:00,2.9643,2.9746,2.9038,2.9095
2022-01-14 04:00:00,2.9118,2.945,2.8845,2.8931
2022-01-14 05:00:00,2.8944,2.905,2.8081,2.8396
2022-01-14 06:00:00,2.842,2.855,2.8043,2.8489
2022-01-14 07:00:00,2.8484,2.916,2.8105,2.8821
2022-01-14 08:00:00,2.8821,2.9313,2.8673,2.8785
2022-01-14 09:00:00,2.8784,2.996,2.8712,2.9827
2022-01-14 10:00:00,2.9809,3.05,2.9518,3.0308
2022-01-14 11:00:00,3.0296,3.0664,2.9846,3.0307
2022-01-14 12:00:00,3.0318,3.0365,2.929,2.9422
2022-01-14 13:00:00,2.9435,2.9751,2.9275,2.9643
2022-01-14 14:00:00,2.9646,2.9814,2.9536,2.9563
2022-01-14 15:00:00,2.9595,2.9646,2.9173,2.9278
2022-01-14 16:00:00,2.9285,2.997,2.9276,2.9645
2022-01-14 17:00:00,2.9655,3.012,2.9532,2.9959
2022-01-14 18:00:00,2.9971,3.0089,2.9336,2.9582
2022-01-14 19:00:00,2.96,2.982,2.929,2.9653
2022-01-14 20:00:00,2.9695,2.9793,2.9376,2.9506
2022-01-14 21:00:00,2.9484,2.9642,2.9135,2.935
2022-01-14 22:00:00,2.935,2.9474,2.8681,2.8766
2022-01-14 23:00:00,2.8765,2.9,2.8664,2.8829
2022-01-15 00:00:00,2.8815,2.9087,2.8756,2.8983
2022-01-15 01:00:00,2.8984,2.9218,2.8944,2.9151
2022-01-15 02:00:00,2.9156,2.9175,2.8786,2.9019
2022-01-15 03:00:00,2.9015,2.9034,2.8719,2.887
2022-01-15 04:00:00,2.8861,2.8943,2.8404,2.8781
2022-01-15 05:00:00,2.8769,2.925,2.8718,2.8861
2022-01-15 06:00:00,2.8855,2.9,2.8582,2.8719
2022-01-15 07:00:00,2.8739,2.8851,2.835,2.867
2022-01-15 08:00:00,2.865,2.885,2.8454,2.8805
2022-01-15 09:00:00,2.8768,2.9102,2.863,2.8937
2022-01-15 10:00:00,2.898,2.9299,2.8808,2.9299
2022-01-15 11:00:00,2.93,2.933,2.8932,2.9132
2022-01-15 12:00:00,2.9132,2.9182,2.8798,2.9004
2022-01-15 13:00:00,2.9011,2.9059,2.887,2.8908
2022-01-15 14:00:00,2.8909,2.9306,2.8897,2.93
2022-01-15 15:00:00,2.9278,2.9499,2.9094,2.9355
2022-01-15 16:00:00,2.9333,2.942,2.887,2.92
2022-01-15 17:00:00,2.9192,2.9845,2.899,2.98
2022-01-15 18:00:00,2.9788,3.0432,2.9624,3.0052
2022-01-15 19:00:00,3.003,3.0492,3.0,3.0239
2022-01-15 20:00:00,3.0239,3.0403,2.9657,2.9679
2022-01-15 21:00:00,2.9672,2.9863,2.9364,2.9502
2022-01-15 22:00:00,2.947,2.9942,2.9438,2.9799
2022-01-15 23:00:00,2.9805,3.055,2.9805,3.0482
2022-01-16 00:00:00,3.0466,3.05,2.9874,2.9899
2022-01-16 01:00:00,2.9888,3.0886,2.9872,3.0834
2022-01-16 02:00:00,3.086,3.147,3.07,3.139
2022-01-16 03:00:00,3.1383,3.25,3.1381,3.2364
2022-01-16 04:00:00,3.2352,3.26,3.2151,3.2447
2022-01-16 05:00:00,3.249,3.3,3.225,3.2318
2022-01-16 06:00:00,3.2296,3.3237,3.216,3.2876
2022-01-16 07:00:00,3.2888,3.2977,3.2553,3.2807
2022-01-16 08:00:00,3.2807,3.2923,3.2321,3.2824
2022-01-16 09:00:00,3.286,3.3,3.2595,3.2819
2022-01-16 10:00:00,3.283,3.2861,3.2231,3.2541
2022-01-16 11:00:00,3.2543,3.2577,3.1918,3.2179
2022-01-16 12:00:00,3.2193,3.2387,3.2057,3.2128
2022-01-16 13:00:00,3.2121,3.2581,3.2069,3.2581
2022-01-16 14:00:00,3.2573,3.3187,3.253,3.277
2022-01-16 15:00:00,3.2775,3.3188,3.2587,3.2691
2022-01-16 16:00:00,3.2703,3.2958,3.235,3.2412
2022-01-16 17:00:00,3.2389,3.2891,3.2262,3.2863
2022-01-16 18:00:00,3.2847,3.3142,3.2665,3.311
2022-01-16 19:00:00,3.309,3.379,3.2884,3.2903
2022-01-16 20:00:00,3.29,3.2986,3.2282,3.2599
2022-01-16 21:00:00,3.2588,3.2664,3.196,3.2164
2022-01-16 22:00:00,3.2162,3.2272,3.1232,3.125
2022-01-16 23:00:00,3.1263,3.1768,3.1198,3.149
2022-01-17 00:00:00,3.149,3.188,3.1151,3.1841
2022-01-17 01:00:00,3.1853,3.2499,3.1785,3.2043
2022-01-17 02:00:00,3.2015,3.2419,3.1559,3.1608
2022-01-17 03:00:00,3.1619,3.1973,3.1548,3.1771
2022-01-17 04:00:00,3.1748,3.222,3.166,3.2047
2022-01-17 05:00:00,3.2055,3.216,3.1688,3.2057
2022-01-17 06:00:00,3.2043,3.2252,3.1851,3.1942
2022-01-17 07:00:00,3.193,3.209,3.1376,3.1589
2022-01-17 08:00:00,3.1595,3.179,3.1369,3.1573
2022-01-17 09:00:00,3.1583,3.1704,3.1401,3.1599
2022-01-17 10:00:00,3.1602,3.1627,3.0518,3.0672
2022-01-17 11:00:00,3.0668,3.0887,3.0235,3.05
2022-01-17 12:00:00,3.0452,3.0516,2.9797,3.0074
2022-01-17 13:00:00,3.0078,3.031,2.9584,3.0244
2022-01-17 14:00:00,3.0241,3.0472,3.0004,3.0084
2022-01-17 15:00:00,3.0073,3.01,2.9554,2.9763
2022-01-17 16:00:00,2.9763,2.9906,2.8846,2.9155
2022-01-17 17:00:00,2.9155,2.9868,2.8806,2.9462
2022-01-17 18:00:00,2.9481,2.9894,2.916,2.923
2022-01-17 19:00:00,2.923,2.9784,2.9168,2.968
2022-01-17 20:00:00,2.967,2.9808,2.9235,2.9326
2022-01-17 21:00:00,2.9355,2.971,2.8916,2.9541
2022-01-17 22:00:00,2.9533,2.9685,2.909,2.9262
2022-01-17 23:00:00,2.9259,2.9314,2.8493,2.8872
2022-01-18 00:00:00,2.8871,2.9,2.8583,2.8805
2022-01-18 01:00:00,2.8798,2.9727,2.8798,2.9482
2022-01-18 02:00:00,2.9498,2.966,2.9027,2.925
2022-01-18 03:00:00,2.9247,2.9347,2.8676,2.872
2022-01-18 04:00:00,2.8703,2.9011,2.8142,2.892
2022-01-18 05:00:00,2.8917,2.929,2.8705,2.8942
2022-01-18 06:00:00,2.8929,2.8967,2.843,2.8722
2022-01-18 07:00:00,2.8722,2.8833,2.7952,2.8346
2022-01-18 08:00:00,2.837,2.8432,2.7358,2.7693
2022-01-18 09:00:00,2.7716,2.7804,2.7085,2.7299
2022-01-18 10:00:00,2.73,2.7949,2.7138,2.7606
2022-01-18 11:00:00,2.7592,2.8197,2.75,2.8077
2022-01-18 12:00:00,2.8066,2.8426,2.7842,2.8059
2022-01-18 13:00:00,2.8046,2.8051,2.7531,2.787
2022-01-18 14:00:00,2.7904,2.8478,2.7866,2.8402
2022-01-18 15:00:00,2.8416,2.8749,2.8125,2.8749
2022-01-18 16:00:00,2.8749,2.9864,2.8534,2.9799
2022-01-18 17:00:00,2.9797,3.0137,2.9459,2.9989
2022-01-18 18:00:00,2.999,3.0152,2.9394,2.953
2022-01-18 19:00:00,2.9542,2.9848,2.923,2.9427
2022-01-18 20:00:00,2.9449,3.0094,2.9369,3.0051
2022-01-18 21:00:00,3.0046,3.0425,2.9671,2.9826
2022-01-18 22:00:00,2.9829,2.9874,2.8811,2.9231
2022-01-18 23:00:00,2.9248,2.9487,2.8895,2.9231
2022-01-19 00:00:00,2.9226,2.9562,2.8825,2.9063
2022-01-19 01:00:00,2.905,2.9378,2.8157,2.8336
2022-01-19 02:00:00,2.8329,2.8362,2.7564,2.7949
2022-01-19 03:00:00,2.7931,2.8392,2.7729,2.8172
2022-01-19 04:00:00,2.8158,2.8989,2.8067,2.8681
2022-01-19 05:00:00,2.8659,2.8816,2.8218,2.8663
2022-01-19 06:00:00,2.8663,2.9391,2.8622,2.92
2022-01-19 07:00:00,2.9211,2.9473,2.8829,2.8893
2022-01-19 08:00:00,2.8899,2.9379,2.8851,2.9261
2022-01-19 09:00:00,2.9262,3.005,2.903,3.0
2022-01-19 10:00:00,3.0019,3.0075,2.8928,2.9196
2022-01-19 11:00:00,2.9206,2.938,2.8469,2.8846
2022-01-19 12:00:00,2.8845,2.9316,2.8801,2.9149
2022-01-19 13:00:00,2.915,2.917,2.8648,2.899
2022-01-19 14:00:00,2.8965,2.9099,2.8547,2.8655
2022-01-19 15:00:00,2.865,2.8946,2.8283,2.8386
2022-01-19 16:00:00,2.8392,2.861,2.8135,2.8194
2022-01-19 17:00:00,2.8183,2.855,2.8042,2.8492
2022-01-19 18:00:00,2.847,2.8487,2.7619,2.7723
2022-01-19 19:00:00,2.7702,2.8055,2.7361,2.7817
2022-01-19 20:00:00,2.7814,2.7978,2.7488,2.785
2022-01-19 21:00:00,2.7845,2.8411,2.7827,2.8237
2022-01-19 22:00:00,2.8204,2.8395,2.8055,2.8219
2022-01-19 23:00:00,2.8219,2.8408,2.8064,2.8342
2022-01-20 00:00:00,2.8332,2.8445,2.8079,2.8291
2022-01-20 01:00:00,2.8309,2.8879,2.8268,2.8669
2022-01-20 02:00:00,2.8686,2.8806,2.8465,2.8706
2022-01-20 03:00:00,2.8711,2.8808,2.856,2.8774
2022-01-20 04:00:00,2.8762,2.88,2.8303,2.8702
2022-01-20 05:00:00,2.8719,2.8724,2.847,2.8673
2022-01-20 06:00:00,2.869,2.9014,2.8591,2.874
2022-01-20 07:00:00,2.8758,2.8758,2.8137,2.8378
2022-01-20 08:00:00,2.8378,2.9313,2.8283,2.9149
2022-01-20 09:00:00,2.9149,3.0189,2.9092,2.9985
2022-01-20 10:00:00,2.9983,3.0421,2.97,2.9892
2022-01-20 11:00:00,2.99,3.0112,2.9579,2.9808
2022-01-20 12:00:00,2.9844,2.9873,2.927,2.9366
2022-01-20 13:00:00,2.9386,2.9597,2.9322,2.9357
2022-01-20 14:00:00,2.9357,2.9642,2.9284,2.9406
