datetime,PLAUSD_open,PLAUSD_high,PLAUSD_low,PLAUSD_close
2022-01-05 18:00:00,1.477,1.4849,1.4549,1.4795
2022-01-05 19:00:00,1.4788,1.4838,1.4101,1.4154
2022-01-05 20:00:00,1.4137,1.4197,1.378,1.378
2022-01-05 21:00:00,1.3816,1.3934,1.33,1.33
2022-01-05 22:00:00,1.3329,1.3411,1.2524,1.3099
2022-01-05 23:00:00,1.3088,1.3495,1.3051,1.3244
2022-01-06 00:00:00,1.3212,1.342,1.3044,1.3299
2022-01-06 01:00:00,1.3314,1.3352,1.2865,1.3021
2022-01-06 02:00:00,1.297,1.3037,1.2708,1.2719
2022-01-06 03:00:00,1.272,1.2825,1.2482,1.2541
2022-01-06 04:00:00,1.2568,1.2799,1.2525,1.2712
2022-01-06 05:00:00,1.2788,1.2823,1.2609,1.2609
2022-01-06 06:00:00,1.2608,1.274,1.2467,1.2672
2022-01-06 07:00:00,1.2644,1.2715,1.2152,1.2362
2022-01-06 08:00:00,1.2364,1.2454,1.1238,1.1383
2022-01-06 09:00:00,1.1417,1.1589,1.0749,1.091
2022-01-06 10:00:00,1.0868,1.1362,1.05,1.0961
2022-01-06 11:00:00,1.0971,1.1813,1.0765,1.1077
2022-01-06 12:00:00,1.1054,1.1148,1.0492,1.0683
2022-01-06 13:00:00,1.0683,1.1008,1.04,1.0812
2022-01-06 14:00:00,1.0812,1.2411,1.0764,1.1719
2022-01-06 15:00:00,1.1719,1.192,1.09,1.1185
2022-01-06 16:00:00,1.1152,1.1354,1.0634,1.0669
2022-01-06 17:00:00,1.0684,1.2505,1.0654,1.205
2022-01-06 18:00:00,1.2054,1.258,1.1937,1.2519
2022-01-06 19:00:00,1.2519,1.2649,1.19,1.2559
2022-01-06 20:00:00,1.2547,1.2681,1.2201,1.2447
2022-01-06 21:00:00,1.2422,1.247,1.1651,1.2302
2022-01-06 22:00:00,1.2296,1.2556,1.2066,1.2358
2022-01-06 23:00:00,1.2358,1.2443,1.2174,1.2285
2022-01-07 00:00:00,1.224,1.248,1.2108,1.232
2022-01-07 01:00:00,1.234,1.26,1.2108,1.2524
2022-01-07 02:00:00,1.2521,1.2643,1.2409,1.2465
2022-01-07 03:00:00,1.2465,1.2496,1.1978,1.2009
2022-01-07 04:00:00,1.2019,1.2037,1.1517,1.2
2022-01-07 05:00:00,1.1954,1.22,1.1869,1.2165
2022-01-07 06:00:00,1.2199,1.2201,1.1968,1.1994
2022-01-07 07:00:00,1.1986,1.2221,1.1894,1.2209
2022-01-07 08:00:00,1.218,1.2397,1.2097,1.2252
2022-01-07 09:00:00,1.2277,1.2415,1.2254,1.2323
2022-01-07 10:00:00,1.2361,1.2375,1.2062,1.2101
2022-01-07 11:00:00,1.2114,1.2251,1.2089,1.2224
2022-01-07 12:00:00,1.2225,1.2395,1.2189,1.2317
2022-01-07 13:00:00,1.2311,1.2389,1.1832,1.2107
2022-01-07 14:00:00,1.2086,1.2485,1.2085,1.2206
2022-01-07 15:00:00,1.2162,1.2175,1.1818,1.203
2022-01-07 16:00:00,1.2039,1.2316,1.1742,1.2292
2022-01-07 17:00:00,1.2264,1.2303,1.2085,1.2156
2022-01-07 18:00:00,1.2156,1.2184,1.2047,1.2131
2022-01-07 19:00:00,1.2128,1.2176,1.2021,1.2071
2022-01-07 20:00:00,1.2068,1.2196,1.2007,1.211
2022-01-07 21:00:00,1.2157,1.22,1.2079,1.2144
2022-01-07 22:00:00,1.2117,1.2194,1.2,1.2068
2022-01-07 23:00:00,1.2016,1.2095,1.1929,1.2037
2022-01-08 00:00:00,1.2062,1.2261,1.2004,1.22
2022-01-08 01:00:00,1.2209,1.23,1.2151,1.2207
2022-01-08 02:00:00,1.2193,1.2193,1.1842,1.2038
2022-01-08 03:00:00,1.2014,1.2178,1.1956,1.2152
2022-01-08 04:00:00,1.2177,1.2205,1.2071,1.2112
2022-01-08 05:00:00,1.2126,1.2183,1.2047,1.2075
2022-01-08 06:00:00,1.2116,1.2133,1.2017,1.2116
2022-01-08 07:00:00,1.2097,1.2164,1.2039,1.208
2022-01-08 08:00:00,1.2089,1.2183,1.2071,1.216
