datetime,ALGOUSD_open,ALGOUSD_high,ALGOUSD_low,ALGOUSD_close
2022-01-07 19:00:00,1.4534,1.4567,1.4334,1.4482
2022-01-07 20:00:00,1.4487,1.4591,1.4318,1.4509
2022-01-07 21:00:00,1.4517,1.4592,1.4478,1.4535
2022-01-07 22:00:00,1.4532,1.4585,1.4267,1.4338
2022-01-07 23:00:00,1.4338,1.4463,1.4235,1.445
2022-01-08 00:00:00,1.4457,1.4633,1.4302,1.459
2022-01-08 01:00:00,1.4588,1.47,1.4449,1.4476
2022-01-08 02:00:00,1.4478,1.453,1.4351,1.445
2022-01-08 03:00:00,1.4454,1.4467,1.4291,1.4448
2022-01-08 04:00:00,1.445,1.4604,1.4431,1.4563
2022-01-08 05:00:00,1.4563,1.4563,1.4451,1.4492
2022-01-08 06:00:00,1.4493,1.4518,1.4369,1.4508
2022-01-08 07:00:00,1.4496,1.4542,1.4428,1.4468
2022-01-08 08:00:00,1.446,1.46,1.446,1.4525
2022-01-08 09:00:00,1.4532,1.457,1.4447,1.4539
2022-01-08 10:00:00,1.4537,1.4576,1.4433,1.4485
2022-01-08 11:00:00,1.4489,1.4489,1.4348,1.4408
2022-01-08 12:00:00,1.4408,1.448,1.431,1.4381
2022-01-08 13:00:00,1.4381,1.4476,1.4277,1.4396
2022-01-08 14:00:00,1.4403,1.4575,1.4231,1.4249
2022-01-08 15:00:00,1.4251,1.4277,1.3927,1.4004
2022-01-08 16:00:00,1.4004,1.409,1.3732,1.3773
2022-01-08 17:00:00,1.3777,1.3836,1.3402,1.3432
2022-01-08 18:00:00,1.3433,1.3672,1.3159,1.3273
2022-01-08 19:00:00,1.3265,1.3501,1.3209,1.3419
2022-01-08 20:00:00,1.3413,1.3637,1.3331,1.3532
2022-01-08 21:00:00,1.3532,1.396,1.3515,1.3952
2022-01-08 22:00:00,1.3958,1.4215,1.3935,1.4006
2022-01-08 23:00:00,1.4,1.4107,1.3825,1.3854
2022-01-09 00:00:00,1.3854,1.41,1.3711,1.4048
2022-01-09 01:00:00,1.4047,1.4116,1.3882,1.4033
2022-01-09 02:00:00,1.4029,1.4342,1.401,1.4316
2022-01-09 03:00:00,1.4312,1.4315,1.4159,1.4196
2022-01-09 04:00:00,1.4192,1.4318,1.4175,1.4295
2022-01-09 05:00:00,1.4301,1.4346,1.4085,1.4107
2022-01-09 06:00:00,1.4107,1.4162,1.4058,1.4087
2022-01-09 07:00:00,1.4087,1.4117,1.3976,1.3979
2022-01-09 08:00:00,1.3979,1.4077,1.3869,1.3901
2022-01-09 09:00:00,1.3897,1.3974,1.3777,1.3865
2022-01-09 10:00:00,1.3868,1.4082,1.3795,1.4047
2022-01-09 11:00:00,1.4047,1.4177,1.3999,1.4034
2022-01-09 12:00:00,1.404,1.4069,1.3936,1.4033
2022-01-09 13:00:00,1.4031,1.421,1.3893,1.3893
2022-01-09 14:00:00,1.3891,1.4046,1.3878,1.3938
2022-01-09 15:00:00,1.394,1.3965,1.3687,1.3878
2022-01-09 16:00:00,1.3877,1.4259,1.3833,1.4258
2022-01-09 17:00:00,1.426,1.4305,1.4162,1.4267
2022-01-09 18:00:00,1.4263,1.4274,1.4108,1.4136
2022-01-09 19:00:00,1.4136,1.4393,1.4108,1.4367
2022-01-09 20:00:00,1.4374,1.4417,1.4235,1.4245
2022-01-09 21:00:00,1.4247,1.43,1.4141,1.4161
2022-01-09 22:00:00,1.4159,1.4186,1.4033,1.4076
2022-01-09 23:00:00,1.4076,1.4092,1.3915,1.4009
2022-01-10 00:00:00,1.4008,1.4123,1.3929,1.394
2022-01-10 01:00:00,1.3934,1.3998,1.382,1.3875
