datetime,ONEBUSD_open,ONEBUSD_high,ONEBUSD_low,ONEBUSD_close
2022-01-07 15:00:00,0.30124,0.31,0.29841,0.30767
2022-01-07 16:00:00,0.30717,0.31099,0.30618,0.30995
2022-01-07 17:00:00,0.30968,0.30981,0.298,0.30298
2022-01-07 18:00:00,0.30273,0.30616,0.29714,0.30241
2022-01-07 19:00:00,0.30252,0.31822,0.30247,0.31555
2022-01-07 20:00:00,0.31567,0.31784,0.31026,0.3111
2022-01-07 21:00:00,0.3111,0.31548,0.3096,0.31374
2022-01-07 22:00:00,0.31356,0.31481,0.309,0.314
2022-01-07 23:00:00,0.31474,0.3211,0.31474,0.31779
2022-01-08 00:00:00,0.31766,0.32524,0.31566,0.32287
2022-01-08 01:00:00,0.32302,0.3236,0.31607,0.31772
2022-01-08 02:00:00,0.31743,0.31828,0.31454,0.31628
2022-01-08 03:00:00,0.31631,0.32114,0.31493,0.3186
2022-01-08 04:00:00,0.31897,0.325,0.31885,0.32357
2022-01-08 05:00:00,0.32362,0.32763,0.322,0.32619
2022-01-08 06:00:00,0.32612,0.32861,0.32205,0.32807
2022-01-08 07:00:00,0.32812,0.32986,0.32016,0.32602
2022-01-08 08:00:00,0.32579,0.32808,0.32263,0.3243
2022-01-08 09:00:00,0.32436,0.32702,0.31601,0.31712
2022-01-08 10:00:00,0.31724,0.31952,0.3134,0.31463
2022-01-08 11:00:00,0.31487,0.31488,0.29795,0.29842
2022-01-08 12:00:00,0.29858,0.30298,0.28601,0.28601
2022-01-08 13:00:00,0.28684,0.30269,0.28181,0.28748
2022-01-08 14:00:00,0.28714,0.29414,0.27833,0.291
2022-01-08 15:00:00,0.29066,0.29885,0.28822,0.29356
2022-01-08 16:00:00,0.29374,0.30566,0.2933,0.30122
2022-01-08 17:00:00,0.3014,0.31674,0.30029,0.311
2022-01-08 18:00:00,0.311,0.313,0.30471,0.30607
2022-01-08 19:00:00,0.30641,0.315,0.30031,0.31361
2022-01-08 20:00:00,0.31358,0.31686,0.30963,0.31331
2022-01-08 21:00:00,0.31331,0.32421,0.31303,0.32057
2022-01-08 22:00:00,0.32066,0.3249,0.31683,0.31765
2022-01-08 23:00:00,0.31765,0.32157,0.31437,0.32086
2022-01-09 00:00:00,0.32121,0.32217,0.31479,0.31631
2022-01-09 01:00:00,0.31599,0.31704,0.31141,0.31275
2022-01-09 02:00:00,0.31365,0.31714,0.30773,0.30798
2022-01-09 03:00:00,0.30815,0.31016,0.29802,0.29833
2022-01-09 04:00:00,0.29849,0.30076,0.2908,0.29256
2022-01-09 05:00:00,0.29257,0.30166,0.29191,0.3006
2022-01-09 06:00:00,0.29977,0.306,0.29922,0.30267
2022-01-09 07:00:00,0.30252,0.3039,0.29572,0.29775
2022-01-09 08:00:00,0.29771,0.30278,0.29336,0.29348
2022-01-09 09:00:00,0.29334,0.29863,0.29322,0.29568
2022-01-09 10:00:00,0.29538,0.29642,0.28878,0.29489
2022-01-09 11:00:00,0.29489,0.3032,0.2929,0.30308
2022-01-09 12:00:00,0.30308,0.30559,0.29942,0.30235
2022-01-09 13:00:00,0.3025,0.30271,0.2954,0.29573
2022-01-09 14:00:00,0.29584,0.30562,0.2943,0.30459
2022-01-09 15:00:00,0.30456,0.3058,0.29853,0.30119
2022-01-09 16:00:00,0.30112,0.3039,0.29505,0.29652
2022-01-09 17:00:00,0.29652,0.29906,0.29098,0.29322
2022-01-09 18:00:00,0.29353,0.2945,0.28888,0.29057
2022-01-09 19:00:00,0.29035,0.29098,0.28528,0.28559
2022-01-09 20:00:00,0.28557,0.29153,0.285,0.28865
2022-01-09 21:00:00,0.28866,0.28989,0.28457,0.28902
2022-01-09 22:00:00,0.2882,0.28931,0.28548,0.288
2022-01-09 23:00:00,0.288,0.29372,0.28593,0.2931
2022-01-10 00:00:00,0.29309,0.29518,0.29101,0.29243
2022-01-10 01:00:00,0.29236,0.29236,0.28685,0.28769
2022-01-10 02:00:00,0.2874,0.28975,0.28626,0.28966
2022-01-10 03:00:00,0.28948,0.29088,0.2832,0.2839
2022-01-10 04:00:00,0.28409,0.28509,0.28111,0.28333
