datetime,ZECUSD_open,ZECUSD_high,ZECUSD_low,ZECUSD_close
2022-01-11 13:00:00,142.01,143.07,140.92,141.36
2022-01-11 14:00:00,141.36,141.72,139.79,141.43
2022-01-11 15:00:00,141.57,141.99,140.56,141.57
2022-01-11 16:00:00,141.59,144.94,141.27,143.99
2022-01-11 17:00:00,143.98,145.23,141.05,141.19
2022-01-11 18:00:00,141.19,141.97,140.15,141.54
2022-01-11 19:00:00,141.63,142.02,141.11,141.56
2022-01-11 20:00:00,141.75,141.75,141.0,141.12
2022-01-11 21:00:00,140.97,141.72,140.61,141.65
2022-01-11 22:00:00,141.62,142.96,140.53,141.74
2022-01-11 23:00:00,141.64,142.45,141.2,141.46
2022-01-12 00:00:00,141.39,142.51,141.2,142.38
2022-01-12 01:00:00,142.22,142.46,141.5,141.64
2022-01-12 02:00:00,141.65,141.86,141.33,141.48
2022-01-12 03:00:00,141.45,141.57,141.15,141.54
2022-01-12 04:00:00,141.47,142.8,141.27,142.46
2022-01-12 05:00:00,142.38,143.06,141.77,142.48
2022-01-12 06:00:00,142.62,143.13,141.66,141.82
2022-01-12 07:00:00,141.76,141.84,140.67,141.11
2022-01-12 08:00:00,141.02,142.72,141.02,142.2
2022-01-12 09:00:00,142.22,144.49,142.1,143.45
2022-01-12 10:00:00,143.49,143.7,142.01,142.5
2022-01-12 11:00:00,142.52,144.02,141.24,141.66
2022-01-12 12:00:00,141.73,143.68,141.65,143.68
2022-01-12 13:00:00,143.56,145.97,143.08,145.46
2022-01-12 14:00:00,145.59,147.41,143.94,146.48
2022-01-12 15:00:00,146.55,147.79,144.14,145.15
2022-01-12 16:00:00,145.27,145.54,143.77,144.77
2022-01-12 17:00:00,144.67,144.81,143.27,143.88
2022-01-12 18:00:00,143.92,144.36,143.41,143.44
2022-01-12 19:00:00,143.46,143.78,143.04,143.76
2022-01-12 20:00:00,143.71,145.28,143.2,144.22
2022-01-12 21:00:00,144.2,145.21,143.28,143.42
2022-01-12 22:00:00,143.4,143.84,142.68,143.1
2022-01-12 23:00:00,143.09,144.49,142.72,144.49
2022-01-13 00:00:00,144.52,146.94,144.01,144.59
2022-01-13 01:00:00,144.63,145.78,143.67,144.12
2022-01-13 02:00:00,144.13,147.44,144.13,145.57
2022-01-13 03:00:00,145.49,146.02,144.29,145.89
2022-01-13 04:00:00,145.97,146.37,144.73,144.79
2022-01-13 05:00:00,144.71,146.5,144.09,145.79
2022-01-13 06:00:00,145.86,146.83,145.76,146.34
2022-01-13 07:00:00,146.34,147.08,145.22,146.2
2022-01-13 08:00:00,146.1,147.74,146.1,147.74
2022-01-13 09:00:00,147.72,149.98,147.72,149.03
2022-01-13 10:00:00,149.24,149.67,147.94,148.65
2022-01-13 11:00:00,148.82,149.0,145.27,145.86
2022-01-13 12:00:00,146.45,147.26,145.07,145.76
2022-01-13 13:00:00,145.61,146.56,145.35,145.96
2022-01-13 14:00:00,145.96,146.89,144.8,146.14
2022-01-13 15:00:00,146.27,146.28,141.24,142.84
2022-01-13 16:00:00,142.76,143.75,141.67,142.66
2022-01-13 17:00:00,142.66,142.77,140.84,142.03
2022-01-13 18:00:00,141.82,143.11,141.64,142.2
2022-01-13 19:00:00,142.24,143.16,141.24,142.61
2022-01-13 20:00:00,142.48,144.12,140.81,143.91
2022-01-13 21:00:00,143.98,146.81,143.6,145.52
2022-01-13 22:00:00,145.52,146.1,143.37,144.08
2022-01-13 23:00:00,144.08,145.01,142.93,143.25
2022-01-14 00:00:00,143.15,143.8,141.86,143.74
2022-01-14 01:00:00,143.94,144.81,142.6,142.6
2022-01-14 02:00:00,142.56,142.77,141.6,142.14
2022-01-14 03:00:00,142.14,142.31,139.55,140.1
2022-01-14 04:00:00,140.28,141.46,140.22,140.62
2022-01-14 05:00:00,140.68,142.01,140.39,141.92
2022-01-14 06:00:00,141.96,143.0,141.79,142.58
2022-01-14 07:00:00,142.72,143.16,141.1,141.67
2022-01-14 08:00:00,141.68,141.8,139.09,140.97
2022-01-14 09:00:00,140.96,142.21,140.47,142.2
2022-01-14 10:00:00,142.13,142.77,138.35,138.58
2022-01-14 11:00:00,138.74,139.14,136.78,138.62
2022-01-14 12:00:00,138.65,139.27,137.08,138.39
2022-01-14 13:00:00,138.31,139.48,137.87,138.72
2022-01-14 14:00:00,138.58,142.37,138.52,141.71
2022-01-14 15:00:00,141.53,142.53,140.75,141.69
2022-01-14 16:00:00,141.64,142.61,141.08,142.26
2022-01-14 17:00:00,142.26,142.46,140.22,140.44
2022-01-14 18:00:00,140.53,143.77,140.26,143.1
2022-01-14 19:00:00,143.18,143.97,142.44,142.49
2022-01-14 20:00:00,142.53,143.41,142.18,143.08
2022-01-14 21:00:00,143.01,143.92,142.97,143.59
2022-01-14 22:00:00,143.61,144.21,142.89,143.92
2022-01-14 23:00:00,143.92,144.4,141.93,142.55
2022-01-15 00:00:00,142.5,143.9,142.12,143.5
2022-01-15 01:00:00,143.53,143.59,141.83,142.26
2022-01-15 02:00:00,142.3,142.93,142.12,142.65
2022-01-15 03:00:00,142.58,142.78,142.18,142.48
2022-01-15 04:00:00,142.51,142.6,140.95,141.56
2022-01-15 05:00:00,141.55,142.51,141.37,142.31
2022-01-15 06:00:00,142.34,143.54,141.91,143.27
2022-01-15 07:00:00,143.18,143.83,142.29,143.25
2022-01-15 08:00:00,143.21,143.95,142.63,142.91
2022-01-15 09:00:00,142.97,143.47,142.23,142.93
2022-01-15 10:00:00,142.84,143.64,142.79,143.08
2022-01-15 11:00:00,143.12,143.79,143.04,143.42
2022-01-15 12:00:00,143.5,143.94,141.19,142.13
2022-01-15 13:00:00,142.15,142.68,141.38,142.42
2022-01-15 14:00:00,142.39,143.41,141.84,143.17
2022-01-15 15:00:00,143.16,146.34,143.05,145.74
2022-01-15 16:00:00,145.77,146.81,143.83,144.19
2022-01-15 17:00:00,144.37,144.85,143.85,144.5
2022-01-15 18:00:00,144.58,145.21,144.42,144.94
2022-01-15 19:00:00,144.9,145.89,144.75,145.53
2022-01-15 20:00:00,145.54,145.7,144.94,145.0
2022-01-15 21:00:00,145.02,145.59,144.46,144.46
2022-01-15 22:00:00,144.47,144.66,143.95,144.57
2022-01-15 23:00:00,144.54,145.29,143.82,144.36
2022-01-16 00:00:00,144.4,144.68,144.14,144.5
2022-01-16 01:00:00,144.49,145.48,143.96,145.22
2022-01-16 02:00:00,145.31,145.89,143.58,143.99
2022-01-16 03:00:00,143.95,144.17,143.12,143.54
2022-01-16 04:00:00,143.52,143.79,143.13,143.46
2022-01-16 05:00:00,143.47,143.68,142.34,142.44
2022-01-16 06:00:00,142.39,143.4,142.21,143.34
2022-01-16 07:00:00,143.31,143.46,143.0,143.28
2022-01-16 08:00:00,143.41,143.58,143.05,143.25
2022-01-16 09:00:00,143.25,143.65,143.03,143.34
2022-01-16 10:00:00,143.41,143.58,142.05,142.05
2022-01-16 11:00:00,142.04,142.43,141.46,142.15
2022-01-16 12:00:00,142.14,142.75,141.93,142.38
2022-01-16 13:00:00,142.34,142.47,140.34,142.09
2022-01-16 14:00:00,142.32,142.79,141.68,142.18
2022-01-16 15:00:00,142.14,142.65,141.67,142.04
2022-01-16 16:00:00,141.96,143.21,141.96,143.02
2022-01-16 17:00:00,143.08,143.16,141.5,141.64
2022-01-16 18:00:00,141.6,141.62,140.76,141.21
2022-01-16 19:00:00,141.21,141.22,140.34,140.34
2022-01-16 20:00:00,140.37,141.27,140.13,141.2
2022-01-16 21:00:00,140.98,141.03,140.36,140.93
2022-01-16 22:00:00,141.01,141.68,141.01,141.51
2022-01-16 23:00:00,141.37,141.8,141.17,141.52
2022-01-17 00:00:00,141.52,141.68,140.48,140.51
2022-01-17 01:00:00,140.51,140.74,140.17,140.27
2022-01-17 02:00:00,140.22,140.59,139.2,140.24
2022-01-17 03:00:00,140.32,140.67,137.49,137.49
2022-01-17 04:00:00,137.44,137.99,136.85,137.26
2022-01-17 05:00:00,137.27,137.57,135.72,137.56
2022-01-17 06:00:00,137.48,138.23,137.39,137.69
2022-01-17 07:00:00,137.55,138.55,137.55,137.79
2022-01-17 08:00:00,137.89,138.37,137.62,138.11
2022-01-17 09:00:00,138.31,139.68,138.06,139.37
2022-01-17 10:00:00,139.37,140.1,138.79,140.1
2022-01-17 11:00:00,140.14,141.46,139.95,140.15
2022-01-17 12:00:00,140.15,143.0,139.58,141.24
2022-01-17 13:00:00,141.37,141.77,140.36,140.91
2022-01-17 14:00:00,140.8,141.17,140.15,141.11
2022-01-17 15:00:00,140.98,140.98,138.81,139.08
2022-01-17 16:00:00,139.07,139.39,137.6,138.76
2022-01-17 17:00:00,138.76,138.78,136.97,137.25
2022-01-17 18:00:00,137.24,138.41,136.28,137.97
2022-01-17 19:00:00,138.01,138.53,137.79,138.5
2022-01-17 20:00:00,138.53,138.68,137.41,137.41
2022-01-17 21:00:00,137.35,137.73,134.55,135.57
2022-01-17 22:00:00,135.61,138.1,135.24,137.82
2022-01-17 23:00:00,137.84,139.44,137.71,138.84
2022-01-18 00:00:00,139.08,140.47,138.71,139.95
2022-01-18 01:00:00,140.14,140.5,139.38,140.48
2022-01-18 02:00:00,140.54,140.73,139.65,140.05
2022-01-18 03:00:00,140.1,140.47,138.32,138.43
2022-01-18 04:00:00,138.55,138.63,136.7,137.89
2022-01-18 05:00:00,137.66,138.41,137.03,138.11
2022-01-18 06:00:00,138.15,138.33,136.3,136.73
2022-01-18 07:00:00,136.73,136.82,134.24,134.95
2022-01-18 08:00:00,134.92,134.95,132.84,133.13
2022-01-18 09:00:00,133.44,133.58,131.3,132.61
2022-01-18 10:00:00,132.51,133.53,132.28,132.28
2022-01-18 11:00:00,132.3,132.78,131.54,132.72
2022-01-18 12:00:00,132.81,132.96,131.09,132.38
2022-01-18 13:00:00,132.4,132.4,130.24,131.11
2022-01-18 14:00:00,131.14,131.15,129.03,130.29
2022-01-18 15:00:00,130.22,131.09,129.84,129.95
2022-01-18 16:00:00,129.72,130.57,129.06,130.22
2022-01-18 17:00:00,130.23,130.33,128.63,129.1
2022-01-18 18:00:00,129.09,129.66,128.65,129.47
2022-01-18 19:00:00,129.53,130.65,129.36,130.38
