datetime,COMPUSD_open,COMPUSD_high,COMPUSD_low,COMPUSD_close
2022-02-25 06:00:00,107.24,108.66,106.85,108.36
2022-02-25 07:00:00,108.3,109.15,107.8,108.24
2022-02-25 08:00:00,108.11,108.24,106.49,107.41
2022-02-25 09:00:00,107.51,108.13,105.78,107.84
2022-02-25 10:00:00,108.0,108.14,106.9,107.59
2022-02-25 11:00:00,107.45,108.64,106.88,108.46
2022-02-25 12:00:00,108.55,113.03,108.55,112.85
2022-02-25 13:00:00,112.9,113.69,111.57,112.09
2022-02-25 14:00:00,112.2,113.4,111.4,111.46
2022-02-25 15:00:00,111.47,112.91,110.48,112.6
2022-02-25 16:00:00,112.51,113.15,111.54,112.6
2022-02-25 17:00:00,112.53,112.64,111.11,111.58
2022-02-25 18:00:00,111.74,111.89,110.36,111.17
2022-02-25 19:00:00,111.24,111.88,110.45,111.07
2022-02-25 20:00:00,111.12,112.54,110.48,111.96
2022-02-25 21:00:00,112.1,112.68,111.46,112.24
2022-02-25 22:00:00,112.24,114.08,111.76,113.92
2022-02-25 23:00:00,113.92,114.44,112.28,112.95
2022-02-26 00:00:00,112.93,116.27,112.53,115.38
2022-02-26 01:00:00,115.24,116.04,114.81,115.52
2022-02-26 02:00:00,115.36,115.72,114.68,115.58
2022-02-26 03:00:00,115.61,115.93,114.48,114.55
2022-02-26 04:00:00,114.56,115.76,114.56,115.41
2022-02-26 05:00:00,115.28,115.72,113.46,114.06
2022-02-26 06:00:00,114.07,114.59,113.56,114.16
2022-02-26 07:00:00,114.05,114.74,112.96,114.74
2022-02-26 08:00:00,114.73,115.72,113.09,113.82
2022-02-26 09:00:00,113.66,114.12,112.43,113.36
2022-02-26 10:00:00,113.38,114.45,113.16,114.19
2022-02-26 11:00:00,114.37,114.64,112.72,113.14
2022-02-26 12:00:00,113.21,113.5,112.31,113.15
2022-02-26 13:00:00,113.13,114.08,112.78,113.68
2022-02-26 14:00:00,113.64,114.32,112.99,114.14
2022-02-26 15:00:00,114.05,115.25,113.8,114.45
2022-02-26 16:00:00,114.31,114.89,113.68,114.53
2022-02-26 17:00:00,114.37,114.81,113.94,114.47
2022-02-26 18:00:00,114.42,114.75,111.73,112.98
2022-02-26 19:00:00,113.06,114.47,113.06,113.82
2022-02-26 20:00:00,113.9,114.92,113.71,114.39
2022-02-26 21:00:00,114.3,115.56,114.13,114.84
2022-02-26 22:00:00,114.81,114.82,113.16,113.37
2022-02-26 23:00:00,113.26,113.26,111.87,112.88
2022-02-27 00:00:00,113.09,113.29,109.52,110.16
2022-02-27 01:00:00,110.22,110.52,108.4,108.4
2022-02-27 02:00:00,108.41,109.47,108.34,109.21
2022-02-27 03:00:00,109.21,109.79,108.62,108.62
2022-02-27 04:00:00,108.67,109.29,108.13,108.46
2022-02-27 05:00:00,108.38,109.58,107.85,108.84
2022-02-27 06:00:00,108.82,110.1,108.42,110.05
2022-02-27 07:00:00,110.13,110.48,109.91,110.16
2022-02-27 08:00:00,110.14,110.45,109.22,110.07
2022-02-27 09:00:00,110.32,111.23,109.81,111.05
2022-02-27 10:00:00,111.1,112.34,110.35,112.14
2022-02-27 11:00:00,112.14,114.96,112.13,114.96
2022-02-27 12:00:00,114.91,115.97,114.33,115.73
2022-02-27 13:00:00,115.78,116.09,111.32,113.43
2022-02-27 14:00:00,113.53,115.24,112.38,114.37
2022-02-27 15:00:00,114.55,117.69,113.91,117.63
2022-02-27 16:00:00,117.61,117.77,116.23,116.92
2022-02-27 17:00:00,116.7,116.95,115.39,115.39
2022-02-27 18:00:00,115.38,116.36,114.6,115.18
2022-02-27 19:00:00,115.12,115.51,109.38,109.8
2022-02-27 20:00:00,109.87,110.49,106.89,107.33
2022-02-27 21:00:00,107.35,107.9,105.28,106.98
2022-02-27 22:00:00,106.71,108.29,106.65,108.12
2022-02-27 23:00:00,108.13,108.13,105.87,107.17
2022-02-28 00:00:00,107.07,107.29,105.25,105.69
2022-02-28 01:00:00,105.84,108.35,105.77,107.17
2022-02-28 02:00:00,107.35,107.45,105.68,106.38
2022-02-28 03:00:00,106.35,106.78,105.65,106.26
2022-02-28 04:00:00,106.42,107.26,105.79,106.17
2022-02-28 05:00:00,106.03,107.13,105.93,106.87
2022-02-28 06:00:00,107.02,107.57,105.47,107.2
2022-02-28 07:00:00,107.4,109.25,107.26,109.1
2022-02-28 08:00:00,109.01,110.3,109.01,110.1
2022-02-28 09:00:00,110.09,110.85,109.87,109.87
2022-02-28 10:00:00,109.85,111.17,109.81,111.17
2022-02-28 11:00:00,111.04,111.47,110.36,110.75
2022-02-28 12:00:00,110.78,111.77,110.08,110.54
2022-02-28 13:00:00,110.36,110.71,109.05,109.05
2022-02-28 14:00:00,109.04,113.69,108.85,113.6
2022-02-28 15:00:00,113.73,117.01,112.62,116.8
2022-02-28 16:00:00,116.92,118.41,116.33,117.17
2022-02-28 17:00:00,117.16,117.47,115.83,117.47
2022-02-28 18:00:00,117.63,117.78,116.91,117.03
2022-02-28 19:00:00,116.96,116.98,116.21,116.78
2022-02-28 20:00:00,116.86,117.95,116.5,117.14
2022-02-28 21:00:00,117.01,117.01,116.13,116.75
2022-02-28 22:00:00,116.76,120.13,116.61,118.44
2022-02-28 23:00:00,118.49,121.22,118.41,121.03
2022-03-01 00:00:00,121.02,123.14,121.02,122.58
2022-03-01 01:00:00,122.55,122.55,120.7,120.83
2022-03-01 02:00:00,120.82,121.16,119.88,120.84
2022-03-01 03:00:00,120.73,120.79,117.85,119.35
2022-03-01 04:00:00,119.3,120.68,118.99,120.61
2022-03-01 05:00:00,120.59,120.63,119.04,119.32
2022-03-01 06:00:00,119.33,122.22,117.75,121.49
2022-03-01 07:00:00,121.49,124.75,121.23,124.56
2022-03-01 08:00:00,124.59,125.59,124.0,125.26
2022-03-01 09:00:00,125.19,125.35,123.37,123.77
2022-03-01 10:00:00,123.77,124.44,121.46,124.25
2022-03-01 11:00:00,124.4,125.12,123.28,124.34
2022-03-01 12:00:00,124.34,125.5,123.34,125.26
2022-03-01 13:00:00,125.17,128.34,124.48,127.11
2022-03-01 14:00:00,127.08,128.4,123.66,124.04
2022-03-01 15:00:00,124.09,125.24,122.9,124.13
2022-03-01 16:00:00,124.21,125.26,122.44,122.99
2022-03-01 17:00:00,123.18,124.69,122.46,123.74
2022-03-01 18:00:00,123.76,125.08,122.91,124.83
2022-03-01 19:00:00,124.82,125.38,123.86,124.2
2022-03-01 20:00:00,124.21,126.23,124.07,126.23
2022-03-01 21:00:00,126.06,126.36,124.01,124.97
2022-03-01 22:00:00,124.75,126.06,124.39,125.79
2022-03-01 23:00:00,125.74,126.29,124.68,125.64
2022-03-02 00:00:00,125.76,125.96,121.43,122.93
2022-03-02 01:00:00,122.94,123.74,121.63,122.86
2022-03-02 02:00:00,122.84,124.14,122.41,123.91
2022-03-02 03:00:00,123.95,126.95,123.95,126.78
2022-03-02 04:00:00,126.78,126.94,124.62,124.9
2022-03-02 05:00:00,124.89,126.48,124.17,125.19
2022-03-02 06:00:00,125.06,125.24,122.45,122.48
