datetime,QNTUSD_open,QNTUSD_high,QNTUSD_low,QNTUSD_close
2022-01-05 09:00:00,183.16,183.66,182.07,182.83
2022-01-05 10:00:00,183.01,183.68,181.87,182.34
2022-01-05 11:00:00,182.2,182.26,179.65,179.93
2022-01-05 12:00:00,179.84,182.35,178.15,182.35
2022-01-05 13:00:00,182.41,183.66,181.54,183.48
2022-01-05 14:00:00,183.35,184.22,181.7,182.85
2022-01-05 15:00:00,182.92,184.86,181.77,183.49
2022-01-05 16:00:00,183.49,183.68,181.69,181.77
2022-01-05 17:00:00,181.93,183.67,180.12,180.14
2022-01-05 18:00:00,180.11,181.17,178.3,180.08
2022-01-05 19:00:00,180.25,180.83,175.03,175.23
2022-01-05 20:00:00,175.34,176.46,170.24,171.08
2022-01-05 21:00:00,170.95,174.0,165.71,168.15
2022-01-05 22:00:00,168.4,171.12,162.0,168.19
2022-01-05 23:00:00,168.37,173.65,164.86,166.48
2022-01-06 00:00:00,166.23,169.07,164.73,168.75
2022-01-06 01:00:00,168.97,175.21,165.84,168.4
2022-01-06 02:00:00,168.39,168.5,165.01,165.33
2022-01-06 03:00:00,165.19,165.92,161.63,161.63
2022-01-06 04:00:00,161.72,164.03,160.25,163.61
2022-01-06 05:00:00,163.87,164.24,160.0,160.75
2022-01-06 06:00:00,160.77,163.52,160.32,162.55
2022-01-06 07:00:00,162.58,165.14,162.21,164.46
2022-01-06 08:00:00,164.66,164.92,162.09,163.66
2022-01-06 09:00:00,163.89,164.04,156.86,158.75
2022-01-06 10:00:00,158.6,163.11,158.04,163.11
2022-01-06 11:00:00,163.19,163.91,161.04,163.6
2022-01-06 12:00:00,163.89,164.81,160.1,164.07
2022-01-06 13:00:00,164.35,165.49,161.6,162.98
2022-01-06 14:00:00,162.94,163.2,161.31,161.5
2022-01-06 15:00:00,161.56,164.93,160.47,162.74
2022-01-06 16:00:00,162.78,164.64,162.08,163.99
2022-01-06 17:00:00,164.27,168.1,163.2,165.94
2022-01-06 18:00:00,166.07,170.83,165.75,167.76
2022-01-06 19:00:00,167.88,175.82,167.15,175.82
2022-01-06 20:00:00,175.33,175.82,170.28,174.86
2022-01-06 21:00:00,174.86,185.34,172.99,181.24
2022-01-06 22:00:00,181.28,181.99,179.09,180.67
2022-01-06 23:00:00,180.72,183.17,178.02,178.46
2022-01-07 00:00:00,178.46,178.54,174.72,175.57
2022-01-07 01:00:00,175.46,182.93,175.18,181.63
2022-01-07 02:00:00,181.6,182.38,179.46,180.59
2022-01-07 03:00:00,180.83,182.11,170.68,175.68
2022-01-07 04:00:00,175.49,177.14,171.84,176.45
2022-01-07 05:00:00,176.27,186.21,175.74,181.61
2022-01-07 06:00:00,181.79,190.62,181.35,182.62
2022-01-07 07:00:00,182.66,187.46,176.36,185.29
2022-01-07 08:00:00,185.29,186.64,181.57,182.41
2022-01-07 09:00:00,182.29,185.26,182.06,182.99
2022-01-07 10:00:00,182.94,186.12,181.89,181.89
2022-01-07 11:00:00,181.87,182.83,179.79,180.56
2022-01-07 12:00:00,180.56,184.58,180.49,182.88
2022-01-07 13:00:00,182.88,187.41,177.16,182.16
2022-01-07 14:00:00,182.14,184.82,180.66,181.72
2022-01-07 15:00:00,181.72,182.27,175.8,179.24
2022-01-07 16:00:00,179.24,180.85,175.8,180.39
2022-01-07 17:00:00,180.17,181.78,179.55,181.78
2022-01-07 18:00:00,181.78,183.23,180.67,180.92
2022-01-07 19:00:00,180.92,181.32,179.54,180.82
2022-01-07 20:00:00,181.04,181.08,177.46,179.75
2022-01-07 21:00:00,179.72,180.35,176.76,176.86
2022-01-07 22:00:00,176.75,177.87,176.06,176.95
2022-01-07 23:00:00,176.93,178.04,175.07,177.7
2022-01-08 00:00:00,177.98,182.75,176.69,182.2
2022-01-08 01:00:00,182.15,184.32,180.81,181.44
2022-01-08 02:00:00,181.67,182.57,180.45,181.92
2022-01-08 03:00:00,181.91,183.96,181.04,183.41
2022-01-08 04:00:00,183.43,185.87,183.2,185.1
2022-01-08 05:00:00,185.19,186.28,184.84,185.3
2022-01-08 06:00:00,185.28,186.78,184.97,186.17
2022-01-08 07:00:00,186.42,187.0,184.75,185.23
2022-01-08 08:00:00,185.0,186.45,184.38,184.54
2022-01-08 09:00:00,184.6,186.33,183.37,186.33
2022-01-08 10:00:00,186.23,186.76,181.0,185.13
2022-01-08 11:00:00,185.23,186.76,184.93,185.59
2022-01-08 12:00:00,185.63,188.92,182.59,183.58
2022-01-08 13:00:00,183.63,184.46,181.25,182.0
2022-01-08 14:00:00,182.0,182.11,179.12,179.24
2022-01-08 15:00:00,179.28,179.68,175.6,177.19
2022-01-08 16:00:00,177.19,177.89,174.86,175.65
2022-01-08 17:00:00,175.73,176.59,170.22,170.61
2022-01-08 18:00:00,170.61,173.27,168.25,168.85
2022-01-08 19:00:00,169.1,172.58,168.44,170.82
2022-01-08 20:00:00,170.9,173.7,168.67,171.28
2022-01-08 21:00:00,171.3,175.46,169.69,173.88
2022-01-08 22:00:00,173.88,179.36,173.68,174.31
2022-01-08 23:00:00,173.99,174.53,171.56,172.72
2022-01-09 00:00:00,172.71,173.33,170.0,172.54
2022-01-09 01:00:00,172.9,175.13,171.53,174.97
2022-01-09 02:00:00,174.96,178.24,174.21,177.9
2022-01-09 03:00:00,177.95,177.95,173.81,174.15
2022-01-09 04:00:00,174.15,176.37,173.84,176.04
