datetime,SFPBUSD_open,SFPBUSD_high,SFPBUSD_low,SFPBUSD_close
2022-05-02 13:00:00,0.6159,0.6257,0.6134,0.6228
2022-05-02 14:00:00,0.6247,0.6375,0.6232,0.637
2022-05-02 15:00:00,0.6365,0.6369,0.629,0.629
2022-05-02 16:00:00,0.6284,0.6413,0.6262,0.6399
2022-05-02 17:00:00,0.6429,0.6442,0.637,0.637
2022-05-02 18:00:00,0.6378,0.6378,0.6365,0.6365
2022-05-02 19:00:00,0.6381,0.6388,0.6317,0.6357
2022-05-02 20:00:00,0.638,0.6421,0.6339,0.6421
2022-05-02 21:00:00,0.6449,0.6453,0.641,0.6414
2022-05-02 22:00:00,0.6413,0.6451,0.6413,0.6435
2022-05-02 23:00:00,0.6445,0.6451,0.6432,0.6432
2022-05-03 00:00:00,0.6432,0.65,0.6411,0.6489
2022-05-03 01:00:00,0.6495,0.6495,0.647,0.6482
2022-05-03 02:00:00,0.6473,0.648,0.6466,0.647
2022-05-03 03:00:00,0.647,0.657,0.647,0.6563
2022-05-03 04:00:00,0.6564,0.6564,0.6504,0.6504
2022-05-03 05:00:00,0.6521,0.653,0.6422,0.644
2022-05-03 06:00:00,0.644,0.6553,0.644,0.6552
2022-05-03 07:00:00,0.6575,0.6689,0.65,0.65
2022-05-03 08:00:00,0.6541,0.6544,0.6464,0.6514
2022-05-03 09:00:00,0.6521,0.6548,0.6442,0.6474
2022-05-03 10:00:00,0.6451,0.6495,0.644,0.6464
2022-05-03 11:00:00,0.646,0.6467,0.6365,0.6401
2022-05-03 12:00:00,0.6457,0.6473,0.6435,0.6435
2022-05-03 13:00:00,0.6407,0.6407,0.6282,0.6356
2022-05-03 14:00:00,0.6359,0.6419,0.6312,0.6336
2022-05-03 15:00:00,0.6343,0.6351,0.6281,0.6349
2022-05-03 16:00:00,0.6349,0.6403,0.6349,0.6397
2022-05-03 17:00:00,0.6383,0.6468,0.6383,0.6462
2022-05-03 18:00:00,0.6442,0.6445,0.6376,0.6376
2022-05-03 19:00:00,0.6457,0.6464,0.645,0.6464
2022-05-03 20:00:00,0.6464,0.6478,0.6437,0.646
2022-05-03 21:00:00,0.6465,0.6537,0.6465,0.6535
2022-05-03 22:00:00,0.6511,0.6532,0.649,0.6532
2022-05-03 23:00:00,0.6518,0.6518,0.645,0.647
2022-05-04 00:00:00,0.645,0.6454,0.6426,0.645
2022-05-04 01:00:00,0.6489,0.6537,0.6489,0.6528
2022-05-04 02:00:00,0.652,0.6574,0.6493,0.6553
2022-05-04 03:00:00,0.6577,0.67,0.6577,0.6619
2022-05-04 04:00:00,0.6619,0.6634,0.6582,0.6582
2022-05-04 05:00:00,0.6582,0.6676,0.6572,0.6654
2022-05-04 06:00:00,0.6676,0.6685,0.6621,0.6652
2022-05-04 07:00:00,0.6654,0.6655,0.6552,0.6588
2022-05-04 08:00:00,0.6594,0.6597,0.6528,0.6533
2022-05-04 09:00:00,0.651,0.6554,0.6508,0.6508
2022-05-04 10:00:00,0.65,0.6543,0.6458,0.6531
2022-05-04 11:00:00,0.6544,0.6636,0.6544,0.658
2022-05-04 12:00:00,0.6601,0.6637,0.6512,0.6595
2022-05-04 13:00:00,0.6601,0.681,0.6532,0.6797
2022-05-04 14:00:00,0.681,0.6861,0.6784,0.6861
2022-05-04 15:00:00,0.6847,0.6913,0.6841,0.6891
2022-05-04 16:00:00,0.6904,0.6904,0.6837,0.6855
2022-05-04 17:00:00,0.6855,0.6869,0.6827,0.6832
2022-05-04 18:00:00,0.684,0.6918,0.684,0.6906
2022-05-04 19:00:00,0.6917,0.6975,0.6892,0.6955
2022-05-04 20:00:00,0.6974,0.6982,0.695,0.695
2022-05-04 21:00:00,0.6923,0.6985,0.6923,0.6981
2022-05-04 22:00:00,0.6962,0.6962,0.6926,0.6926
2022-05-04 23:00:00,0.6946,0.6963,0.6908,0.6963
2022-05-05 00:00:00,0.6965,0.6973,0.6844,0.6844
2022-05-05 01:00:00,0.6886,0.692,0.6857,0.6864
2022-05-05 02:00:00,0.6848,0.6866,0.6821,0.6866
2022-05-05 03:00:00,0.6847,0.6879,0.6764,0.6781
2022-05-05 04:00:00,0.6794,0.6818,0.672,0.6758
2022-05-05 05:00:00,0.6759,0.6883,0.6759,0.6877
2022-05-05 06:00:00,0.6877,0.6881,0.68,0.68
2022-05-05 07:00:00,0.68,0.6863,0.6779,0.6835
2022-05-05 08:00:00,0.683,0.683,0.6688,0.6688
2022-05-05 09:00:00,0.6699,0.6701,0.6482,0.65
2022-05-05 10:00:00,0.6482,0.6482,0.615,0.622
2022-05-05 11:00:00,0.6217,0.6293,0.6187,0.6215
2022-05-05 12:00:00,0.6237,0.6252,0.6161,0.6161
2022-05-05 13:00:00,0.6173,0.6209,0.6091,0.6176
2022-05-05 14:00:00,0.6176,0.6269,0.6104,0.6269
2022-05-05 15:00:00,0.6256,0.6359,0.6242,0.6359
2022-05-05 16:00:00,0.6365,0.6402,0.6353,0.6376
2022-05-05 17:00:00,0.6336,0.6383,0.6276,0.6276
2022-05-05 18:00:00,0.6304,0.6367,0.6304,0.6367
2022-05-05 19:00:00,0.6356,0.6367,0.6285,0.6319
2022-05-05 20:00:00,0.6335,0.6335,0.6291,0.6327
2022-05-05 21:00:00,0.6343,0.6455,0.6343,0.645
2022-05-05 22:00:00,0.64,0.6417,0.6379,0.641
2022-05-05 23:00:00,0.6418,0.6418,0.6341,0.6341
2022-05-06 00:00:00,0.6394,0.6435,0.6378,0.6404
2022-05-06 01:00:00,0.6422,0.6434,0.6388,0.639
2022-05-06 02:00:00,0.6388,0.6388,0.6172,0.629
2022-05-06 03:00:00,0.622,0.6298,0.622,0.6285
2022-05-06 04:00:00,0.6285,0.6384,0.6267,0.6384
2022-05-06 05:00:00,0.6365,0.6365,0.6219,0.6247
2022-05-06 06:00:00,0.624,0.6273,0.6161,0.6227
2022-05-06 07:00:00,0.6247,0.6373,0.6214,0.629
2022-05-06 08:00:00,0.6307,0.6349,0.6114,0.6187
2022-05-06 09:00:00,0.6179,0.6342,0.6172,0.6331
2022-05-06 10:00:00,0.6349,0.6586,0.6331,0.6419
2022-05-06 11:00:00,0.6407,0.6427,0.6336,0.6425
2022-05-06 12:00:00,0.6399,0.6399,0.6343,0.6343
2022-05-06 13:00:00,0.6335,0.6414,0.632,0.6414
2022-05-06 14:00:00,0.6393,0.6473,0.6382,0.645
2022-05-06 15:00:00,0.6418,0.6432,0.6387,0.6417
2022-05-06 16:00:00,0.643,0.643,0.6357,0.6357
2022-05-06 17:00:00,0.6381,0.6412,0.634,0.6403
2022-05-06 18:00:00,0.6403,0.6459,0.6382,0.6407
2022-05-06 19:00:00,0.6395,0.6427,0.6366,0.6402
2022-05-06 20:00:00,0.6385,0.6405,0.6346,0.6405
2022-05-06 21:00:00,0.6398,0.6401,0.6291,0.63
2022-05-06 22:00:00,0.6294,0.63,0.6216,0.6224
