datetime,YFIBUSD_open,YFIBUSD_high,YFIBUSD_low,YFIBUSD_close
2022-03-21 01:00:00,20094.06,20190.11,20034.32,20112.01
2022-03-21 02:00:00,20081.9,20258.83,20038.01,20258.83
2022-03-21 03:00:00,20227.39,20358.97,20186.85,20186.85
2022-03-21 04:00:00,20164.69,20201.63,20064.89,20201.63
2022-03-21 05:00:00,20223.39,20317.84,20215.22,20241.92
2022-03-21 06:00:00,20225.2,20332.69,20225.2,20278.7
2022-03-21 07:00:00,20314.92,20362.6,20115.43,20362.6
2022-03-21 08:00:00,20318.13,20537.55,20317.75,20371.51
2022-03-21 09:00:00,20430.08,20480.79,20202.69,20326.02
2022-03-21 10:00:00,20319.37,20483.07,20318.88,20432.35
2022-03-21 11:00:00,20453.29,20571.75,20307.89,20363.62
2022-03-21 12:00:00,20371.73,20628.88,20285.54,20430.61
2022-03-21 13:00:00,20493.26,20526.37,20303.93,20363.62
2022-03-21 14:00:00,20395.36,20396.03,20275.0,20358.32
2022-03-21 15:00:00,20331.3,20423.76,20244.07,20244.07
2022-03-21 16:00:00,20240.29,20369.41,20144.21,20369.41
2022-03-21 17:00:00,20385.14,20393.62,20285.54,20367.66
2022-03-21 18:00:00,20346.55,20367.66,20244.07,20362.26
2022-03-21 19:00:00,20362.13,20367.01,19956.18,20109.1
2022-03-21 20:00:00,20147.42,20147.42,20033.37,20119.12
2022-03-21 21:00:00,20147.42,20746.21,20140.91,20691.7
2022-03-21 22:00:00,20753.49,20974.33,20680.7,20680.7
2022-03-21 23:00:00,20698.16,21088.61,20698.16,20825.57
2022-03-22 00:00:00,20831.29,20885.63,20652.65,20753.49
2022-03-22 01:00:00,20725.3,20725.3,20429.51,20472.86
2022-03-22 02:00:00,20571.75,20666.78,20571.75,20628.76
2022-03-22 03:00:00,20637.25,20753.49,20590.81,20694.97
2022-03-22 04:00:00,20695.55,20734.97,20578.18,20661.93
2022-03-22 05:00:00,20688.83,20810.0,20688.83,20704.89
2022-03-22 06:00:00,20704.89,20767.29,20657.05,20673.81
2022-03-22 07:00:00,20699.99,20746.55,20528.15,20570.35
2022-03-22 08:00:00,20602.53,20602.53,20353.76,20433.54
2022-03-22 09:00:00,20446.0,20890.03,20424.32,20646.42
2022-03-22 10:00:00,20645.43,20711.37,20447.03,20456.68
2022-03-22 11:00:00,20439.45,20578.51,20412.15,20468.13
2022-03-22 12:00:00,20473.82,20571.75,20473.82,20523.04
2022-03-22 13:00:00,20505.1,20513.81,20239.14,20404.26
2022-03-22 14:00:00,20404.97,20468.15,20268.03,20268.03
2022-03-22 15:00:00,20244.13,20380.96,20244.13,20380.96
2022-03-22 16:00:00,20385.81,20506.38,20385.81,20478.16
2022-03-22 17:00:00,20476.62,20477.22,20322.05,20364.15
2022-03-22 18:00:00,20340.8,20410.15,20307.89,20322.38
2022-03-22 19:00:00,20325.94,20367.66,20234.57,20347.48
2022-03-22 20:00:00,20291.86,20297.51,20035.5,20297.51
2022-03-22 21:00:00,20318.75,20426.98,20262.55,20269.8
2022-03-22 22:00:00,20266.68,20266.68,20021.19,20101.95
2022-03-22 23:00:00,20104.6,20119.12,19934.89,20036.96
2022-03-23 00:00:00,20029.18,20210.1,20029.18,20210.1
2022-03-23 01:00:00,20181.93,20257.11,20181.93,20185.97
2022-03-23 02:00:00,20196.31,20196.31,20098.0,20110.6
2022-03-23 03:00:00,20146.97,20160.33,20033.37,20125.43
2022-03-23 04:00:00,20160.33,20200.0,20027.22,20124.86
