datetime,SOLBUSD_open,SOLBUSD_high,SOLBUSD_low,SOLBUSD_close
2022-05-06 17:00:00,81.87,82.3,81.46,82.08
2022-05-06 18:00:00,82.08,82.31,81.5,81.68
2022-05-06 19:00:00,81.67,81.95,81.4,81.44
2022-05-06 20:00:00,81.44,81.72,81.18,81.63
2022-05-06 21:00:00,81.63,81.67,80.99,81.17
2022-05-06 22:00:00,81.12,81.22,80.34,80.48
2022-05-06 23:00:00,80.48,80.62,79.2,79.34
2022-05-07 00:00:00,79.37,80.86,79.11,80.85
2022-05-07 01:00:00,80.85,80.93,79.69,79.69
2022-05-07 02:00:00,79.69,80.52,79.38,80.44
2022-05-07 03:00:00,80.43,81.63,80.22,81.23
2022-05-07 04:00:00,81.23,81.5,80.79,80.95
2022-05-07 05:00:00,80.96,81.59,80.78,81.51
2022-05-07 06:00:00,81.53,82.0,81.36,81.77
2022-05-07 07:00:00,81.77,82.28,81.47,81.76
2022-05-07 08:00:00,81.76,81.83,80.88,81.27
2022-05-07 09:00:00,81.26,81.93,81.14,81.86
2022-05-07 10:00:00,81.86,82.16,81.59,82.05
2022-05-07 11:00:00,82.06,82.19,81.47,81.77
2022-05-07 12:00:00,81.77,81.81,81.19,81.44
2022-05-07 13:00:00,81.42,81.97,81.39,81.57
2022-05-07 14:00:00,81.55,81.75,81.3,81.41
2022-05-07 15:00:00,81.4,81.4,80.56,80.82
2022-05-07 16:00:00,80.82,81.02,78.32,78.41
2022-05-07 17:00:00,78.41,79.43,77.13,77.83
2022-05-07 18:00:00,77.82,79.92,77.71,78.83
2022-05-07 19:00:00,78.84,79.36,78.25,78.43
2022-05-07 20:00:00,78.42,78.84,77.33,77.33
2022-05-07 21:00:00,77.31,77.58,75.9,76.99
2022-05-07 22:00:00,76.98,77.15,75.93,76.92
2022-05-07 23:00:00,76.92,78.09,76.92,77.26
2022-05-08 00:00:00,77.27,77.83,77.19,77.7
2022-05-08 01:00:00,77.71,78.58,77.7,78.23
2022-05-08 02:00:00,78.23,78.55,77.84,77.85
2022-05-08 03:00:00,77.85,78.55,77.85,78.32
2022-05-08 04:00:00,78.32,78.58,77.8,78.13
2022-05-08 05:00:00,78.14,78.91,77.77,78.91
2022-05-08 06:00:00,78.91,79.34,78.76,79.08
2022-05-08 07:00:00,79.08,79.32,77.63,77.87
2022-05-08 08:00:00,77.86,78.03,76.92,76.98
2022-05-08 09:00:00,77.04,78.34,76.73,77.85
2022-05-08 10:00:00,77.83,78.28,77.08,77.11
2022-05-08 11:00:00,77.14,78.06,77.1,77.45
2022-05-08 12:00:00,77.46,77.46,73.69,75.02
2022-05-08 13:00:00,75.02,76.48,74.5,76.26
2022-05-08 14:00:00,76.26,76.81,76.15,76.33
2022-05-08 15:00:00,76.34,76.45,75.5,75.79
2022-05-08 16:00:00,75.8,76.5,75.8,76.44
2022-05-08 17:00:00,76.41,76.5,75.26,75.82
2022-05-08 18:00:00,75.8,75.9,74.66,75.36
2022-05-08 19:00:00,75.37,77.1,75.18,76.53
2022-05-08 20:00:00,76.56,77.18,75.71,75.76
2022-05-08 21:00:00,75.77,75.8,73.7,74.6
2022-05-08 22:00:00,74.61,76.37,74.27,75.2
2022-05-08 23:00:00,75.23,76.02,74.98,75.13
2022-05-09 00:00:00,75.15,75.4,74.28,74.4
2022-05-09 01:00:00,74.39,74.71,73.32,74.2
2022-05-09 02:00:00,74.19,74.72,73.86,73.95
2022-05-09 03:00:00,73.92,74.92,73.5,74.77
2022-05-09 04:00:00,74.78,75.23,73.9,74.1
2022-05-09 05:00:00,74.1,74.26,70.63,71.39
2022-05-09 06:00:00,71.44,72.3,70.97,72.22
2022-05-09 07:00:00,72.22,72.27,71.18,71.33
2022-05-09 08:00:00,71.36,73.11,70.52,71.5
2022-05-09 09:00:00,71.53,71.74,70.23,70.87
2022-05-09 10:00:00,70.85,71.61,69.17,69.8
2022-05-09 11:00:00,69.83,70.34,65.05,66.76
2022-05-09 12:00:00,66.76,68.49,65.02,67.07
2022-05-09 13:00:00,67.07,67.63,62.91,65.91
2022-05-09 14:00:00,65.93,66.64,62.87,65.07
2022-05-09 15:00:00,65.1,68.42,65.09,66.54
2022-05-09 16:00:00,66.56,68.15,65.81,66.03
2022-05-09 17:00:00,66.04,67.17,65.21,65.58
2022-05-09 18:00:00,65.56,66.23,61.69,62.19
2022-05-09 19:00:00,62.16,65.72,60.13,64.96
2022-05-09 20:00:00,64.98,66.63,63.76,64.2
2022-05-09 21:00:00,64.21,66.02,63.54,65.32
2022-05-09 22:00:00,65.31,65.75,64.41,64.45
2022-05-09 23:00:00,64.45,68.42,64.07,67.86
2022-05-10 00:00:00,67.84,71.89,67.77,70.93
2022-05-10 01:00:00,70.94,73.1,70.17,70.66
2022-05-10 02:00:00,70.71,71.34,68.89,68.89
2022-05-10 03:00:00,68.88,70.49,68.85,69.92
2022-05-10 04:00:00,69.94,70.31,68.48,68.64
2022-05-10 05:00:00,68.65,69.85,68.41,69.11
2022-05-10 06:00:00,69.11,72.06,68.86,71.56
2022-05-10 07:00:00,71.56,73.81,71.12,73.41
2022-05-10 08:00:00,73.38,74.08,70.93,72.24
2022-05-10 09:00:00,72.25,73.2,68.86,69.28
2022-05-10 10:00:00,69.32,70.64,67.17,69.44
2022-05-10 11:00:00,69.46,70.2,68.27,69.2
2022-05-10 12:00:00,69.18,71.07,69.15,70.82
2022-05-10 13:00:00,70.81,70.85,69.13,69.63
2022-05-10 14:00:00,69.64,69.79,67.11,67.49
2022-05-10 15:00:00,67.5,67.68,65.2,65.59
2022-05-10 16:00:00,65.59,66.2,63.48,63.71
2022-05-10 17:00:00,63.69,65.97,63.21,65.11
2022-05-10 18:00:00,65.13,67.5,64.75,66.87
2022-05-10 19:00:00,66.88,68.31,65.97,67.19
2022-05-10 20:00:00,67.18,67.41,65.43,65.58
2022-05-10 21:00:00,65.59,68.22,65.0,67.84
2022-05-10 22:00:00,67.84,68.22,66.11,66.19
2022-05-10 23:00:00,66.18,66.8,65.0,65.38
2022-05-11 00:00:00,65.4,68.41,65.12,65.88
2022-05-11 01:00:00,65.86,66.34,61.38,62.31
2022-05-11 02:00:00,62.31,64.13,60.65,62.58
2022-05-11 03:00:00,62.61,64.7,61.65,64.32
2022-05-11 04:00:00,64.32,66.12,63.11,65.94
2022-05-11 05:00:00,65.98,66.37,64.63,64.73
2022-05-11 06:00:00,64.74,64.84,61.0,61.35
2022-05-11 07:00:00,61.39,63.88,47.48,49.53
2022-05-11 08:00:00,49.44,59.4,48.8,56.65
2022-05-11 09:00:00,56.65,60.03,55.0,58.14
2022-05-11 10:00:00,58.14,58.23,54.87,55.46
2022-05-11 11:00:00,55.44,56.7,52.54,52.74
2022-05-11 12:00:00,52.73,53.51,49.77,51.97
2022-05-11 13:00:00,51.96,52.57,49.84,50.13
2022-05-11 14:00:00,50.07,50.63,46.9,47.79
