datetime,AAVEUSD_open,AAVEUSD_high,AAVEUSD_low,AAVEUSD_close
2022-01-06 20:00:00,225.78,226.07,221.17,222.4
2022-01-06 21:00:00,222.35,223.46,221.5,222.22
2022-01-06 22:00:00,222.22,224.44,222.22,223.71
2022-01-06 23:00:00,223.61,224.43,220.66,220.94
2022-01-07 00:00:00,220.99,222.17,217.0,217.74
2022-01-07 01:00:00,218.13,219.74,216.81,219.08
2022-01-07 02:00:00,219.17,219.73,216.23,216.67
2022-01-07 03:00:00,216.19,216.41,206.11,206.78
2022-01-07 04:00:00,206.97,207.98,200.46,207.02
2022-01-07 05:00:00,207.15,208.29,205.12,206.59
2022-01-07 06:00:00,206.65,206.98,201.79,203.44
2022-01-07 07:00:00,203.55,206.73,199.86,206.49
2022-01-07 08:00:00,206.48,215.44,206.0,214.08
2022-01-07 09:00:00,213.6,216.49,213.17,215.11
2022-01-07 10:00:00,215.13,216.3,211.49,211.58
2022-01-07 11:00:00,211.53,214.45,211.53,212.47
2022-01-07 12:00:00,212.54,215.66,212.43,213.18
2022-01-07 13:00:00,213.61,215.64,204.67,208.66
2022-01-07 14:00:00,208.39,213.17,207.5,212.03
2022-01-07 15:00:00,211.56,211.85,202.3,206.52
2022-01-07 16:00:00,206.31,215.43,203.55,214.8
2022-01-07 17:00:00,214.79,215.07,211.0,213.15
2022-01-07 18:00:00,213.09,213.44,208.04,209.29
2022-01-07 19:00:00,209.29,210.33,206.57,209.58
2022-01-07 20:00:00,210.04,211.82,207.96,211.34
2022-01-07 21:00:00,211.51,213.65,210.77,212.27
2022-01-07 22:00:00,212.27,212.29,207.37,208.9
2022-01-07 23:00:00,208.9,211.69,207.71,211.6
2022-01-08 00:00:00,211.8,219.28,209.26,219.1
2022-01-08 01:00:00,219.09,226.8,218.87,224.06
2022-01-08 02:00:00,224.22,225.39,220.07,222.41
2022-01-08 03:00:00,222.49,222.63,218.43,221.12
2022-01-08 04:00:00,221.17,222.32,219.68,222.11
2022-01-08 05:00:00,222.03,222.66,220.43,221.69
2022-01-08 06:00:00,221.19,221.94,218.6,221.86
2022-01-08 07:00:00,222.06,222.27,220.0,221.16
2022-01-08 08:00:00,221.13,223.05,220.23,221.9
2022-01-08 09:00:00,222.24,226.38,221.79,226.0
2022-01-08 10:00:00,226.21,226.66,222.26,224.45
2022-01-08 11:00:00,224.21,228.09,222.65,227.78
2022-01-08 12:00:00,227.71,230.87,226.61,227.29
2022-01-08 13:00:00,227.39,228.52,225.81,227.2
2022-01-08 14:00:00,226.76,226.76,221.16,222.29
2022-01-08 15:00:00,222.36,222.81,217.31,219.43
2022-01-08 16:00:00,219.48,222.42,215.37,215.91
2022-01-08 17:00:00,215.63,217.14,204.35,204.89
2022-01-08 18:00:00,205.35,208.5,200.75,201.08
2022-01-08 19:00:00,201.14,205.06,200.55,202.84
2022-01-08 20:00:00,202.56,204.65,201.3,201.38
2022-01-08 21:00:00,201.53,209.3,201.53,209.0
2022-01-08 22:00:00,209.05,218.64,208.62,216.42
2022-01-08 23:00:00,216.35,216.42,210.74,212.32
2022-01-09 00:00:00,212.03,214.5,209.05,213.47
2022-01-09 01:00:00,213.37,214.74,210.32,212.45
2022-01-09 02:00:00,212.64,215.62,212.31,214.18
2022-01-09 03:00:00,214.03,214.37,211.6,211.97
2022-01-09 04:00:00,212.54,216.01,212.54,215.62
2022-01-09 05:00:00,215.61,217.49,214.68,215.52
2022-01-09 06:00:00,215.52,219.2,215.52,218.49
2022-01-09 07:00:00,218.41,218.76,215.58,215.9
2022-01-09 08:00:00,215.75,217.48,212.59,213.39
2022-01-09 09:00:00,213.68,213.91,210.51,211.36
2022-01-09 10:00:00,211.49,214.97,210.32,213.54
2022-01-09 11:00:00,213.62,216.83,213.62,216.09
2022-01-09 12:00:00,216.16,217.17,213.09,213.85
2022-01-09 13:00:00,213.85,215.12,209.64,209.71
2022-01-09 14:00:00,209.74,213.49,209.74,211.65
2022-01-09 15:00:00,211.71,212.07,207.84,210.84
2022-01-09 16:00:00,210.54,216.4,210.54,216.24
2022-01-09 17:00:00,216.57,217.71,214.79,216.88
2022-01-09 18:00:00,216.88,217.3,214.13,214.6
2022-01-09 19:00:00,214.54,218.09,214.0,217.33
2022-01-09 20:00:00,217.45,217.7,214.79,215.36
2022-01-09 21:00:00,215.35,216.75,214.15,214.82
2022-01-09 22:00:00,214.57,216.13,212.55,213.36
2022-01-09 23:00:00,213.72,213.98,208.39,209.53
2022-01-10 00:00:00,209.45,212.31,207.04,207.45
2022-01-10 01:00:00,207.39,208.82,206.85,207.65
2022-01-10 02:00:00,208.04,208.73,205.92,208.12
2022-01-10 03:00:00,208.15,209.02,206.86,209.02
2022-01-10 04:00:00,209.02,212.42,208.46,212.35
2022-01-10 05:00:00,212.36,213.64,212.05,212.91
2022-01-10 06:00:00,212.92,213.23,210.91,211.17
2022-01-10 07:00:00,211.58,212.79,210.61,212.16
2022-01-10 08:00:00,212.27,213.23,209.75,210.27
2022-01-10 09:00:00,210.08,210.62,208.86,208.88
2022-01-10 10:00:00,208.73,210.03,207.48,207.72
2022-01-10 11:00:00,207.5,207.5,203.51,204.28
2022-01-10 12:00:00,204.21,204.78,199.45,200.37
2022-01-10 13:00:00,200.33,202.05,196.27,196.96
2022-01-10 14:00:00,197.34,198.61,188.0,195.72
2022-01-10 15:00:00,195.52,196.99,192.32,194.94
2022-01-10 16:00:00,194.93,203.18,194.05,201.16
2022-01-10 17:00:00,201.48,202.14,192.5,195.79
2022-01-10 18:00:00,195.61,197.51,194.67,196.1
2022-01-10 19:00:00,195.97,197.34,194.25,194.84
2022-01-10 20:00:00,195.08,199.8,193.81,199.15
2022-01-10 21:00:00,199.11,200.22,197.82,198.91
2022-01-10 22:00:00,198.85,199.71,197.51,198.23
2022-01-10 23:00:00,198.5,200.29,197.31,199.9
2022-01-11 00:00:00,200.35,200.46,197.07,197.65
2022-01-11 01:00:00,197.5,201.01,196.96,200.9
2022-01-11 02:00:00,200.91,206.18,200.18,205.54
2022-01-11 03:00:00,205.87,206.99,203.88,204.69
2022-01-11 04:00:00,204.74,205.0,203.03,203.8
2022-01-11 05:00:00,203.8,204.29,202.29,202.71
2022-01-11 06:00:00,202.79,204.63,201.83,203.54
2022-01-11 07:00:00,203.6,205.06,203.0,204.83
2022-01-11 08:00:00,204.91,207.16,203.35,205.32
2022-01-11 09:00:00,205.39,205.62,203.18,203.67
2022-01-11 10:00:00,203.53,204.77,201.03,201.7
2022-01-11 11:00:00,201.76,204.89,201.48,204.45
2022-01-11 12:00:00,204.46,207.42,203.37,204.65
2022-01-11 13:00:00,205.05,207.2,203.81,205.39
2022-01-11 14:00:00,205.32,206.88,201.23,205.08
2022-01-11 15:00:00,204.83,209.52,204.8,209.21
2022-01-11 16:00:00,209.33,215.76,208.38,213.94
2022-01-11 17:00:00,214.01,216.95,211.39,214.69
2022-01-11 18:00:00,214.65,215.54,212.79,214.06
2022-01-11 19:00:00,214.04,214.74,213.09,213.63
2022-01-11 20:00:00,213.81,215.31,213.46,214.93
2022-01-11 21:00:00,215.14,216.04,214.03,214.34
2022-01-11 22:00:00,214.43,214.49,212.52,212.79
2022-01-11 23:00:00,212.9,214.05,211.53,213.07
2022-01-12 00:00:00,213.22,214.49,210.68,211.78
2022-01-12 01:00:00,211.97,215.5,211.76,215.44
2022-01-12 02:00:00,215.38,218.44,215.1,217.79
2022-01-12 03:00:00,217.92,219.32,217.25,219.12
2022-01-12 04:00:00,218.99,219.2,215.4,216.15
2022-01-12 05:00:00,216.04,216.63,214.74,215.56
2022-01-12 06:00:00,215.47,216.91,214.79,215.47
2022-01-12 07:00:00,215.4,215.53,212.47,213.62
2022-01-12 08:00:00,213.59,214.68,212.82,213.37
2022-01-12 09:00:00,213.19,217.09,212.94,217.03
2022-01-12 10:00:00,216.96,217.15,214.79,215.13
2022-01-12 11:00:00,215.09,218.91,214.38,216.52
2022-01-12 12:00:00,216.74,221.5,216.6,220.56
2022-01-12 13:00:00,220.57,222.49,218.46,222.36
2022-01-12 14:00:00,222.25,222.25,220.13,221.79
2022-01-12 15:00:00,221.39,222.65,218.29,219.15
2022-01-12 16:00:00,219.36,221.18,216.99,221.01
2022-01-12 17:00:00,220.95,221.44,219.58,220.74
2022-01-12 18:00:00,220.88,220.88,218.52,219.05
2022-01-12 19:00:00,219.29,219.46,217.78,218.63
2022-01-12 20:00:00,218.59,221.32,217.71,218.98
2022-01-12 21:00:00,218.96,221.42,218.31,218.36
2022-01-12 22:00:00,218.43,219.49,217.32,217.49
2022-01-12 23:00:00,217.72,219.36,217.2,218.61
2022-01-13 00:00:00,218.57,221.04,216.27,216.8
2022-01-13 01:00:00,217.06,217.38,213.49,214.95
2022-01-13 02:00:00,214.95,216.03,214.73,215.12
2022-01-13 03:00:00,215.03,216.03,213.23,214.83
2022-01-13 04:00:00,215.53,216.03,214.31,214.46
2022-01-13 05:00:00,214.44,214.87,212.89,212.98
2022-01-13 06:00:00,213.04,215.83,212.6,214.77
2022-01-13 07:00:00,214.77,216.13,214.13,215.42
2022-01-13 08:00:00,215.42,216.99,215.15,216.92
2022-01-13 09:00:00,216.83,217.47,215.84,217.04
2022-01-13 10:00:00,217.0,220.1,217.0,218.09
2022-01-13 11:00:00,218.09,218.09,213.5,213.78
2022-01-13 12:00:00,213.75,216.45,213.56,216.45
2022-01-13 13:00:00,216.4,217.77,215.24,217.77
2022-01-13 14:00:00,217.83,222.17,216.77,221.12
2022-01-13 15:00:00,221.3,222.03,210.04,212.42
2022-01-13 16:00:00,212.54,215.77,210.98,213.1
2022-01-13 17:00:00,213.01,215.89,209.18,213.92
2022-01-13 18:00:00,213.88,216.7,212.21,212.88
2022-01-13 19:00:00,212.68,215.03,208.56,209.9
2022-01-13 20:00:00,209.99,211.66,207.15,211.66
2022-01-13 21:00:00,211.79,213.91,210.89,212.91
2022-01-13 22:00:00,212.9,213.45,209.47,210.99
2022-01-13 23:00:00,210.89,211.33,208.49,209.41
2022-01-14 00:00:00,209.43,212.73,207.68,212.26
2022-01-14 01:00:00,212.0,212.85,210.24,210.86
2022-01-14 02:00:00,210.8,211.0,208.66,210.32
2022-01-14 03:00:00,210.0,211.89,209.59,211.33
2022-01-14 04:00:00,211.78,214.21,211.1,212.65
2022-01-14 05:00:00,213.02,216.31,211.77,216.31
2022-01-14 06:00:00,216.33,216.84,214.8,215.23
2022-01-14 07:00:00,215.26,217.12,213.09,214.67
2022-01-14 08:00:00,214.96,215.88,209.66,214.09
2022-01-14 09:00:00,213.66,214.69,212.38,213.21
2022-01-14 10:00:00,213.46,214.11,207.74,207.74
2022-01-14 11:00:00,207.8,207.84,205.53,206.86
2022-01-14 12:00:00,206.67,211.66,204.45,208.93
2022-01-14 13:00:00,208.87,211.37,208.2,208.51
2022-01-14 14:00:00,208.48,212.46,208.09,211.71
2022-01-14 15:00:00,211.94,215.78,210.75,215.65
2022-01-14 16:00:00,215.65,220.94,214.07,219.63
2022-01-14 17:00:00,219.71,220.22,215.7,216.73
2022-01-14 18:00:00,216.73,218.58,216.0,217.54
2022-01-14 19:00:00,217.84,219.83,217.32,219.1
2022-01-14 20:00:00,219.58,224.89,218.74,224.21
2022-01-14 21:00:00,224.2,225.27,222.64,225.08
2022-01-14 22:00:00,225.17,227.02,224.34,224.88
2022-01-14 23:00:00,224.73,226.36,223.1,224.42
2022-01-15 00:00:00,224.48,225.09,222.45,224.22
2022-01-15 01:00:00,224.19,227.74,224.18,227.11
2022-01-15 02:00:00,227.1,233.62,227.09,230.76
2022-01-15 03:00:00,230.76,231.57,228.21,229.49
2022-01-15 04:00:00,229.35,229.48,227.71,228.51
2022-01-15 05:00:00,228.37,230.5,228.37,229.68
2022-01-15 06:00:00,229.77,233.36,229.72,231.33
2022-01-15 07:00:00,230.9,231.05,228.71,230.66
2022-01-15 08:00:00,230.33,230.8,228.63,230.01
2022-01-15 09:00:00,229.96,232.6,229.76,232.36
2022-01-15 10:00:00,232.16,235.47,231.61,234.73
2022-01-15 11:00:00,234.75,235.3,232.07,235.14
2022-01-15 12:00:00,235.06,235.95,231.05,235.29
2022-01-15 13:00:00,235.23,238.66,233.59,238.3
2022-01-15 14:00:00,238.45,239.07,235.22,236.66
2022-01-15 15:00:00,237.01,238.38,235.5,237.03
2022-01-15 16:00:00,237.05,239.01,235.9,238.56
2022-01-15 17:00:00,238.25,242.69,238.16,240.94
2022-01-15 18:00:00,240.59,241.37,239.15,240.72
2022-01-15 19:00:00,240.74,242.94,240.46,242.25
2022-01-15 20:00:00,242.35,243.7,240.59,241.27
2022-01-15 21:00:00,240.9,240.95,238.5,238.87
2022-01-15 22:00:00,238.89,239.16,235.55,238.34
2022-01-15 23:00:00,238.6,241.61,238.34,238.75
2022-01-16 00:00:00,238.61,238.72,232.64,233.0
2022-01-16 01:00:00,233.27,234.45,231.55,232.48
2022-01-16 02:00:00,232.36,234.75,230.43,231.68
2022-01-16 03:00:00,231.72,234.42,230.96,233.43
2022-01-16 04:00:00,233.3,235.63,232.76,234.17
2022-01-16 05:00:00,234.03,235.11,231.98,231.98
2022-01-16 06:00:00,231.93,233.95,231.76,233.95
2022-01-16 07:00:00,233.91,234.51,233.0,234.1
2022-01-16 08:00:00,234.38,235.69,233.87,233.87
2022-01-16 09:00:00,233.74,236.37,233.74,235.0
2022-01-16 10:00:00,235.31,237.87,234.94,235.1
2022-01-16 11:00:00,234.87,237.56,233.5,237.49
2022-01-16 12:00:00,237.52,243.36,237.04,242.12
2022-01-16 13:00:00,242.04,242.98,236.65,242.85
2022-01-16 14:00:00,242.95,245.34,240.38,241.06
2022-01-16 15:00:00,241.32,241.96,239.53,240.42
2022-01-16 16:00:00,240.62,243.58,240.41,241.32
2022-01-16 17:00:00,241.33,241.83,237.02,238.5
2022-01-16 18:00:00,238.24,239.45,236.89,237.69
2022-01-16 19:00:00,237.71,237.81,235.43,235.66
2022-01-16 20:00:00,235.69,237.97,234.32,237.71
2022-01-16 21:00:00,237.87,238.65,236.09,237.75
2022-01-16 22:00:00,237.82,240.1,237.82,239.2
2022-01-16 23:00:00,239.3,243.91,238.65,242.5
2022-01-17 00:00:00,242.5,244.31,239.96,240.18
2022-01-17 01:00:00,240.28,242.58,238.0,239.77
2022-01-17 02:00:00,239.7,240.45,237.73,239.46
2022-01-17 03:00:00,239.26,241.76,232.49,232.59
2022-01-17 04:00:00,232.42,234.1,228.33,228.59
2022-01-17 05:00:00,228.54,229.69,226.73,228.7
2022-01-17 06:00:00,229.2,235.89,228.57,234.6
2022-01-17 07:00:00,234.65,237.83,234.01,234.01
2022-01-17 08:00:00,234.17,235.17,232.48,234.18
2022-01-17 09:00:00,234.6,234.92,232.92,233.74
2022-01-17 10:00:00,233.74,234.58,231.21,233.2
2022-01-17 11:00:00,233.61,233.62,230.44,230.54
2022-01-17 12:00:00,230.44,232.24,228.36,230.03
2022-01-17 13:00:00,230.43,231.1,227.72,229.11
2022-01-17 14:00:00,229.0,230.09,227.16,229.02
2022-01-17 15:00:00,229.26,229.29,226.16,227.29
2022-01-17 16:00:00,227.28,228.06,223.67,224.76
2022-01-17 17:00:00,224.73,225.01,221.5,223.09
2022-01-17 18:00:00,222.7,225.0,221.69,224.71
2022-01-17 19:00:00,224.79,228.23,224.68,227.75
2022-01-17 20:00:00,227.61,231.79,227.37,230.72
2022-01-17 21:00:00,230.81,231.26,223.28,223.82
2022-01-17 22:00:00,223.99,228.64,221.58,224.94
2022-01-17 23:00:00,225.21,229.04,224.74,227.11
2022-01-18 00:00:00,227.27,234.42,226.54,234.18
2022-01-18 01:00:00,234.26,238.77,233.02,238.63
2022-01-18 02:00:00,238.49,240.47,236.53,239.98
2022-01-18 03:00:00,240.1,240.1,227.48,227.97
2022-01-18 04:00:00,228.06,230.35,225.4,225.69
2022-01-18 05:00:00,225.83,226.34,222.93,223.25
2022-01-18 06:00:00,223.51,235.64,223.51,234.51
2022-01-18 07:00:00,234.61,235.12,230.82,233.32
2022-01-18 08:00:00,233.27,233.53,227.7,227.7
2022-01-18 09:00:00,227.81,231.69,224.15,229.17
2022-01-18 10:00:00,229.53,230.8,227.37,227.39
2022-01-18 11:00:00,227.75,230.56,226.23,229.96
2022-01-18 12:00:00,229.82,231.01,226.45,229.91
2022-01-18 13:00:00,229.99,230.87,224.31,228.7
2022-01-18 14:00:00,228.69,229.57,223.44,226.29
2022-01-18 15:00:00,226.31,236.3,225.57,233.01
2022-01-18 16:00:00,233.11,237.49,232.7,236.47
2022-01-18 17:00:00,236.45,237.62,233.89,234.7
2022-01-18 18:00:00,234.67,234.7,228.42,230.0
2022-01-18 19:00:00,230.31,233.84,229.94,232.2
2022-01-18 20:00:00,232.07,233.29,228.14,230.22
2022-01-18 21:00:00,230.25,235.16,229.21,235.08
2022-01-18 22:00:00,235.08,235.88,232.21,234.01
2022-01-18 23:00:00,234.0,235.09,231.87,232.45
2022-01-19 00:00:00,232.55,233.27,231.18,232.45
2022-01-19 01:00:00,232.6,237.02,231.93,235.55
2022-01-19 02:00:00,235.73,235.9,233.1,234.07
2022-01-19 03:00:00,234.09,234.42,224.2,225.11
2022-01-19 04:00:00,225.51,226.71,223.87,225.76
