datetime,QUICKUSD_open,QUICKUSD_high,QUICKUSD_low,QUICKUSD_close
2022-04-25 17:00:00,168.56,169.0,167.42,167.63
2022-04-25 18:00:00,168.02,170.31,167.75,169.15
2022-04-25 19:00:00,168.74,170.21,168.41,170.07
2022-04-25 20:00:00,170.44,170.85,169.76,169.89
2022-04-25 21:00:00,169.98,170.59,169.45,170.59
2022-04-25 22:00:00,170.48,178.01,170.47,175.06
2022-04-25 23:00:00,175.06,177.01,174.87,175.94
2022-04-26 00:00:00,175.7,177.1,174.91,176.24
2022-04-26 01:00:00,175.99,177.35,175.9,176.3
2022-04-26 02:00:00,176.25,176.95,176.16,176.3
2022-04-26 03:00:00,176.56,176.72,168.43,172.55
2022-04-26 04:00:00,172.62,173.47,172.5,173.29
2022-04-26 05:00:00,173.53,174.04,173.51,173.53
2022-04-26 06:00:00,173.81,175.62,173.5,173.56
2022-04-26 07:00:00,174.13,174.86,173.16,174.56
2022-04-26 08:00:00,174.56,174.56,172.83,173.01
2022-04-26 09:00:00,173.01,173.39,172.1,172.43
2022-04-26 10:00:00,172.43,172.76,171.55,172.28
2022-04-26 11:00:00,172.02,173.7,171.76,173.2
2022-04-26 12:00:00,173.07,173.15,171.02,171.11
2022-04-26 13:00:00,171.17,171.31,169.97,169.97
2022-04-26 14:00:00,169.77,170.15,165.92,165.92
2022-04-26 15:00:00,165.92,167.1,165.32,165.73
2022-04-26 16:00:00,165.73,166.15,162.65,163.13
2022-04-26 17:00:00,163.51,163.65,161.84,162.53
2022-04-26 18:00:00,162.51,163.76,161.75,162.78
2022-04-26 19:00:00,163.32,163.34,160.57,162.32
2022-04-26 20:00:00,162.31,162.85,156.75,160.24
2022-04-26 21:00:00,160.24,161.77,158.81,161.59
2022-04-26 22:00:00,161.48,162.24,160.33,160.33
2022-04-26 23:00:00,160.31,160.31,156.86,159.62
2022-04-27 00:00:00,159.75,160.2,158.69,158.97
2022-04-27 01:00:00,158.74,160.02,158.74,160.02
2022-04-27 02:00:00,160.03,161.05,159.78,161.05
2022-04-27 03:00:00,161.01,161.01,159.74,159.74
2022-04-27 04:00:00,159.74,160.74,159.51,160.64
2022-04-27 05:00:00,160.75,161.93,160.75,161.93
2022-04-27 06:00:00,161.68,165.24,161.68,164.77
2022-04-27 07:00:00,164.25,164.34,163.0,164.05
2022-04-27 08:00:00,163.83,163.83,161.0,162.23
2022-04-27 09:00:00,162.01,162.21,161.55,161.99
2022-04-27 10:00:00,162.33,163.31,162.02,163.15
2022-04-27 11:00:00,161.99,162.72,160.52,160.52
2022-04-27 12:00:00,160.0,165.45,158.32,159.4
2022-04-27 13:00:00,159.46,164.01,158.3,163.84
2022-04-27 14:00:00,163.72,163.77,159.42,161.22
2022-04-27 15:00:00,161.32,162.43,160.69,161.81
2022-04-27 16:00:00,162.03,163.04,161.79,161.98
2022-04-27 17:00:00,162.16,162.64,161.3,162.07
2022-04-27 18:00:00,162.16,162.66,161.24,161.24
2022-04-27 19:00:00,161.22,161.33,160.46,161.04
2022-04-27 20:00:00,161.92,162.28,161.7,162.07
2022-04-27 21:00:00,161.73,163.59,161.45,163.56
2022-04-27 22:00:00,163.08,165.04,162.05,164.84
2022-04-27 23:00:00,164.55,165.29,164.36,164.36
2022-04-28 00:00:00,164.33,164.88,163.84,164.71
2022-04-28 01:00:00,165.23,165.23,163.95,164.29
2022-04-28 02:00:00,164.01,166.41,164.01,165.07
2022-04-28 03:00:00,165.07,165.7,164.48,164.48
2022-04-28 04:00:00,164.15,164.88,163.9,164.39
2022-04-28 05:00:00,164.43,164.57,163.81,164.29
2022-04-28 06:00:00,164.32,164.36,162.94,163.31
2022-04-28 07:00:00,163.72,163.73,162.57,162.79
2022-04-28 08:00:00,162.79,164.81,162.32,163.65
2022-04-28 09:00:00,163.16,164.4,163.16,163.69
2022-04-28 10:00:00,163.67,164.77,163.15,164.77
2022-04-28 11:00:00,164.79,164.79,163.47,163.58
2022-04-28 12:00:00,163.5,163.95,163.17,163.17
2022-04-28 13:00:00,162.97,163.38,159.84,159.84
2022-04-28 14:00:00,159.87,160.82,159.25,160.19
2022-04-28 15:00:00,160.89,163.61,159.03,160.11
2022-04-28 16:00:00,160.43,164.83,159.32,161.95
2022-04-28 17:00:00,162.09,165.33,161.18,165.33
2022-04-28 18:00:00,165.51,166.75,163.78,164.01
2022-04-28 19:00:00,163.99,164.49,163.1,163.39
2022-04-28 20:00:00,163.36,164.39,162.84,163.8
2022-04-28 21:00:00,163.79,164.36,160.07,160.82
2022-04-28 22:00:00,161.06,162.05,160.36,162.05
