datetime,ETHUSD_open,ETHUSD_high,ETHUSD_low,ETHUSD_close
2022-01-07 08:00:00,3200.76,3284.71,3186.82,3230.53
2022-01-07 09:00:00,3230.35,3274.99,3227.7,3249.71
2022-01-07 10:00:00,3249.68,3265.55,3215.73,3216.34
2022-01-07 11:00:00,3216.19,3235.89,3214.26,3224.6
2022-01-07 12:00:00,3224.95,3264.66,3224.91,3240.62
2022-01-07 13:00:00,3240.68,3267.71,3112.0,3165.73
2022-01-07 14:00:00,3166.07,3226.62,3156.17,3207.07
2022-01-07 15:00:00,3207.07,3209.47,3065.0,3132.86
2022-01-07 16:00:00,3131.45,3225.55,3090.61,3213.83
2022-01-07 17:00:00,3213.8,3216.75,3171.41,3202.98
2022-01-07 18:00:00,3202.65,3209.66,3156.35,3171.87
2022-01-07 19:00:00,3171.95,3210.35,3143.76,3197.39
2022-01-07 20:00:00,3197.95,3225.0,3183.07,3216.24
2022-01-07 21:00:00,3216.28,3224.38,3205.76,3215.8
2022-01-07 22:00:00,3215.73,3216.85,3165.0,3181.37
2022-01-07 23:00:00,3181.15,3200.0,3171.03,3198.82
2022-01-08 00:00:00,3198.96,3238.63,3188.19,3235.22
2022-01-08 01:00:00,3234.96,3246.21,3215.13,3217.63
2022-01-08 02:00:00,3217.44,3222.05,3189.59,3209.74
2022-01-08 03:00:00,3209.63,3213.68,3181.01,3203.23
2022-01-08 04:00:00,3203.19,3227.59,3202.11,3218.81
2022-01-08 05:00:00,3218.81,3220.52,3203.94,3215.45
2022-01-08 06:00:00,3215.18,3222.71,3192.0,3219.48
2022-01-08 07:00:00,3219.48,3228.78,3207.68,3216.05
2022-01-08 08:00:00,3216.4,3237.52,3208.79,3215.78
2022-01-08 09:00:00,3215.75,3241.06,3215.2,3240.8
2022-01-08 10:00:00,3241.02,3247.89,3209.88,3221.56
2022-01-08 11:00:00,3221.68,3224.41,3208.09,3220.32
2022-01-08 12:00:00,3220.31,3230.76,3193.06,3202.2
2022-01-08 13:00:00,3201.76,3208.98,3176.25,3201.01
2022-01-08 14:00:00,3201.1,3206.22,3171.0,3176.88
2022-01-08 15:00:00,3176.88,3184.48,3147.0,3160.87
2022-01-08 16:00:00,3161.05,3180.05,3121.51,3128.84
2022-01-08 17:00:00,3129.21,3137.04,3035.0,3040.55
2022-01-08 18:00:00,3040.23,3080.18,3001.0,3008.71
2022-01-08 19:00:00,3007.96,3055.73,3000.0,3028.12
2022-01-08 20:00:00,3028.11,3052.44,3002.0,3032.12
2022-01-08 21:00:00,3032.58,3104.16,3025.38,3078.79
2022-01-08 22:00:00,3078.59,3133.72,3075.68,3118.85
2022-01-08 23:00:00,3118.69,3119.9,3077.77,3080.48
2022-01-09 00:00:00,3080.92,3122.22,3057.82,3119.45
2022-01-09 01:00:00,3119.43,3134.96,3092.21,3117.0
2022-01-09 02:00:00,3116.31,3147.0,3111.7,3138.36
2022-01-09 03:00:00,3138.35,3146.25,3118.8,3122.0
2022-01-09 04:00:00,3121.75,3143.38,3117.23,3141.06
2022-01-09 05:00:00,3140.6,3147.42,3119.98,3123.75
2022-01-09 06:00:00,3123.58,3141.96,3119.02,3138.76
2022-01-09 07:00:00,3139.0,3141.0,3122.07,3127.89
2022-01-09 08:00:00,3127.95,3139.76,3104.36,3108.25
2022-01-09 09:00:00,3107.92,3116.51,3093.33,3097.2
2022-01-09 10:00:00,3096.39,3110.63,3083.26,3106.39
2022-01-09 11:00:00,3106.38,3133.72,3106.22,3129.17
2022-01-09 12:00:00,3128.69,3134.9,3104.28,3109.82
2022-01-09 13:00:00,3109.82,3130.19,3085.2,3086.01
2022-01-09 14:00:00,3086.0,3115.46,3085.72,3098.1
2022-01-09 15:00:00,3097.27,3106.61,3073.22,3098.61
2022-01-09 16:00:00,3098.31,3161.81,3092.68,3160.84
2022-01-09 17:00:00,3161.06,3177.64,3135.23,3166.42
2022-01-09 18:00:00,3166.73,3180.29,3165.06,3170.64
2022-01-09 19:00:00,3170.31,3210.05,3164.67,3203.31
2022-01-09 20:00:00,3203.83,3212.46,3194.01,3196.85
2022-01-09 21:00:00,3196.99,3205.36,3184.5,3190.15
2022-01-09 22:00:00,3190.14,3200.0,3173.75,3179.46
2022-01-09 23:00:00,3179.74,3185.87,3144.08,3151.66
2022-01-10 00:00:00,3151.65,3171.45,3135.38,3137.12
2022-01-10 01:00:00,3137.15,3153.92,3128.39,3152.23
2022-01-10 02:00:00,3152.04,3160.87,3142.6,3154.7
2022-01-10 03:00:00,3154.14,3158.66,3148.48,3155.6
2022-01-10 04:00:00,3155.35,3180.29,3152.45,3175.92
2022-01-10 05:00:00,3175.91,3180.0,3167.68,3174.21
2022-01-10 06:00:00,3173.96,3175.07,3155.11,3161.88
2022-01-10 07:00:00,3161.7,3174.42,3155.12,3163.62
2022-01-10 08:00:00,3163.65,3169.52,3138.7,3145.31
2022-01-10 09:00:00,3144.77,3159.57,3140.88,3146.59
2022-01-10 10:00:00,3146.26,3168.64,3138.43,3139.1
2022-01-10 11:00:00,3138.97,3140.42,3094.84,3104.72
2022-01-10 12:00:00,3104.73,3110.65,3031.32,3032.2
2022-01-10 13:00:00,3031.88,3047.99,3012.07,3021.58
2022-01-10 14:00:00,3021.31,3042.86,2928.69,3020.32
2022-01-10 15:00:00,3019.41,3034.41,2982.03,3006.63
2022-01-10 16:00:00,3006.61,3094.54,2997.29,3075.98
2022-01-10 17:00:00,3076.13,3085.0,2970.39,3012.93
