datetime,KP3RBUSD_open,KP3RBUSD_high,KP3RBUSD_low,KP3RBUSD_close
2022-02-20 06:00:00,655.31,660.99,653.04,659.38
2022-02-20 07:00:00,659.55,670.0,657.11,660.32
2022-02-20 08:00:00,660.59,664.18,651.89,653.78
2022-02-20 09:00:00,653.78,654.11,640.87,645.47
2022-02-20 10:00:00,646.21,658.0,643.58,656.59
2022-02-20 11:00:00,653.13,666.63,653.06,658.21
2022-02-20 12:00:00,656.5,661.85,649.95,651.29
2022-02-20 13:00:00,651.52,659.31,646.73,657.83
2022-02-20 14:00:00,657.77,673.9,654.8,669.0
2022-02-20 15:00:00,669.0,670.68,650.0,650.65
2022-02-20 16:00:00,652.19,652.74,637.37,642.13
2022-02-20 17:00:00,642.32,656.32,640.76,656.32
2022-02-20 18:00:00,656.43,659.5,641.35,641.62
2022-02-20 19:00:00,642.51,652.37,637.83,651.48
2022-02-20 20:00:00,651.48,670.96,650.69,665.12
2022-02-20 21:00:00,666.94,668.64,662.73,666.57
2022-02-20 22:00:00,665.69,669.03,657.88,660.62
2022-02-20 23:00:00,660.79,674.68,660.79,673.24
2022-02-21 00:00:00,673.55,688.55,671.05,685.05
2022-02-21 01:00:00,686.73,709.39,686.73,688.14
2022-02-21 02:00:00,687.87,702.42,685.8,702.35
2022-02-21 03:00:00,702.3,703.0,686.2,689.48
2022-02-21 04:00:00,688.87,688.87,673.3,676.12
2022-02-21 05:00:00,674.19,677.36,656.81,661.61
2022-02-21 06:00:00,660.67,665.96,637.23,641.79
2022-02-21 07:00:00,641.22,650.34,633.17,644.11
2022-02-21 08:00:00,643.76,651.28,633.41,639.7
2022-02-21 09:00:00,640.88,662.9,638.07,658.5
2022-02-21 10:00:00,659.94,676.75,657.04,658.4
2022-02-21 11:00:00,658.48,666.14,652.92,654.0
2022-02-21 12:00:00,654.75,665.34,653.3,653.3
2022-02-21 13:00:00,653.99,665.54,637.37,646.09
2022-02-21 14:00:00,645.16,655.06,639.0,648.8
2022-02-21 15:00:00,648.6,649.45,639.64,641.78
2022-02-21 16:00:00,642.18,649.76,630.0,630.0
2022-02-21 17:00:00,630.0,642.42,600.0,615.14
2022-02-21 18:00:00,616.05,616.05,595.5,598.62
2022-02-21 19:00:00,598.61,609.83,595.5,605.29
2022-02-21 20:00:00,602.74,603.61,590.0,599.71
2022-02-21 21:00:00,597.76,600.53,590.26,595.42
2022-02-21 22:00:00,593.75,595.32,572.76,577.89
2022-02-21 23:00:00,577.66,586.88,576.63,577.14
2022-02-22 00:00:00,577.97,591.14,574.59,578.3
2022-02-22 01:00:00,579.02,598.27,579.02,590.46
2022-02-22 02:00:00,592.26,599.87,582.0,592.93
2022-02-22 03:00:00,592.99,602.5,590.62,601.08
2022-02-22 04:00:00,600.98,610.27,597.62,598.05
2022-02-22 05:00:00,598.0,615.0,594.45,612.52
2022-02-22 06:00:00,611.42,612.35,602.59,605.0
2022-02-22 07:00:00,604.28,609.0,598.36,604.01
2022-02-22 08:00:00,602.0,611.14,594.51,606.92
2022-02-22 09:00:00,606.87,615.0,598.85,611.23
2022-02-22 10:00:00,611.23,615.0,605.0,605.75
2022-02-22 11:00:00,606.18,607.14,595.89,603.11
2022-02-22 12:00:00,602.86,604.99,592.3,595.0
2022-02-22 13:00:00,595.0,600.75,593.8,595.92
2022-02-22 14:00:00,595.0,607.89,594.93,605.04
2022-02-22 15:00:00,605.05,609.73,594.89,600.69
2022-02-22 16:00:00,601.91,605.15,597.12,599.44
2022-02-22 17:00:00,600.2,602.14,597.87,602.0
2022-02-22 18:00:00,599.76,616.37,599.76,614.64
2022-02-22 19:00:00,614.14,617.76,606.42,608.0
2022-02-22 20:00:00,608.0,609.28,602.08,604.32
2022-02-22 21:00:00,604.76,614.99,598.36,603.57
2022-02-22 22:00:00,602.14,606.68,600.71,603.53
2022-02-22 23:00:00,603.55,615.0,603.53,613.27
2022-02-23 00:00:00,613.3,616.0,610.86,613.77
2022-02-23 01:00:00,614.56,635.0,614.56,631.59
2022-02-23 02:00:00,631.42,631.42,621.95,625.19
2022-02-23 03:00:00,625.05,637.5,621.43,631.63
2022-02-23 04:00:00,632.13,639.98,631.99,635.52
2022-02-23 05:00:00,636.32,636.32,628.34,629.88
2022-02-23 06:00:00,629.81,631.37,623.7,625.65
2022-02-23 07:00:00,624.98,632.82,620.37,632.09
2022-02-23 08:00:00,630.8,634.63,624.0,624.41
2022-02-23 09:00:00,625.23,627.14,616.38,619.52
2022-02-23 10:00:00,619.52,623.25,608.62,615.95
2022-02-23 11:00:00,615.12,623.41,608.57,623.0
2022-02-23 12:00:00,621.91,627.35,608.56,609.63
2022-02-23 13:00:00,610.21,614.27,603.8,606.86
2022-02-23 14:00:00,607.7,612.38,595.85,599.09
2022-02-23 15:00:00,599.05,603.69,590.36,598.92
2022-02-23 16:00:00,600.27,610.27,588.9,589.73
2022-02-23 17:00:00,590.86,595.84,585.79,595.32
2022-02-23 18:00:00,595.26,595.3,581.17,581.37
2022-02-23 19:00:00,582.59,589.73,576.6,580.02
2022-02-23 20:00:00,580.73,589.46,579.53,587.29
2022-02-23 21:00:00,587.29,589.97,566.0,569.57
2022-02-23 22:00:00,570.31,578.27,550.99,553.26
2022-02-23 23:00:00,553.7,564.92,532.19,544.28
2022-02-24 00:00:00,544.9,544.9,500.3,507.73
2022-02-24 01:00:00,507.0,518.43,500.0,509.24
2022-02-24 02:00:00,509.76,514.0,487.34,512.86
2022-02-24 03:00:00,512.77,526.33,508.0,512.2
2022-02-24 04:00:00,510.82,516.02,503.47,503.47
2022-02-24 05:00:00,503.89,508.83,491.0,498.3
2022-02-24 06:00:00,499.73,513.31,494.06,509.01
2022-02-24 07:00:00,508.26,508.26,495.74,500.4
2022-02-24 08:00:00,501.2,513.08,498.0,504.63
2022-02-24 09:00:00,505.47,512.16,498.87,510.0
2022-02-24 10:00:00,510.32,524.52,506.18,522.37
2022-02-24 11:00:00,522.37,535.48,517.72,525.01
2022-02-24 12:00:00,525.01,526.6,515.0,520.65
2022-02-24 13:00:00,521.94,542.29,520.93,535.41
2022-02-24 14:00:00,534.62,559.94,533.62,556.57
2022-02-24 15:00:00,556.6,569.99,546.56,553.56
2022-02-24 16:00:00,554.71,555.33,542.67,546.74
2022-02-24 17:00:00,547.6,550.5,535.6,535.6
2022-02-24 18:00:00,536.0,545.72,536.0,541.5
2022-02-24 19:00:00,541.71,550.52,537.48,537.48
2022-02-24 20:00:00,537.48,548.17,535.85,544.49
2022-02-24 21:00:00,545.51,557.49,544.84,554.0
2022-02-24 22:00:00,554.08,557.42,547.21,555.49
2022-02-24 23:00:00,555.45,571.11,553.3,566.85
2022-02-25 00:00:00,566.47,568.73,551.82,563.53
2022-02-25 01:00:00,565.26,571.57,559.05,566.07
2022-02-25 02:00:00,567.7,578.85,561.7,564.47
2022-02-25 03:00:00,563.17,563.97,551.31,557.89
2022-02-25 04:00:00,558.27,563.15,544.5,563.15
2022-02-25 05:00:00,563.15,564.47,555.81,558.05
2022-02-25 06:00:00,558.36,564.92,553.82,563.67
2022-02-25 07:00:00,563.72,607.12,563.63,586.43
2022-02-25 08:00:00,588.17,599.15,579.0,583.29
2022-02-25 09:00:00,584.05,590.15,574.99,574.99
2022-02-25 10:00:00,574.99,588.4,565.63,585.26
2022-02-25 11:00:00,584.47,596.0,578.96,585.55
2022-02-25 12:00:00,584.59,590.12,578.42,581.95
2022-02-25 13:00:00,580.9,583.15,570.0,571.91
2022-02-25 14:00:00,571.12,584.1,568.63,574.56
2022-02-25 15:00:00,572.64,584.1,569.37,580.01
2022-02-25 16:00:00,581.13,584.75,577.46,582.66
2022-02-25 17:00:00,582.55,600.0,577.63,591.57
2022-02-25 18:00:00,591.87,611.95,591.57,596.84
2022-02-25 19:00:00,596.84,620.11,594.01,608.86
2022-02-25 20:00:00,605.75,629.91,604.0,627.55
2022-02-25 21:00:00,627.55,697.56,624.7,673.41
2022-02-25 22:00:00,672.72,758.0,659.0,727.5
2022-02-25 23:00:00,727.88,747.07,694.64,700.0
2022-02-26 00:00:00,700.45,705.82,673.87,686.8
2022-02-26 01:00:00,686.8,753.88,684.0,749.84
2022-02-26 02:00:00,749.05,780.0,722.93,742.74
2022-02-26 03:00:00,742.47,774.2,735.0,737.64
2022-02-26 04:00:00,737.64,760.01,715.16,733.63
2022-02-26 05:00:00,734.52,747.74,725.26,729.22
2022-02-26 06:00:00,729.09,733.95,705.44,706.0
2022-02-26 07:00:00,706.0,730.0,701.1,706.33
2022-02-26 08:00:00,706.2,715.51,696.39,710.53
2022-02-26 09:00:00,710.38,749.99,710.17,734.91
2022-02-26 10:00:00,734.51,738.4,712.23,714.43
2022-02-26 11:00:00,714.63,734.0,713.67,718.73
2022-02-26 12:00:00,718.73,738.48,717.09,736.0
2022-02-26 13:00:00,737.09,739.1,708.16,717.21
2022-02-26 14:00:00,717.21,729.1,717.17,721.92
2022-02-26 15:00:00,722.46,733.59,717.0,721.22
2022-02-26 16:00:00,721.07,730.0,718.74,723.61
2022-02-26 17:00:00,724.51,731.69,711.0,711.06
2022-02-26 18:00:00,712.51,719.85,691.75,704.14
2022-02-26 19:00:00,704.59,708.83,671.65,672.36
2022-02-26 20:00:00,672.12,674.36,650.0,650.0
2022-02-26 21:00:00,651.04,662.16,650.0,657.12
2022-02-26 22:00:00,657.5,668.83,652.18,657.52
2022-02-26 23:00:00,654.82,660.81,650.93,654.46
2022-02-27 00:00:00,654.46,658.62,651.8,656.0
2022-02-27 01:00:00,654.29,677.17,654.29,674.49
2022-02-27 02:00:00,674.49,678.59,660.53,670.38
2022-02-27 03:00:00,670.38,676.09,662.04,676.09
2022-02-27 04:00:00,676.75,705.57,674.06,696.32
2022-02-27 05:00:00,695.25,708.0,684.47,707.0
2022-02-27 06:00:00,706.99,710.11,692.75,708.05
2022-02-27 07:00:00,708.43,709.71,695.58,704.52
2022-02-27 08:00:00,705.48,710.0,666.94,685.19
2022-02-27 09:00:00,684.0,686.96,664.84,671.91
2022-02-27 10:00:00,670.71,687.85,665.58,683.65
2022-02-27 11:00:00,684.41,684.41,670.54,674.56
2022-02-27 12:00:00,673.19,673.44,665.96,666.0
2022-02-27 13:00:00,665.44,669.87,652.87,653.98
2022-02-27 14:00:00,653.93,660.23,622.83,622.92
2022-02-27 15:00:00,622.92,649.6,611.0,628.16
2022-02-27 16:00:00,625.99,634.57,605.0,619.44
2022-02-27 17:00:00,619.04,630.78,617.76,623.98
2022-02-27 18:00:00,626.03,626.03,610.0,615.21
2022-02-27 19:00:00,616.93,622.14,612.08,614.82
2022-02-27 20:00:00,616.03,638.93,614.12,625.96
2022-02-27 21:00:00,626.51,637.92,624.99,633.6
2022-02-27 22:00:00,633.92,636.76,619.14,623.25
2022-02-27 23:00:00,623.01,628.0,617.11,621.83
2022-02-28 00:00:00,621.12,629.45,620.18,626.85
2022-02-28 01:00:00,626.74,635.0,620.04,628.39
2022-02-28 02:00:00,628.39,650.0,624.0,643.67
2022-02-28 03:00:00,641.95,670.24,638.0,657.44
2022-02-28 04:00:00,659.46,667.71,632.87,632.87
2022-02-28 05:00:00,635.18,650.25,632.93,640.1
2022-02-28 06:00:00,640.1,645.0,633.93,637.86
2022-02-28 07:00:00,637.76,646.65,634.5,638.03
2022-02-28 08:00:00,638.1,644.11,626.71,627.0
2022-02-28 09:00:00,627.32,662.97,624.49,657.35
2022-02-28 10:00:00,658.37,680.6,650.86,675.0
2022-02-28 11:00:00,675.0,692.0,666.18,669.4
2022-02-28 12:00:00,670.44,672.75,657.43,672.75
2022-02-28 13:00:00,673.1,677.31,662.2,665.87
2022-02-28 14:00:00,665.87,668.15,658.44,666.0
2022-02-28 15:00:00,666.44,678.41,665.34,671.39
2022-02-28 16:00:00,671.6,673.45,665.96,668.82
2022-02-28 17:00:00,669.76,695.91,669.44,677.41
