datetime,IOTXUSD_open,IOTXUSD_high,IOTXUSD_low,IOTXUSD_close
2022-03-17 17:00:00,0.10008,0.10063,0.09822,0.09847
2022-03-17 18:00:00,0.09847,0.09921,0.09751,0.09913
2022-03-17 19:00:00,0.099,0.0991,0.09758,0.09851
2022-03-17 20:00:00,0.09894,0.09894,0.09527,0.09678
2022-03-17 21:00:00,0.09647,0.09666,0.09505,0.096
2022-03-17 22:00:00,0.096,0.09629,0.0931,0.09596
2022-03-17 23:00:00,0.0961,0.09622,0.09583,0.09613
2022-03-18 00:00:00,0.09613,0.09644,0.09337,0.09345
2022-03-18 01:00:00,0.09338,0.09455,0.09276,0.09401
2022-03-18 02:00:00,0.09422,0.09441,0.09283,0.09318
2022-03-18 03:00:00,0.09327,0.0949,0.09286,0.09289
2022-03-18 04:00:00,0.09293,0.09487,0.09293,0.09481
2022-03-18 05:00:00,0.09457,0.09568,0.09361,0.0944
2022-03-18 06:00:00,0.0941,0.09502,0.09374,0.0946
2022-03-18 07:00:00,0.0946,0.09542,0.09379,0.09391
2022-03-18 08:00:00,0.09422,0.0949,0.0931,0.09329
2022-03-18 09:00:00,0.09313,0.09372,0.09162,0.09233
2022-03-18 10:00:00,0.09235,0.09397,0.09176,0.09306
2022-03-18 11:00:00,0.09306,0.09327,0.09189,0.0928
2022-03-18 12:00:00,0.09317,0.09418,0.09123,0.09181
2022-03-18 13:00:00,0.09163,0.09429,0.09163,0.09401
2022-03-18 14:00:00,0.09401,0.09459,0.09276,0.09365
2022-03-18 15:00:00,0.09342,0.09475,0.09281,0.09393
2022-03-18 16:00:00,0.09393,0.09648,0.09393,0.09593
2022-03-18 17:00:00,0.09606,0.09848,0.09598,0.09661
2022-03-18 18:00:00,0.09661,0.09746,0.09582,0.09639
2022-03-18 19:00:00,0.09639,0.09639,0.0945,0.09617
2022-03-18 20:00:00,0.09597,0.09696,0.09494,0.09511
2022-03-18 21:00:00,0.09511,0.09648,0.0945,0.09479
2022-03-18 22:00:00,0.09479,0.09591,0.09479,0.09481
2022-03-18 23:00:00,0.09482,0.09664,0.09481,0.09582
2022-03-19 00:00:00,0.09578,0.0967,0.09493,0.09552
2022-03-19 01:00:00,0.09545,0.09663,0.09462,0.09593
2022-03-19 02:00:00,0.09608,0.09681,0.09586,0.09659
2022-03-19 03:00:00,0.09676,0.097,0.096,0.09615
2022-03-19 04:00:00,0.09633,0.09645,0.09581,0.09611
2022-03-19 05:00:00,0.09627,0.09638,0.09591,0.09617
2022-03-19 06:00:00,0.09619,0.09746,0.0959,0.09719
2022-03-19 07:00:00,0.09703,0.09809,0.09703,0.09801
2022-03-19 08:00:00,0.09804,0.099,0.09679,0.09707
2022-03-19 09:00:00,0.09707,0.0978,0.09666,0.09695
2022-03-19 10:00:00,0.0971,0.09772,0.09666,0.09738
2022-03-19 11:00:00,0.09766,0.09894,0.0962,0.09787
2022-03-19 12:00:00,0.09732,0.09891,0.09717,0.09748
2022-03-19 13:00:00,0.09741,0.09825,0.09617,0.09704
2022-03-19 14:00:00,0.09682,0.09804,0.09562,0.09758
2022-03-19 15:00:00,0.0973,0.09797,0.09726,0.09735
2022-03-19 16:00:00,0.09738,0.09792,0.0973,0.0978
2022-03-19 17:00:00,0.09764,0.0977,0.09618,0.09648
2022-03-19 18:00:00,0.09648,0.09648,0.09577,0.0959
2022-03-19 19:00:00,0.09591,0.09647,0.09577,0.09647
2022-03-19 20:00:00,0.09595,0.09766,0.09577,0.09619
2022-03-19 21:00:00,0.09637,0.09769,0.09618,0.0972
2022-03-19 22:00:00,0.0972,0.0975,0.09647,0.0965
2022-03-19 23:00:00,0.0965,0.09723,0.0959,0.09691
2022-03-20 00:00:00,0.09717,0.09744,0.09645,0.09656
2022-03-20 01:00:00,0.09656,0.09714,0.09633,0.09687
2022-03-20 02:00:00,0.09703,0.09795,0.09656,0.0976
2022-03-20 03:00:00,0.0976,0.09782,0.09733,0.09761
2022-03-20 04:00:00,0.09776,0.09791,0.09763,0.09783
2022-03-20 05:00:00,0.09788,0.09809,0.09672,0.09701
2022-03-20 06:00:00,0.09737,0.09842,0.09673,0.09808
2022-03-20 07:00:00,0.09807,0.09876,0.09775,0.0978
2022-03-20 08:00:00,0.0978,0.09853,0.0978,0.09816
2022-03-20 09:00:00,0.09783,0.09825,0.09727,0.09779
2022-03-20 10:00:00,0.09761,0.09855,0.09742,0.09801
2022-03-20 11:00:00,0.09775,0.09863,0.09742,0.09795
2022-03-20 12:00:00,0.09798,0.09878,0.09757,0.09766
2022-03-20 13:00:00,0.09766,0.09808,0.09757,0.09757
