datetime,MATICUSD_open,MATICUSD_high,MATICUSD_low,MATICUSD_close
2022-03-19 01:00:00,1.5264,1.5291,1.5103,1.512
2022-03-19 02:00:00,1.5119,1.5163,1.5067,1.5138
2022-03-19 03:00:00,1.5139,1.5226,1.5046,1.5217
2022-03-19 04:00:00,1.5217,1.5299,1.5189,1.5257
2022-03-19 05:00:00,1.5257,1.5261,1.5177,1.5231
2022-03-19 06:00:00,1.523,1.5281,1.5206,1.5237
2022-03-19 07:00:00,1.5235,1.5236,1.5054,1.5078
2022-03-19 08:00:00,1.5075,1.5173,1.5058,1.5159
2022-03-19 09:00:00,1.5158,1.521,1.5129,1.5168
2022-03-19 10:00:00,1.517,1.5177,1.5078,1.5086
2022-03-19 11:00:00,1.5081,1.5153,1.5062,1.514
2022-03-19 12:00:00,1.5139,1.5315,1.5101,1.5315
2022-03-19 13:00:00,1.5314,1.5328,1.5153,1.5194
2022-03-19 14:00:00,1.5191,1.5345,1.5132,1.5332
2022-03-19 15:00:00,1.5333,1.5425,1.5255,1.5333
2022-03-19 16:00:00,1.5328,1.5419,1.524,1.5337
2022-03-19 17:00:00,1.5342,1.5367,1.5232,1.5293
2022-03-19 18:00:00,1.5292,1.532,1.5186,1.5301
2022-03-19 19:00:00,1.5298,1.5309,1.5198,1.5219
2022-03-19 20:00:00,1.522,1.5309,1.5117,1.5271
2022-03-19 21:00:00,1.5274,1.5384,1.5269,1.5291
2022-03-19 22:00:00,1.5294,1.5307,1.5111,1.5208
2022-03-19 23:00:00,1.5208,1.531,1.5161,1.5302
2022-03-20 00:00:00,1.5307,1.5374,1.5128,1.5158
2022-03-20 01:00:00,1.5158,1.5199,1.4977,1.5133
2022-03-20 02:00:00,1.5129,1.5145,1.5004,1.5061
2022-03-20 03:00:00,1.506,1.516,1.5034,1.5142
2022-03-20 04:00:00,1.5149,1.5161,1.5075,1.5098
2022-03-20 05:00:00,1.5095,1.5157,1.5073,1.5153
2022-03-20 06:00:00,1.5157,1.5237,1.5137,1.5166
2022-03-20 07:00:00,1.5162,1.5193,1.5114,1.5144
