datetime,NEARBUSD_open,NEARBUSD_high,NEARBUSD_low,NEARBUSD_close
2022-01-18 19:00:00,17.71,17.8,17.404,17.496
2022-01-18 20:00:00,17.503,17.861,17.503,17.835
2022-01-18 21:00:00,17.824,17.851,17.632,17.689
2022-01-18 22:00:00,17.679,17.838,17.15,17.474
2022-01-18 23:00:00,17.462,17.796,17.451,17.709
2022-01-19 00:00:00,17.693,17.835,17.459,17.507
2022-01-19 01:00:00,17.506,17.59,17.253,17.265
2022-01-19 02:00:00,17.273,17.329,16.527,16.603
2022-01-19 03:00:00,16.608,16.808,16.399,16.772
2022-01-19 04:00:00,16.764,17.398,16.709,17.273
2022-01-19 05:00:00,17.265,17.418,16.912,17.086
2022-01-19 06:00:00,17.071,17.63,17.068,17.459
2022-01-19 07:00:00,17.454,17.609,17.182,17.249
2022-01-19 08:00:00,17.249,17.456,17.155,17.261
2022-01-19 09:00:00,17.267,17.591,17.147,17.551
2022-01-19 10:00:00,17.568,17.624,17.031,17.208
2022-01-19 11:00:00,17.198,17.303,16.818,16.961
2022-01-19 12:00:00,16.966,17.369,16.933,17.144
2022-01-19 13:00:00,17.133,17.18,16.975,17.024
2022-01-19 14:00:00,17.01,17.039,16.851,16.878
2022-01-19 15:00:00,16.866,16.881,16.678,16.737
2022-01-19 16:00:00,16.738,16.848,16.322,16.385
2022-01-19 17:00:00,16.389,16.57,16.243,16.447
2022-01-19 18:00:00,16.445,16.445,16.172,16.215
2022-01-19 19:00:00,16.208,16.433,16.126,16.235
2022-01-19 20:00:00,16.242,16.374,16.136,16.234
2022-01-19 21:00:00,16.242,16.479,16.242,16.397
2022-01-19 22:00:00,16.402,16.512,16.326,16.41
2022-01-19 23:00:00,16.416,16.523,16.371,16.46
2022-01-20 00:00:00,16.455,16.527,16.333,16.42
2022-01-20 01:00:00,16.421,16.851,16.42,16.786
2022-01-20 02:00:00,16.787,16.848,16.626,16.763
2022-01-20 03:00:00,16.756,16.777,16.57,16.666
2022-01-20 04:00:00,16.653,16.727,16.58,16.679
2022-01-20 05:00:00,16.68,16.76,16.609,16.627
2022-01-20 06:00:00,16.632,16.81,16.587,16.666
2022-01-20 07:00:00,16.667,16.667,16.341,16.494
2022-01-20 08:00:00,16.485,16.937,16.417,16.903
2022-01-20 09:00:00,16.903,17.449,16.87,17.382
2022-01-20 10:00:00,17.379,17.574,17.179,17.256
2022-01-20 11:00:00,17.27,17.365,16.995,17.221
2022-01-20 12:00:00,17.222,17.433,17.123,17.19
2022-01-20 13:00:00,17.2,17.293,17.011,17.111
2022-01-20 14:00:00,17.111,17.287,17.029,17.125
2022-01-20 15:00:00,17.136,17.178,16.723,16.774
2022-01-20 16:00:00,16.779,16.8,15.78,15.789
2022-01-20 17:00:00,15.78,15.982,15.429,15.68
2022-01-20 18:00:00,15.671,15.689,15.158,15.264
2022-01-20 19:00:00,15.256,15.73,15.158,15.603
2022-01-20 20:00:00,15.597,15.611,14.62,14.74
2022-01-20 21:00:00,14.733,15.289,14.7,14.934
2022-01-20 22:00:00,14.925,15.022,14.434,14.585
2022-01-20 23:00:00,14.576,15.038,14.56,14.738
2022-01-21 00:00:00,14.718,14.811,14.52,14.7
2022-01-21 01:00:00,14.681,14.776,14.438,14.562
2022-01-21 02:00:00,14.554,14.742,14.285,14.706
2022-01-21 03:00:00,14.696,14.8,14.619,14.693
2022-01-21 04:00:00,14.71,14.724,14.511,14.539
2022-01-21 05:00:00,14.537,14.622,14.453,14.569
2022-01-21 06:00:00,14.553,14.603,14.241,14.381
2022-01-21 07:00:00,14.385,14.424,13.777,14.201
2022-01-21 08:00:00,14.202,14.295,13.965,14.173
2022-01-21 09:00:00,14.194,14.326,13.968,14.08
2022-01-21 10:00:00,14.05,14.599,13.95,14.491
2022-01-21 11:00:00,14.468,14.512,14.127,14.232
2022-01-21 12:00:00,14.227,14.323,13.713,13.842
2022-01-21 13:00:00,13.82,13.975,13.612,13.817
