datetime,EGLDBUSD_open,EGLDBUSD_high,EGLDBUSD_low,EGLDBUSD_close
2022-04-17 11:00:00,156.66,157.17,155.87,156.02
2022-04-17 12:00:00,156.01,156.35,155.01,155.47
2022-04-17 13:00:00,155.48,156.21,153.96,155.4
2022-04-17 14:00:00,155.38,155.86,154.6,155.58
2022-04-17 15:00:00,155.73,157.93,155.44,157.65
2022-04-17 16:00:00,157.8,157.98,156.7,157.26
2022-04-17 17:00:00,157.2,158.45,156.0,156.02
2022-04-17 18:00:00,156.03,156.04,151.73,152.68
2022-04-17 19:00:00,152.3,152.94,151.57,152.37
2022-04-17 20:00:00,152.22,152.82,151.48,151.91
2022-04-17 21:00:00,151.77,153.49,151.72,153.36
2022-04-17 22:00:00,153.46,153.75,152.99,153.46
2022-04-17 23:00:00,153.41,153.82,147.29,148.12
2022-04-18 00:00:00,148.04,148.17,145.55,146.77
2022-04-18 01:00:00,146.75,148.28,146.72,147.68
2022-04-18 02:00:00,147.74,148.27,146.19,146.94
2022-04-18 03:00:00,147.06,147.49,146.33,146.37
2022-04-18 04:00:00,146.37,146.81,145.67,146.77
2022-04-18 05:00:00,146.84,148.13,146.34,147.38
2022-04-18 06:00:00,147.29,148.61,147.29,147.64
2022-04-18 07:00:00,147.66,150.34,147.65,150.09
2022-04-18 08:00:00,150.29,151.77,149.45,150.51
2022-04-18 09:00:00,150.33,152.39,150.33,151.44
2022-04-18 10:00:00,151.48,151.49,149.89,150.36
2022-04-18 11:00:00,150.3,151.19,148.89,150.36
2022-04-18 12:00:00,150.63,153.34,150.27,153.1
2022-04-18 13:00:00,153.18,155.5,152.98,154.66
2022-04-18 14:00:00,154.72,154.91,153.51,153.99
2022-04-18 15:00:00,154.1,154.89,153.83,153.9
2022-04-18 16:00:00,153.97,155.0,153.97,154.23
2022-04-18 17:00:00,154.32,154.89,153.92,154.89
2022-04-18 18:00:00,154.95,155.13,154.14,154.89
2022-04-18 19:00:00,154.89,156.12,154.79,155.44
2022-04-18 20:00:00,155.42,155.61,154.12,154.37
2022-04-18 21:00:00,154.43,154.43,153.68,153.85
2022-04-18 22:00:00,153.86,154.8,153.86,154.49
2022-04-18 23:00:00,154.48,155.66,154.34,155.5
2022-04-19 00:00:00,155.54,156.19,154.62,155.64
2022-04-19 01:00:00,155.57,156.62,155.05,155.1
2022-04-19 02:00:00,155.09,156.17,155.0,155.5
2022-04-19 03:00:00,155.48,160.54,155.48,160.49
2022-04-19 04:00:00,160.48,161.72,158.72,159.94
2022-04-19 05:00:00,159.95,162.51,159.93,161.88
2022-04-19 06:00:00,161.94,162.54,160.73,160.73
2022-04-19 07:00:00,160.78,162.51,160.3,162.4
2022-04-19 08:00:00,162.3,163.7,161.34,162.61
2022-04-19 09:00:00,162.68,163.88,161.53,162.76
2022-04-19 10:00:00,162.92,163.99,158.62,160.87
2022-04-19 11:00:00,160.8,161.95,159.93,161.05
2022-04-19 12:00:00,161.06,161.95,160.0,161.69
2022-04-19 13:00:00,161.75,162.54,161.24,161.99
2022-04-19 14:00:00,162.05,163.0,161.77,162.24
2022-04-19 15:00:00,162.21,162.21,160.76,162.16
