datetime,SANDBUSD_open,SANDBUSD_high,SANDBUSD_low,SANDBUSD_close
2022-01-04 05:00:00,5.5736,5.6475,5.5639,5.6238
2022-01-04 06:00:00,5.623,5.6919,5.6228,5.6742
2022-01-04 07:00:00,5.6746,5.6847,5.6033,5.6412
2022-01-04 08:00:00,5.6435,5.6864,5.598,5.681
2022-01-04 09:00:00,5.6854,5.703,5.6274,5.6846
2022-01-04 10:00:00,5.6859,5.7158,5.6184,5.6297
2022-01-04 11:00:00,5.6331,5.6602,5.6063,5.6459
2022-01-04 12:00:00,5.6452,5.6554,5.58,5.5847
2022-01-04 13:00:00,5.5892,5.6215,5.4821,5.497
2022-01-04 14:00:00,5.4967,5.5673,5.45,5.4938
2022-01-04 15:00:00,5.4918,5.5475,5.48,5.52
2022-01-04 16:00:00,5.5197,5.5582,5.5004,5.5496
2022-01-04 17:00:00,5.5442,5.5442,5.5007,5.5095
2022-01-04 18:00:00,5.5112,5.527,5.4393,5.4609
2022-01-04 19:00:00,5.4615,5.5159,5.4358,5.5058
2022-01-04 20:00:00,5.5072,5.5121,5.4603,5.4605
2022-01-04 21:00:00,5.4609,5.5166,5.4609,5.502
2022-01-04 22:00:00,5.502,5.544,5.502,5.5186
2022-01-04 23:00:00,5.522,5.5357,5.5,5.5141
2022-01-05 00:00:00,5.5143,5.5144,5.476,5.4984
2022-01-05 01:00:00,5.5001,5.5512,5.488,5.5493
2022-01-05 02:00:00,5.5509,5.5575,5.5186,5.5351
2022-01-05 03:00:00,5.5351,5.5494,5.495,5.5292
2022-01-05 04:00:00,5.5277,5.5965,5.5204,5.5965
2022-01-05 05:00:00,5.5946,5.6545,5.5608,5.5849
2022-01-05 06:00:00,5.5831,5.5886,5.4804,5.5
2022-01-05 07:00:00,5.51,5.5265,5.4445,5.4974
2022-01-05 08:00:00,5.4979,5.5208,5.4765,5.5061
2022-01-05 09:00:00,5.5066,5.5257,5.4644,5.5104
2022-01-05 10:00:00,5.51,5.5241,5.4802,5.5107
2022-01-05 11:00:00,5.5092,5.5121,5.4736,5.475
2022-01-05 12:00:00,5.4756,5.4975,5.3166,5.327
2022-01-05 13:00:00,5.3263,5.3696,5.2701,5.3185
2022-01-05 14:00:00,5.3201,5.3449,5.001,5.093
2022-01-05 15:00:00,5.0915,5.1177,4.8948,5.0016
