datetime,DARBUSD_open,DARBUSD_high,DARBUSD_low,DARBUSD_close
2022-01-07 17:00:00,1.71713,1.72255,1.7059,1.71018
2022-01-07 18:00:00,1.71001,1.71267,1.70011,1.70529
2022-01-07 19:00:00,1.71333,1.74672,1.70918,1.74672
2022-01-07 20:00:00,1.74389,1.75492,1.73959,1.73971
2022-01-07 21:00:00,1.73962,1.74,1.71933,1.72799
2022-01-07 22:00:00,1.73073,1.73325,1.70999,1.71619
2022-01-07 23:00:00,1.71972,1.74,1.71506,1.73412
2022-01-08 00:00:00,1.73412,1.74,1.72996,1.73657
2022-01-08 01:00:00,1.73916,1.7593,1.73444,1.75621
2022-01-08 02:00:00,1.75629,1.78683,1.75629,1.76717
2022-01-08 03:00:00,1.77283,1.77934,1.75411,1.75744
2022-01-08 04:00:00,1.75745,1.76585,1.75161,1.76401
2022-01-08 05:00:00,1.76384,1.77301,1.75346,1.75346
2022-01-08 06:00:00,1.75346,1.75725,1.74284,1.74507
2022-01-08 07:00:00,1.74292,1.74637,1.72716,1.7338
2022-01-08 08:00:00,1.73,1.742,1.7258,1.73516
2022-01-08 09:00:00,1.73377,1.74307,1.72306,1.72306
2022-01-08 10:00:00,1.72281,1.724,1.703,1.70569
2022-01-08 11:00:00,1.70623,1.71179,1.65544,1.6598
2022-01-08 12:00:00,1.65525,1.65581,1.59961,1.59961
2022-01-08 13:00:00,1.5983,1.61468,1.55452,1.56733
2022-01-08 14:00:00,1.57536,1.59889,1.56354,1.57233
2022-01-08 15:00:00,1.57301,1.58456,1.55831,1.56155
2022-01-08 16:00:00,1.56155,1.61986,1.56103,1.60441
2022-01-08 17:00:00,1.6076,1.63407,1.6076,1.62249
2022-01-08 18:00:00,1.61796,1.62176,1.59704,1.59874
2022-01-08 19:00:00,1.60692,1.6247,1.59422,1.6247
2022-01-08 20:00:00,1.62465,1.62823,1.60885,1.61767
2022-01-08 21:00:00,1.61766,1.65591,1.6126,1.63911
2022-01-08 22:00:00,1.63815,1.63815,1.62,1.62762
2022-01-08 23:00:00,1.62588,1.63079,1.6167,1.63079
2022-01-09 00:00:00,1.63082,1.63789,1.62176,1.62477
2022-01-09 01:00:00,1.6271,1.6372,1.622,1.6358
2022-01-09 02:00:00,1.63379,1.637,1.62572,1.62865
2022-01-09 03:00:00,1.6284,1.63218,1.61572,1.61572
2022-01-09 04:00:00,1.617,1.61891,1.601,1.60433
2022-01-09 05:00:00,1.60433,1.61184,1.59375,1.60497
2022-01-09 06:00:00,1.60647,1.62824,1.60409,1.62667
2022-01-09 07:00:00,1.62667,1.63904,1.6152,1.63887
2022-01-09 08:00:00,1.6386,1.65387,1.63,1.63092
2022-01-09 09:00:00,1.63237,1.63809,1.62725,1.63405
2022-01-09 10:00:00,1.63617,1.63617,1.6118,1.61866
2022-01-09 11:00:00,1.61921,1.67188,1.6175,1.67188
2022-01-09 12:00:00,1.66976,1.71402,1.66976,1.69175
2022-01-09 13:00:00,1.69175,1.69899,1.68339,1.686
2022-01-09 14:00:00,1.68745,1.71828,1.68409,1.70537
2022-01-09 15:00:00,1.7092,1.71709,1.69245,1.717
2022-01-09 16:00:00,1.71788,1.71824,1.68588,1.68902
2022-01-09 17:00:00,1.68644,1.70249,1.68294,1.69545
2022-01-09 18:00:00,1.69247,1.73429,1.69247,1.71901
2022-01-09 19:00:00,1.71521,1.71521,1.68543,1.68543
2022-01-09 20:00:00,1.68774,1.69472,1.68277,1.69
2022-01-09 21:00:00,1.69,1.69044,1.67764,1.68167
2022-01-09 22:00:00,1.68147,1.68147,1.67318,1.67868
2022-01-09 23:00:00,1.67868,1.7126,1.67484,1.7088
2022-01-10 00:00:00,1.71148,1.71494,1.6872,1.68812
2022-01-10 01:00:00,1.68759,1.70315,1.68241,1.69593
2022-01-10 02:00:00,1.7,1.72382,1.7,1.7186
2022-01-10 03:00:00,1.71897,1.72363,1.70306,1.70989
2022-01-10 04:00:00,1.70884,1.71033,1.665,1.66921
2022-01-10 05:00:00,1.66522,1.7442,1.659,1.74074
2022-01-10 06:00:00,1.73957,1.74074,1.63,1.63323
2022-01-10 07:00:00,1.6373,1.64459,1.57491,1.58
2022-01-10 08:00:00,1.58007,1.59519,1.56,1.56002
2022-01-10 09:00:00,1.56001,1.56212,1.47891,1.53514
2022-01-10 10:00:00,1.53212,1.53806,1.50196,1.5357
2022-01-10 11:00:00,1.5337,1.56785,1.51266,1.55828
2022-01-10 12:00:00,1.56845,1.57108,1.5,1.51671
2022-01-10 13:00:00,1.51671,1.5338,1.50815,1.53185
2022-01-10 14:00:00,1.52861,1.53898,1.52175,1.52457
2022-01-10 15:00:00,1.52457,1.54545,1.51319,1.54536
2022-01-10 16:00:00,1.53927,1.55241,1.53576,1.53805
2022-01-10 17:00:00,1.54215,1.54762,1.53692,1.53695
