datetime,USDTEUR_open,USDTEUR_high,USDTEUR_low,USDTEUR_close
2022-03-11 00:00:00,0.9088,0.9098,0.9083,0.9098
2022-03-11 01:00:00,0.9097,0.911,0.9096,0.9104
2022-03-11 02:00:00,0.9104,0.9106,0.9096,0.9104
2022-03-11 03:00:00,0.9102,0.9104,0.9093,0.9095
2022-03-11 04:00:00,0.9095,0.91,0.909,0.9094
2022-03-11 05:00:00,0.9095,0.9102,0.9094,0.9101
2022-03-11 06:00:00,0.91,0.9102,0.9092,0.91
2022-03-11 07:00:00,0.9096,0.9114,0.9093,0.911
2022-03-11 08:00:00,0.9112,0.9127,0.9106,0.9115
2022-03-11 09:00:00,0.9116,0.9128,0.911,0.9126
2022-03-11 10:00:00,0.9125,0.9125,0.9109,0.9113
2022-03-11 11:00:00,0.9113,0.9115,0.907,0.9085
2022-03-11 12:00:00,0.9086,0.9112,0.9074,0.9109
2022-03-11 13:00:00,0.9108,0.9111,0.9093,0.9103
2022-03-11 14:00:00,0.9103,0.9116,0.91,0.9114
2022-03-11 15:00:00,0.9112,0.914,0.9112,0.9126
2022-03-11 16:00:00,0.9126,0.9151,0.9123,0.9151
2022-03-11 17:00:00,0.9147,0.9169,0.9147,0.9167
2022-03-11 18:00:00,0.9166,0.9178,0.9162,0.9175
2022-03-11 19:00:00,0.9173,0.9178,0.9166,0.9169
2022-03-11 20:00:00,0.9169,0.9176,0.9168,0.9171
2022-03-11 21:00:00,0.9172,0.9173,0.9165,0.9172
2022-03-11 22:00:00,0.917,0.9172,0.9165,0.9169
2022-03-11 23:00:00,0.917,0.917,0.9166,0.9168
2022-03-12 00:00:00,0.9168,0.917,0.9164,0.9168
2022-03-12 01:00:00,0.9166,0.917,0.9164,0.9168
2022-03-12 02:00:00,0.9167,0.917,0.9167,0.9168
2022-03-12 03:00:00,0.9169,0.9172,0.9168,0.9171
2022-03-12 04:00:00,0.9172,0.9173,0.917,0.9172
2022-03-12 05:00:00,0.9171,0.9174,0.9168,0.9169
2022-03-12 06:00:00,0.917,0.9174,0.9168,0.9172
2022-03-12 07:00:00,0.9171,0.9174,0.9169,0.9171
2022-03-12 08:00:00,0.9171,0.9172,0.9168,0.917
2022-03-12 09:00:00,0.9172,0.9172,0.9168,0.9172
2022-03-12 10:00:00,0.9171,0.9174,0.9169,0.9172
2022-03-12 11:00:00,0.9172,0.9176,0.9168,0.9169
2022-03-12 12:00:00,0.917,0.9175,0.9168,0.9168
2022-03-12 13:00:00,0.917,0.9171,0.9168,0.9169
2022-03-12 14:00:00,0.9168,0.9174,0.9168,0.9171
2022-03-12 15:00:00,0.9173,0.9174,0.9168,0.9168
2022-03-12 16:00:00,0.917,0.917,0.9168,0.9169
2022-03-12 17:00:00,0.917,0.9172,0.9167,0.9171
2022-03-12 18:00:00,0.9172,0.9173,0.9168,0.917
2022-03-12 19:00:00,0.9169,0.9174,0.9169,0.9171
2022-03-12 20:00:00,0.9172,0.9178,0.917,0.9172
2022-03-12 21:00:00,0.9173,0.9176,0.917,0.9173
2022-03-12 22:00:00,0.9172,0.9176,0.917,0.9172
2022-03-12 23:00:00,0.9173,0.9176,0.917,0.9176
2022-03-13 00:00:00,0.9176,0.9178,0.9173,0.9174
2022-03-13 01:00:00,0.9173,0.9176,0.9171,0.9173
2022-03-13 02:00:00,0.9173,0.9174,0.9171,0.9174
2022-03-13 03:00:00,0.9174,0.9174,0.9171,0.9171
2022-03-13 04:00:00,0.9171,0.9174,0.917,0.9171
2022-03-13 05:00:00,0.9171,0.9173,0.917,0.9172
2022-03-13 06:00:00,0.9171,0.9172,0.9169,0.917
2022-03-13 07:00:00,0.9172,0.9172,0.9168,0.9168
2022-03-13 08:00:00,0.9171,0.9174,0.9163,0.9168
2022-03-13 09:00:00,0.9167,0.9174,0.9167,0.9171
2022-03-13 10:00:00,0.9171,0.9174,0.9168,0.9173
2022-03-13 11:00:00,0.9173,0.9175,0.917,0.9173
2022-03-13 12:00:00,0.9172,0.9176,0.917,0.9174
2022-03-13 13:00:00,0.9174,0.9176,0.9171,0.9172
2022-03-13 14:00:00,0.9175,0.9178,0.9172,0.9172
2022-03-13 15:00:00,0.9172,0.9174,0.9168,0.9169
2022-03-13 16:00:00,0.9169,0.9171,0.9166,0.917
2022-03-13 17:00:00,0.917,0.9172,0.9164,0.917
2022-03-13 18:00:00,0.9169,0.9174,0.9164,0.9164
2022-03-13 19:00:00,0.9165,0.9168,0.9162,0.9164
2022-03-13 20:00:00,0.9164,0.9171,0.9161,0.9164
2022-03-13 21:00:00,0.9162,0.9166,0.9158,0.9162
2022-03-13 22:00:00,0.9163,0.9164,0.9146,0.9156
2022-03-13 23:00:00,0.9157,0.9159,0.9146,0.9151
2022-03-14 00:00:00,0.9152,0.9162,0.9151,0.9154
2022-03-14 01:00:00,0.9154,0.9162,0.9149,0.9162
2022-03-14 02:00:00,0.9162,0.9172,0.916,0.9166
2022-03-14 03:00:00,0.9167,0.9172,0.9164,0.9171
2022-03-14 04:00:00,0.9172,0.9176,0.9166,0.9167
2022-03-14 05:00:00,0.9166,0.9168,0.9163,0.9168
2022-03-14 06:00:00,0.9168,0.9168,0.9158,0.916
2022-03-14 07:00:00,0.916,0.9167,0.9144,0.9148
2022-03-14 08:00:00,0.9147,0.915,0.9124,0.9129
2022-03-14 09:00:00,0.913,0.9132,0.9104,0.9108
2022-03-14 10:00:00,0.9108,0.9127,0.9027,0.9126
2022-03-14 11:00:00,0.9127,0.9143,0.9121,0.9139
2022-03-14 12:00:00,0.9139,0.9139,0.9124,0.9128
2022-03-14 13:00:00,0.9128,0.9144,0.9126,0.9142
2022-03-14 14:00:00,0.9141,0.9141,0.9118,0.9122
2022-03-14 15:00:00,0.9122,0.9128,0.9108,0.9111
2022-03-14 16:00:00,0.9112,0.912,0.9097,0.9117
2022-03-14 17:00:00,0.9116,0.9124,0.9111,0.9117
2022-03-14 18:00:00,0.9116,0.9128,0.9113,0.9124
2022-03-14 19:00:00,0.9128,0.9136,0.912,0.9136
2022-03-14 20:00:00,0.9134,0.9147,0.9132,0.9145
2022-03-14 21:00:00,0.9146,0.9147,0.9135,0.9135
2022-03-14 22:00:00,0.9138,0.9144,0.9134,0.9142
2022-03-14 23:00:00,0.9142,0.915,0.9139,0.914
2022-03-15 00:00:00,0.914,0.914,0.913,0.9131
2022-03-15 01:00:00,0.9133,0.914,0.913,0.913
2022-03-15 02:00:00,0.9129,0.9129,0.9114,0.9119
2022-03-15 03:00:00,0.9118,0.912,0.9113,0.9113
2022-03-15 04:00:00,0.9113,0.9117,0.9108,0.9108
2022-03-15 05:00:00,0.9109,0.9114,0.9108,0.911
2022-03-15 06:00:00,0.911,0.9121,0.9109,0.9118
2022-03-15 07:00:00,0.9118,0.912,0.9084,0.9092
2022-03-15 08:00:00,0.9093,0.9104,0.9083,0.9098
2022-03-15 09:00:00,0.9096,0.9104,0.9092,0.9092
2022-03-15 10:00:00,0.9092,0.9103,0.9092,0.9102
2022-03-15 11:00:00,0.9102,0.9114,0.9099,0.9111
2022-03-15 12:00:00,0.9107,0.9109,0.9096,0.9104
2022-03-15 13:00:00,0.9104,0.9117,0.9099,0.9099
2022-03-15 14:00:00,0.91,0.9114,0.9097,0.9111
2022-03-15 15:00:00,0.9109,0.9127,0.9096,0.9121
2022-03-15 16:00:00,0.912,0.9144,0.9118,0.9136
