datetime,LAZIOBUSD_open,LAZIOBUSD_high,LAZIOBUSD_low,LAZIOBUSD_close
2022-02-14 03:00:00,3.5683,3.5996,3.5177,3.5377
2022-02-14 04:00:00,3.5377,3.5874,3.532,3.5874
2022-02-14 05:00:00,3.5776,3.5999,3.5429,3.5527
2022-02-14 06:00:00,3.5436,3.5436,3.5056,3.5199
2022-02-14 07:00:00,3.5197,3.5475,3.509,3.5256
2022-02-14 08:00:00,3.5391,3.5572,3.5347,3.5496
2022-02-14 09:00:00,3.5427,3.5625,3.5257,3.5375
2022-02-14 10:00:00,3.5377,3.5385,3.5169,3.5353
2022-02-14 11:00:00,3.5353,3.6,3.5353,3.55
2022-02-14 12:00:00,3.55,3.5766,3.5407,3.5562
2022-02-14 13:00:00,3.5355,3.5832,3.5355,3.5631
2022-02-14 14:00:00,3.559,3.559,3.4925,3.5235
2022-02-14 15:00:00,3.5334,3.5471,3.5002,3.5296
2022-02-14 16:00:00,3.5374,3.5482,3.5246,3.5246
2022-02-14 17:00:00,3.5324,3.5818,3.5324,3.5818
2022-02-14 18:00:00,3.5617,3.582,3.5309,3.5705
2022-02-14 19:00:00,3.5528,3.5651,3.5367,3.5541
2022-02-14 20:00:00,3.5419,3.6336,3.5419,3.6227
2022-02-14 21:00:00,3.6115,3.628,3.6113,3.6182
2022-02-14 22:00:00,3.6288,3.6365,3.5996,3.6145
2022-02-14 23:00:00,3.613,3.6214,3.6,3.6153
2022-02-15 00:00:00,3.6029,3.6666,3.5976,3.6444
2022-02-15 01:00:00,3.6291,3.6397,3.6169,3.6397
2022-02-15 02:00:00,3.6441,3.8,3.6413,3.718
2022-02-15 03:00:00,3.7304,3.7348,3.6756,3.6853
2022-02-15 04:00:00,3.6756,3.6971,3.6571,3.6684
2022-02-15 05:00:00,3.6732,3.7025,3.6668,3.694
2022-02-15 06:00:00,3.6985,3.712,3.6638,3.6824
2022-02-15 07:00:00,3.6688,3.6688,3.6462,3.667
2022-02-15 08:00:00,3.6673,3.6869,3.6606,3.6714
2022-02-15 09:00:00,3.6815,3.7278,3.6815,3.7264
2022-02-15 10:00:00,3.6976,3.6976,3.6508,3.6628
2022-02-15 11:00:00,3.6601,3.6737,3.6371,3.6671
2022-02-15 12:00:00,3.6733,3.6733,3.642,3.6505
2022-02-15 13:00:00,3.6541,3.6541,3.6377,3.6502
2022-02-15 14:00:00,3.6683,3.6757,3.6669,3.6676
2022-02-15 15:00:00,3.6659,3.679,3.6532,3.679
2022-02-15 16:00:00,3.6787,3.685,3.668,3.6842
2022-02-15 17:00:00,3.6842,3.7142,3.6842,3.7015
2022-02-15 18:00:00,3.7015,3.7366,3.6891,3.71
2022-02-15 19:00:00,3.71,3.7159,3.6859,3.6904
2022-02-15 20:00:00,3.6793,3.6793,3.679,3.679
2022-02-15 21:00:00,3.6846,3.6852,3.6701,3.6843
2022-02-15 22:00:00,3.6928,3.6928,3.671,3.671
2022-02-15 23:00:00,3.6831,3.6832,3.6717,3.6832
2022-02-16 00:00:00,3.6778,3.6927,3.6749,3.6817
2022-02-16 01:00:00,3.7068,3.7068,3.6823,3.69
2022-02-16 02:00:00,3.6927,3.7003,3.6732,3.6942
2022-02-16 03:00:00,3.6921,3.7037,3.6825,3.6964
2022-02-16 04:00:00,3.6898,3.6898,3.6634,3.6634
2022-02-16 05:00:00,3.6692,3.6826,3.64,3.6426
2022-02-16 06:00:00,3.6535,3.6589,3.6461,3.6586
2022-02-16 07:00:00,3.6575,3.6693,3.6445,3.6478
2022-02-16 08:00:00,3.6471,3.6592,3.5663,3.576
2022-02-16 09:00:00,3.5812,3.5812,3.5067,3.5067
2022-02-16 10:00:00,3.5295,3.5408,3.5184,3.5184
2022-02-16 11:00:00,3.5322,3.5405,3.518,3.5405
2022-02-16 12:00:00,3.5405,3.5464,3.5214,3.5214
2022-02-16 13:00:00,3.5361,3.5545,3.5239,3.5545
2022-02-16 14:00:00,3.563,3.629,3.5534,3.619
2022-02-16 15:00:00,3.6351,3.6383,3.6097,3.6257
2022-02-16 16:00:00,3.6253,3.6253,3.598,3.6061
2022-02-16 17:00:00,3.6011,3.6255,3.6009,3.6253
2022-02-16 18:00:00,3.6102,3.6241,3.6102,3.6241
2022-02-16 19:00:00,3.6226,3.6267,3.5984,3.6221
2022-02-16 20:00:00,3.6262,3.6373,3.6139,3.6256
2022-02-16 21:00:00,3.618,3.6285,3.618,3.6285
2022-02-16 22:00:00,3.6175,3.6175,3.5882,3.5882
2022-02-16 23:00:00,3.5699,3.6032,3.5643,3.6032
2022-02-17 00:00:00,3.5983,3.6097,3.5942,3.5968
2022-02-17 01:00:00,3.59,3.6156,3.583,3.6072
2022-02-17 02:00:00,3.6087,3.6132,3.598,3.6085
2022-02-17 03:00:00,3.611,3.6348,3.5714,3.5737
2022-02-17 04:00:00,3.5823,3.5867,3.5413,3.5684
2022-02-17 05:00:00,3.5705,3.5904,3.5431,3.5492
2022-02-17 06:00:00,3.548,3.5669,3.5361,3.5652
2022-02-17 07:00:00,3.5657,3.5898,3.5394,3.5461
2022-02-17 08:00:00,3.5361,3.5499,3.471,3.5204
