datetime,STPTBUSD_open,STPTBUSD_high,STPTBUSD_low,STPTBUSD_close
2022-03-18 13:00:00,0.08898,0.0891,0.08861,0.08902
2022-03-18 14:00:00,0.08902,0.08999,0.08899,0.08999
2022-03-18 15:00:00,0.09017,0.09029,0.0895,0.0895
2022-03-18 16:00:00,0.08934,0.09013,0.08934,0.09013
2022-03-18 17:00:00,0.09,0.09,0.08902,0.08902
2022-03-18 18:00:00,0.0898,0.08983,0.0898,0.08983
2022-03-18 19:00:00,0.0898,0.09026,0.08935,0.09014
2022-03-18 20:00:00,0.08937,0.08937,0.08899,0.08904
2022-03-18 21:00:00,0.08916,0.08916,0.08852,0.089
2022-03-18 22:00:00,0.08863,0.08908,0.08829,0.08908
2022-03-18 23:00:00,0.08908,0.08932,0.08882,0.08927
2022-03-19 00:00:00,0.08927,0.08927,0.08927,0.08927
2022-03-19 01:00:00,0.08877,0.08928,0.08871,0.08916
2022-03-19 02:00:00,0.08917,0.08917,0.08915,0.08915
2022-03-19 03:00:00,0.0889,0.08898,0.0884,0.08898
2022-03-19 04:00:00,0.08898,0.08941,0.08898,0.08941
2022-03-19 05:00:00,0.08938,0.08938,0.08921,0.08921
2022-03-19 06:00:00,0.08921,0.08955,0.0892,0.08955
2022-03-19 07:00:00,0.08936,0.08994,0.08918,0.08994
2022-03-19 08:00:00,0.08982,0.09005,0.08959,0.08977
2022-03-19 09:00:00,0.08967,0.09007,0.08962,0.0899
2022-03-19 10:00:00,0.09011,0.09034,0.08981,0.09033
2022-03-19 11:00:00,0.09033,0.09067,0.09007,0.09059
2022-03-19 12:00:00,0.09015,0.09039,0.08999,0.09039
2022-03-19 13:00:00,0.08993,0.08993,0.08975,0.08975
2022-03-19 14:00:00,0.08991,0.08991,0.08975,0.08985
2022-03-19 15:00:00,0.08981,0.09053,0.08935,0.09053
2022-03-19 16:00:00,0.09028,0.09028,0.08975,0.08977
2022-03-19 17:00:00,0.08963,0.08998,0.08944,0.08998
2022-03-19 18:00:00,0.08998,0.09017,0.08986,0.09017
2022-03-19 19:00:00,0.09034,0.09034,0.08943,0.08943
2022-03-19 20:00:00,0.09017,0.09463,0.08995,0.0914
2022-03-19 21:00:00,0.09201,0.09201,0.09085,0.09099
2022-03-19 22:00:00,0.09099,0.09177,0.09099,0.09177
2022-03-19 23:00:00,0.09186,0.09186,0.09186,0.09186
2022-03-20 00:00:00,0.09186,0.09198,0.09186,0.09198
2022-03-20 01:00:00,0.0914,0.09201,0.0914,0.09201
2022-03-20 02:00:00,0.09136,0.09211,0.09097,0.09209
2022-03-20 03:00:00,0.09205,0.09205,0.09123,0.09123
2022-03-20 04:00:00,0.09186,0.09248,0.09182,0.09201
2022-03-20 05:00:00,0.09178,0.09215,0.09153,0.09159
2022-03-20 06:00:00,0.0916,0.09214,0.09152,0.09152
2022-03-20 07:00:00,0.09146,0.09146,0.08963,0.0901
2022-03-20 08:00:00,0.09016,0.09032,0.0898,0.09032
2022-03-20 09:00:00,0.09019,0.09019,0.08991,0.08997
2022-03-20 10:00:00,0.08963,0.08963,0.08881,0.08893
2022-03-20 11:00:00,0.0891,0.09021,0.08909,0.08963
2022-03-20 12:00:00,0.08947,0.08947,0.08892,0.08892
