datetime,MANABUSD_open,MANABUSD_high,MANABUSD_low,MANABUSD_close
2022-01-06 18:00:00,3.332,3.3999,3.271,3.3912
2022-01-06 19:00:00,3.3908,3.4366,3.2645,3.3201
2022-01-06 20:00:00,3.3216,3.3716,3.2935,3.3137
2022-01-06 21:00:00,3.3112,3.3182,3.2257,3.24
2022-01-06 22:00:00,3.2383,3.2564,3.0845,3.1415
2022-01-06 23:00:00,3.143,3.2393,3.0708,3.2193
2022-01-07 00:00:00,3.2194,3.2545,3.1767,3.2148
2022-01-07 01:00:00,3.2148,3.2149,3.1316,3.1558
2022-01-07 02:00:00,3.1594,3.2353,3.0941,3.2053
2022-01-07 03:00:00,3.2037,3.2758,3.1725,3.2209
2022-01-07 04:00:00,3.2203,3.2546,3.2157,3.2316
2022-01-07 05:00:00,3.2316,3.2476,3.1715,3.1732
2022-01-07 06:00:00,3.1723,3.2016,3.157,3.1681
2022-01-07 07:00:00,3.1683,3.2233,3.1683,3.195
2022-01-07 08:00:00,3.195,3.2125,3.0314,3.0797
2022-01-07 09:00:00,3.0825,3.1487,3.0722,3.1175
2022-01-07 10:00:00,3.1188,3.1316,3.0227,3.0911
2022-01-07 11:00:00,3.0895,3.142,3.0546,3.1366
2022-01-07 12:00:00,3.1363,3.1379,3.0968,3.1303
2022-01-07 13:00:00,3.1294,3.13,3.0725,3.0901
2022-01-07 14:00:00,3.0919,3.1221,3.0728,3.109
2022-01-07 15:00:00,3.1129,3.1252,3.0781,3.1078
2022-01-07 16:00:00,3.1088,3.1249,3.0939,3.1134
2022-01-07 17:00:00,3.113,3.113,3.0155,3.0444
2022-01-07 18:00:00,3.0374,3.0635,3.0236,3.0585
2022-01-07 19:00:00,3.0588,3.1111,3.0248,3.0994
2022-01-07 20:00:00,3.1,3.1181,3.0775,3.0869
2022-01-07 21:00:00,3.0875,3.0889,3.0525,3.0827
2022-01-07 22:00:00,3.0819,3.0842,3.043,3.068
2022-01-07 23:00:00,3.0702,3.0969,3.0702,3.0833
2022-01-08 00:00:00,3.0825,3.0944,3.0747,3.0884
2022-01-08 01:00:00,3.0872,3.097,3.0626,3.0964
2022-01-08 02:00:00,3.0954,3.1325,3.0907,3.1125
2022-01-08 03:00:00,3.1128,3.1339,3.0939,3.1025
2022-01-08 04:00:00,3.1046,3.1133,3.0916,3.1036
2022-01-08 05:00:00,3.1047,3.1106,3.0608,3.0707
2022-01-08 06:00:00,3.0699,3.0769,3.0516,3.0719
2022-01-08 07:00:00,3.0707,3.0828,3.034,3.0495
2022-01-08 08:00:00,3.0494,3.0754,3.0331,3.0632
2022-01-08 09:00:00,3.0637,3.0715,3.0307,3.034
2022-01-08 10:00:00,3.035,3.0412,2.9659,2.9793
2022-01-08 11:00:00,2.9804,3.0246,2.9337,2.9522
2022-01-08 12:00:00,2.953,2.9667,2.8665,2.8755
2022-01-08 13:00:00,2.8708,2.9339,2.8364,2.8557
2022-01-08 14:00:00,2.857,2.9096,2.8473,2.8869
2022-01-08 15:00:00,2.8866,2.9173,2.863,2.8819
2022-01-08 16:00:00,2.8805,2.9623,2.8792,2.9358
2022-01-08 17:00:00,2.9369,2.9999,2.9312,2.9609
2022-01-08 18:00:00,2.9588,2.9616,2.9264,2.9353
2022-01-08 19:00:00,2.9345,2.9945,2.9132,2.9809
2022-01-08 20:00:00,2.9798,2.9874,2.9335,2.9522
2022-01-08 21:00:00,2.9555,2.9789,2.9463,2.961
2022-01-08 22:00:00,2.9612,2.9656,2.9422,2.9504
