datetime,VOXELBUSD_open,VOXELBUSD_high,VOXELBUSD_low,VOXELBUSD_close
2022-01-22 16:00:00,1.278,1.2956,1.2662,1.2956
2022-01-22 17:00:00,1.2874,1.2942,1.2721,1.2773
2022-01-22 18:00:00,1.2739,1.2788,1.2482,1.2643
2022-01-22 19:00:00,1.264,1.2985,1.2493,1.2985
2022-01-22 20:00:00,1.2985,1.309,1.2849,1.2914
2022-01-22 21:00:00,1.2946,1.2959,1.2657,1.2657
2022-01-22 22:00:00,1.2642,1.288,1.2641,1.2854
2022-01-22 23:00:00,1.2865,1.3733,1.2842,1.3516
2022-01-23 00:00:00,1.346,1.4598,1.3424,1.4166
2022-01-23 01:00:00,1.417,1.6469,1.4166,1.4882
2022-01-23 02:00:00,1.4806,1.5125,1.4555,1.4783
2022-01-23 03:00:00,1.4734,1.5018,1.4324,1.4755
2022-01-23 04:00:00,1.4778,1.5617,1.4594,1.5262
2022-01-23 05:00:00,1.5377,1.6447,1.5254,1.5498
2022-01-23 06:00:00,1.5498,1.5501,1.466,1.4905
2022-01-23 07:00:00,1.488,1.4936,1.4682,1.4839
2022-01-23 08:00:00,1.4839,1.5511,1.4707,1.5303
2022-01-23 09:00:00,1.5302,1.5302,1.4418,1.4483
2022-01-23 10:00:00,1.4474,1.4599,1.4328,1.4488
2022-01-23 11:00:00,1.45,1.5175,1.4491,1.5175
2022-01-23 12:00:00,1.5175,1.5382,1.4723,1.4832
2022-01-23 13:00:00,1.4831,1.4864,1.4347,1.4437
2022-01-23 14:00:00,1.4456,1.4561,1.3931,1.4081
2022-01-23 15:00:00,1.4125,1.4386,1.4098,1.4341
2022-01-23 16:00:00,1.4341,1.4519,1.4305,1.4411
2022-01-23 17:00:00,1.4449,1.4498,1.437,1.4402
2022-01-23 18:00:00,1.4402,1.5258,1.4402,1.5011
2022-01-23 19:00:00,1.5011,1.5164,1.4718,1.4922
2022-01-23 20:00:00,1.492,1.492,1.464,1.4729
2022-01-23 21:00:00,1.4688,1.4723,1.4347,1.4347
2022-01-23 22:00:00,1.4401,1.4561,1.4363,1.4523
2022-01-23 23:00:00,1.458,1.4909,1.4264,1.4264
2022-01-24 00:00:00,1.4264,1.4351,1.3807,1.385
2022-01-24 01:00:00,1.3821,1.4018,1.363,1.3803
2022-01-24 02:00:00,1.3803,1.3803,1.345,1.3498
2022-01-24 03:00:00,1.3451,1.3475,1.3133,1.315
2022-01-24 04:00:00,1.3186,1.3186,1.2937,1.2971
2022-01-24 05:00:00,1.2966,1.2966,1.2281,1.235
2022-01-24 06:00:00,1.235,1.2854,1.21,1.248
2022-01-24 07:00:00,1.248,1.2635,1.2172,1.222
2022-01-24 08:00:00,1.2216,1.2476,1.218,1.2406
2022-01-24 09:00:00,1.2385,1.2981,1.2161,1.272
2022-01-24 10:00:00,1.272,1.3055,1.2426,1.303
2022-01-24 11:00:00,1.303,1.309,1.2745,1.2897
2022-01-24 12:00:00,1.2897,1.3376,1.2711,1.3328
2022-01-24 13:00:00,1.3285,1.4995,1.3142,1.4941
2022-01-24 14:00:00,1.4943,1.5949,1.437,1.4938
2022-01-24 15:00:00,1.495,1.531,1.464,1.5043
2022-01-24 16:00:00,1.5032,1.5111,1.4603,1.4719
2022-01-24 17:00:00,1.47,1.4908,1.4466,1.45
2022-01-24 18:00:00,1.4499,1.47,1.4499,1.4597
2022-01-24 19:00:00,1.4631,1.4734,1.4176,1.4192
2022-01-24 20:00:00,1.4228,1.462,1.4214,1.4378
2022-01-24 21:00:00,1.4419,1.4547,1.4315,1.4547
2022-01-24 22:00:00,1.4554,1.5098,1.4534,1.4993
2022-01-24 23:00:00,1.4993,1.5046,1.4558,1.4558
2022-01-25 00:00:00,1.458,1.4794,1.4448,1.4747
2022-01-25 01:00:00,1.4726,1.4755,1.4644,1.4644
2022-01-25 02:00:00,1.4644,1.4692,1.4223,1.435
2022-01-25 03:00:00,1.435,1.5059,1.435,1.496
2022-01-25 04:00:00,1.4916,1.4938,1.4735,1.4938
2022-01-25 05:00:00,1.497,1.5382,1.4718,1.4722
2022-01-25 06:00:00,1.472,1.4877,1.4701,1.4775
2022-01-25 07:00:00,1.4728,1.5044,1.4441,1.4705
2022-01-25 08:00:00,1.4758,1.5785,1.4548,1.5634
2022-01-25 09:00:00,1.5664,1.6192,1.5081,1.5162
2022-01-25 10:00:00,1.5249,1.5527,1.506,1.5426
2022-01-25 11:00:00,1.5426,1.5711,1.5322,1.5552
2022-01-25 12:00:00,1.5523,1.5938,1.5523,1.5556
2022-01-25 13:00:00,1.5558,1.5623,1.5372,1.555
2022-01-25 14:00:00,1.5531,1.5572,1.5152,1.5297
2022-01-25 15:00:00,1.5302,1.5304,1.5081,1.5272
2022-01-25 16:00:00,1.5209,1.5276,1.5017,1.5059
2022-01-25 17:00:00,1.5061,1.5396,1.5061,1.5356
2022-01-25 18:00:00,1.5356,1.5507,1.5176,1.5274
2022-01-25 19:00:00,1.5276,1.529,1.4657,1.4808
2022-01-25 20:00:00,1.4786,1.5256,1.4786,1.5039
2022-01-25 21:00:00,1.5038,1.5185,1.4982,1.5009
2022-01-25 22:00:00,1.4971,1.518,1.495,1.518
2022-01-25 23:00:00,1.5101,1.5164,1.4886,1.5164
2022-01-26 00:00:00,1.5165,1.5234,1.5032,1.5148
2022-01-26 01:00:00,1.511,1.5175,1.4801,1.4801
2022-01-26 02:00:00,1.4841,1.4913,1.4754,1.4845
2022-01-26 03:00:00,1.4845,1.5088,1.4845,1.5029
2022-01-26 04:00:00,1.5084,1.5175,1.5,1.5006
2022-01-26 05:00:00,1.5006,1.5411,1.4952,1.5297
2022-01-26 06:00:00,1.5228,1.5351,1.5045,1.5162
2022-01-26 07:00:00,1.5159,1.5255,1.5076,1.5076
2022-01-26 08:00:00,1.5076,1.5473,1.5075,1.5424
2022-01-26 09:00:00,1.5432,1.6199,1.5403,1.5964
2022-01-26 10:00:00,1.5999,1.6008,1.5671,1.5691
2022-01-26 11:00:00,1.5756,1.5782,1.5502,1.5554
2022-01-26 12:00:00,1.5501,1.5622,1.5046,1.5154
2022-01-26 13:00:00,1.5154,1.5195,1.4817,1.5034
2022-01-26 14:00:00,1.5113,1.62,1.5113,1.5246
2022-01-26 15:00:00,1.5217,1.5225,1.4835,1.5013
2022-01-26 16:00:00,1.5017,1.5114,1.4835,1.4835
2022-01-26 17:00:00,1.4884,1.5821,1.474,1.5583
2022-01-26 18:00:00,1.5524,1.5584,1.528,1.5309
2022-01-26 19:00:00,1.5273,1.5376,1.5212,1.5322
2022-01-26 20:00:00,1.5259,1.5259,1.4565,1.4595
2022-01-26 21:00:00,1.4561,1.4655,1.4122,1.4126
2022-01-26 22:00:00,1.4176,1.4395,1.3833,1.4162
2022-01-26 23:00:00,1.4164,1.4302,1.414,1.4302
2022-01-27 00:00:00,1.4302,1.4302,1.4145,1.4145
2022-01-27 01:00:00,1.4145,1.4325,1.4127,1.4324
2022-01-27 02:00:00,1.4254,1.432,1.4254,1.4287
2022-01-27 03:00:00,1.4313,1.438,1.4193,1.438
2022-01-27 04:00:00,1.4369,1.4524,1.4333,1.4488
2022-01-27 05:00:00,1.4488,1.5089,1.4488,1.4975
2022-01-27 06:00:00,1.4975,1.5241,1.4911,1.4952
2022-01-27 07:00:00,1.4966,1.5046,1.4865,1.5018
2022-01-27 08:00:00,1.5065,1.528,1.5034,1.528
2022-01-27 09:00:00,1.5233,1.54,1.5212,1.5263
2022-01-27 10:00:00,1.5212,1.5281,1.4763,1.4763
2022-01-27 11:00:00,1.4762,1.4811,1.4573,1.4679
2022-01-27 12:00:00,1.467,1.469,1.4508,1.4588
2022-01-27 13:00:00,1.4531,1.4567,1.4498,1.4557
2022-01-27 14:00:00,1.4583,1.4608,1.4363,1.4423
2022-01-27 15:00:00,1.4381,1.455,1.4041,1.4041
2022-01-27 16:00:00,1.404,1.4248,1.4,1.4187
2022-01-27 17:00:00,1.4188,1.4561,1.4111,1.4433
2022-01-27 18:00:00,1.438,1.4743,1.438,1.4652
2022-01-27 19:00:00,1.4675,1.4818,1.454,1.4644
2022-01-27 20:00:00,1.4672,1.4673,1.4434,1.4509
2022-01-27 21:00:00,1.4436,1.4673,1.4387,1.4586
2022-01-27 22:00:00,1.4671,1.5,1.4634,1.4764
2022-01-27 23:00:00,1.477,1.5022,1.477,1.4934
2022-01-28 00:00:00,1.491,1.4916,1.4768,1.4916
2022-01-28 01:00:00,1.4916,1.4937,1.4848,1.4848
2022-01-28 02:00:00,1.4799,1.4799,1.4533,1.4533
2022-01-28 03:00:00,1.4533,1.4533,1.4296,1.4379
2022-01-28 04:00:00,1.433,1.4583,1.433,1.4401
2022-01-28 05:00:00,1.4401,1.4482,1.4345,1.4482
2022-01-28 06:00:00,1.4445,1.4445,1.4268,1.4286
2022-01-28 07:00:00,1.4276,1.544,1.4183,1.4778
2022-01-28 08:00:00,1.4796,1.5072,1.4796,1.5007
2022-01-28 09:00:00,1.4993,1.5123,1.4653,1.4851
2022-01-28 10:00:00,1.4851,1.4938,1.4799,1.4917
2022-01-28 11:00:00,1.4917,1.5024,1.4898,1.4976
2022-01-28 12:00:00,1.5013,1.506,1.4947,1.4998
2022-01-28 13:00:00,1.4947,1.54,1.4947,1.54
2022-01-28 14:00:00,1.5343,1.5498,1.512,1.5269
2022-01-28 15:00:00,1.5305,1.5352,1.5092,1.5273
2022-01-28 16:00:00,1.5262,1.55,1.5262,1.5448
2022-01-28 17:00:00,1.5398,1.5398,1.5322,1.533
2022-01-28 18:00:00,1.5334,1.6251,1.5333,1.5952
2022-01-28 19:00:00,1.5917,1.7,1.5593,1.5975
2022-01-28 20:00:00,1.5969,1.6132,1.5836,1.5904
2022-01-28 21:00:00,1.5871,1.5931,1.5775,1.5925
2022-01-28 22:00:00,1.5929,1.6368,1.5922,1.6368
2022-01-28 23:00:00,1.6371,1.647,1.594,1.5987
2022-01-29 00:00:00,1.6006,1.7124,1.5951,1.6805
2022-01-29 01:00:00,1.6836,1.706,1.658,1.6755
2022-01-29 02:00:00,1.6811,1.6811,1.6331,1.641
