datetime,ETHTUSD_open,ETHTUSD_high,ETHTUSD_low,ETHTUSD_close
2022-03-19 13:00:00,2952.0,2953.4,2947.29,2953.4
2022-03-19 14:00:00,2958.42,2958.42,2958.42,2958.42
2022-03-19 15:00:00,2947.24,2966.97,2945.41,2958.32
2022-03-19 16:00:00,2958.97,2961.38,2949.56,2950.39
2022-03-19 17:00:00,2947.15,2947.15,2895.89,2939.55
2022-03-19 18:00:00,2932.18,2955.72,2932.18,2942.48
2022-03-19 19:00:00,2956.3,2962.66,2936.96,2940.36
2022-03-19 20:00:00,2934.8,2934.8,2910.97,2928.26
2022-03-19 21:00:00,2926.65,2926.65,2918.16,2918.16
2022-03-19 22:00:00,2926.73,2935.95,2924.1,2934.77
2022-03-19 23:00:00,2928.38,2933.22,2925.69,2928.56
2022-03-20 00:00:00,2924.23,2931.52,2921.35,2931.52
2022-03-20 01:00:00,2929.91,2936.04,2924.03,2926.34
2022-03-20 02:00:00,2923.45,2929.33,2923.45,2924.9
2022-03-20 03:00:00,2926.79,2932.52,2926.79,2929.79
2022-03-20 04:00:00,2928.61,2928.61,2899.04,2915.5
2022-03-20 05:00:00,2916.09,2916.09,2916.09,2916.09
2022-03-20 06:00:00,2916.09,2916.09,2884.42,2884.87
2022-03-20 07:00:00,2885.51,2898.07,2873.2,2891.47
2022-03-20 08:00:00,2892.01,2892.74,2875.54,2875.54
2022-03-20 09:00:00,2873.24,2885.2,2837.65,2863.29
2022-03-20 10:00:00,2865.68,2869.18,2851.39,2855.05
2022-03-20 11:00:00,2847.59,2869.92,2846.25,2846.25
2022-03-20 12:00:00,2844.29,2845.0,2822.0,2822.0
2022-03-20 13:00:00,2830.08,2842.22,2830.08,2841.88
2022-03-20 14:00:00,2844.15,2874.93,2844.15,2874.93
2022-03-20 15:00:00,2874.93,2909.78,2872.97,2880.25
2022-03-20 16:00:00,2868.59,2881.57,2864.09,2880.51
2022-03-20 17:00:00,2877.54,2877.54,2856.88,2874.06
2022-03-20 18:00:00,2873.11,2873.11,2845.59,2854.39
2022-03-20 19:00:00,2858.52,2866.04,2858.24,2858.24
2022-03-20 20:00:00,2870.96,2870.96,2868.2,2868.2
2022-03-20 21:00:00,2834.98,2846.05,2834.98,2841.49
2022-03-20 22:00:00,2844.59,2847.27,2836.71,2847.27
2022-03-20 23:00:00,2846.68,2848.69,2838.57,2847.72
2022-03-21 00:00:00,2846.13,2870.24,2846.13,2870.24
2022-03-21 01:00:00,2871.36,2873.05,2861.6,2861.61
2022-03-21 02:00:00,2858.47,2891.84,2858.46,2891.84
2022-03-21 03:00:00,2900.34,2901.85,2882.83,2882.83
2022-03-21 04:00:00,2882.99,2906.35,2873.84,2905.54
2022-03-21 05:00:00,2917.59,2919.44,2904.93,2912.77
2022-03-21 06:00:00,2921.49,2921.49,2907.57,2907.62
2022-03-21 07:00:00,2908.32,2910.88,2891.32,2896.23
2022-03-21 08:00:00,2926.65,2947.5,2916.64,2917.25
2022-03-21 09:00:00,2912.49,2926.34,2897.62,2926.34
2022-03-21 10:00:00,2929.93,2954.01,2929.56,2937.6
2022-03-21 11:00:00,2957.8,2957.8,2907.36,2907.36
2022-03-21 12:00:00,2906.78,2927.17,2902.04,2921.35
2022-03-21 13:00:00,2924.12,2924.12,2905.95,2905.95
2022-03-21 14:00:00,2908.3,2919.0,2901.98,2919.0
2022-03-21 15:00:00,2916.85,2924.84,2916.85,2921.65
2022-03-21 16:00:00,2910.56,2921.35,2905.95,2919.65
2022-03-21 17:00:00,2916.53,2921.12,2911.06,2912.47
2022-03-21 18:00:00,2908.61,2912.49,2887.02,2897.06
2022-03-21 19:00:00,2892.07,2904.14,2892.07,2904.14
2022-03-21 20:00:00,2908.45,2908.45,2893.76,2897.16
2022-03-21 21:00:00,2901.06,2976.16,2901.05,2973.26
