datetime,BTCUSDC_open,BTCUSDC_high,BTCUSDC_low,BTCUSDC_close
2022-01-05 20:00:00,44650.13,44819.69,43714.0,43952.3
2022-01-05 21:00:00,43956.83,44320.91,43400.01,43599.93
2022-01-05 22:00:00,43565.76,43779.2,42485.24,43449.15
2022-01-05 23:00:00,43407.49,43711.29,43247.31,43438.58
2022-01-06 00:00:00,43440.61,43765.48,43264.03,43663.15
2022-01-06 01:00:00,43690.16,43781.13,43300.0,43550.87
2022-01-06 02:00:00,43531.06,43600.73,43096.91,43259.22
2022-01-06 03:00:00,43219.73,43298.73,42816.66,42816.66
2022-01-06 04:00:00,42846.26,43136.29,42581.08,43028.21
2022-01-06 05:00:00,42988.11,43233.7,42812.91,43034.54
2022-01-06 06:00:00,43032.09,43224.61,42896.84,43086.21
2022-01-06 07:00:00,43085.47,43261.4,42981.71,43239.23
2022-01-06 08:00:00,43237.27,43253.98,42913.77,43048.55
2022-01-06 09:00:00,43044.05,43046.91,42412.0,42600.55
2022-01-06 10:00:00,42632.18,42933.87,42572.76,42848.28
2022-01-06 11:00:00,42909.95,42943.06,42693.73,42857.33
2022-01-06 12:00:00,42929.01,43086.58,42625.25,43086.58
2022-01-06 13:00:00,43098.95,43180.66,42909.97,43143.93
2022-01-06 14:00:00,43144.3,43225.99,42763.53,42786.7
2022-01-06 15:00:00,42796.06,43016.2,42661.4,42943.74
2022-01-06 16:00:00,42952.86,43084.14,42753.9,42880.22
2022-01-06 17:00:00,42897.48,43167.59,42795.55,43009.95
2022-01-06 18:00:00,42991.26,43400.0,42991.26,43376.7
2022-01-06 19:00:00,43362.33,43511.28,43238.42,43437.1
2022-01-06 20:00:00,43422.68,43585.89,43103.86,43223.69
2022-01-06 21:00:00,43223.09,43279.33,43073.79,43118.56
2022-01-06 22:00:00,43140.51,43245.71,42977.64,43183.4
2022-01-06 23:00:00,43170.81,43233.07,43055.95,43079.01
2022-01-07 00:00:00,43090.67,43135.4,42719.58,42785.51
2022-01-07 01:00:00,42788.7,43012.0,42788.7,42997.42
2022-01-07 02:00:00,42979.0,43012.94,42768.27,42814.6
2022-01-07 03:00:00,42809.75,42809.75,41575.0,41793.36
2022-01-07 04:00:00,41773.84,41900.0,40981.85,41689.68
2022-01-07 05:00:00,41693.92,41930.0,41529.02,41811.97
2022-01-07 06:00:00,41793.72,41829.95,41399.68,41499.1
2022-01-07 07:00:00,41497.36,41703.12,41216.33,41690.91
2022-01-07 08:00:00,41685.26,42774.59,41604.9,42067.55
2022-01-07 09:00:00,42089.03,42610.49,42073.65,42408.23
2022-01-07 10:00:00,42412.97,42505.39,42175.15,42175.72
2022-01-07 11:00:00,42171.02,42326.35,42156.69,42254.48
