datetime,ETHUSDT_open,ETHUSDT_high,ETHUSDT_low,ETHUSDT_close
2022-02-25 18:00:00,2692.54,2699.23,2667.06,2675.57
2022-02-25 19:00:00,2672.67,2704.73,2666.3,2676.78
2022-02-25 20:00:00,2676.72,2719.53,2668.27,2713.79
2022-02-25 21:00:00,2713.93,2729.41,2704.81,2706.88
2022-02-25 22:00:00,2708.15,2799.12,2692.36,2793.31
2022-02-25 23:00:00,2794.07,2835.67,2749.35,2768.24
2022-02-26 00:00:00,2769.36,2879.79,2762.24,2829.34
2022-02-26 01:00:00,2831.59,2842.9,2806.56,2818.66
2022-02-26 02:00:00,2814.23,2823.72,2798.94,2802.42
2022-02-26 03:00:00,2806.36,2806.36,2781.28,2793.11
2022-02-26 04:00:00,2792.72,2822.26,2792.72,2808.04
2022-02-26 05:00:00,2808.04,2822.04,2770.83,2775.81
2022-02-26 06:00:00,2775.08,2790.91,2775.0,2779.81
2022-02-26 07:00:00,2777.42,2792.86,2757.46,2792.65
2022-02-26 08:00:00,2793.55,2815.97,2742.26,2755.08
2022-02-26 09:00:00,2752.7,2763.29,2727.49,2747.87
2022-02-26 10:00:00,2744.87,2775.83,2744.54,2769.27
2022-02-26 11:00:00,2769.22,2779.87,2738.45,2753.04
2022-02-26 12:00:00,2754.0,2765.68,2742.72,2763.07
2022-02-26 13:00:00,2764.28,2786.31,2760.05,2770.76
2022-02-26 14:00:00,2772.36,2797.2,2757.92,2783.86
2022-02-26 15:00:00,2783.92,2808.6,2778.94,2784.86
2022-02-26 16:00:00,2787.27,2798.01,2781.31,2790.99
2022-02-26 17:00:00,2789.97,2797.82,2783.46,2790.68
2022-02-26 18:00:00,2790.68,2794.17,2764.97,2793.88
2022-02-26 19:00:00,2797.0,2832.88,2796.9,2809.1
2022-02-26 20:00:00,2808.91,2832.96,2808.63,2825.15
2022-02-26 21:00:00,2824.85,2855.17,2818.41,2824.8
2022-02-26 22:00:00,2826.64,2827.41,2789.19,2794.24
2022-02-26 23:00:00,2792.01,2795.41,2764.65,2780.95
2022-02-27 00:00:00,2781.28,2789.23,2741.14,2746.08
2022-02-27 01:00:00,2750.86,2752.93,2680.98,2681.86
2022-02-27 02:00:00,2680.67,2713.81,2677.78,2708.82
2022-02-27 03:00:00,2710.56,2727.0,2710.56,2715.38
2022-02-27 04:00:00,2715.41,2720.0,2699.99,2704.83
2022-02-27 05:00:00,2704.96,2723.73,2696.72,2709.31
2022-02-27 06:00:00,2709.96,2737.68,2709.96,2731.92
2022-02-27 07:00:00,2732.73,2745.0,2732.72,2734.91
2022-02-27 08:00:00,2736.21,2746.53,2723.0,2745.27
2022-02-27 09:00:00,2743.92,2771.69,2735.2,2769.55
2022-02-27 10:00:00,2768.82,2817.06,2757.51,2814.55
2022-02-27 11:00:00,2813.76,2831.84,2785.44,2823.5
2022-02-27 12:00:00,2824.43,2834.65,2802.55,2828.27
2022-02-27 13:00:00,2826.16,2828.88,2711.76,2777.52
2022-02-27 14:00:00,2776.1,2788.26,2746.94,2767.03
2022-02-27 15:00:00,2767.04,2820.89,2756.35,2806.64
2022-02-27 16:00:00,2806.58,2806.85,2764.41,2774.73
2022-02-27 17:00:00,2773.84,2778.5,2762.73,2763.39
2022-02-27 18:00:00,2764.34,2768.54,2730.12,2737.26
2022-02-27 19:00:00,2734.86,2746.26,2596.86,2606.66
2022-02-27 20:00:00,2606.1,2658.96,2586.38,2633.45
2022-02-27 21:00:00,2634.08,2638.55,2558.18,2603.86
2022-02-27 22:00:00,2599.49,2639.97,2596.68,2629.15
2022-02-27 23:00:00,2628.52,2633.33,2576.84,2616.57
2022-02-28 00:00:00,2616.69,2623.36,2590.06,2604.17
2022-02-28 01:00:00,2607.24,2679.56,2605.98,2642.92
2022-02-28 02:00:00,2644.78,2653.24,2593.46,2611.02
2022-02-28 03:00:00,2611.93,2620.0,2599.65,2608.34
2022-02-28 04:00:00,2607.85,2633.18,2602.09,2609.09
2022-02-28 05:00:00,2608.39,2624.01,2604.68,2608.52
2022-02-28 06:00:00,2610.93,2630.4,2569.02,2607.1
2022-02-28 07:00:00,2606.55,2652.41,2598.91,2636.59
2022-02-28 08:00:00,2634.9,2657.15,2617.42,2625.82
2022-02-28 09:00:00,2626.52,2643.02,2612.53,2612.53
2022-02-28 10:00:00,2612.09,2647.22,2612.08,2640.48
2022-02-28 11:00:00,2640.04,2646.75,2621.37,2640.46
2022-02-28 12:00:00,2640.99,2665.52,2628.6,2632.84
2022-02-28 13:00:00,2632.89,2640.86,2607.09,2618.78
2022-02-28 14:00:00,2616.14,2763.6,2616.13,2758.03
2022-02-28 15:00:00,2759.43,2827.23,2740.07,2816.2
2022-02-28 16:00:00,2816.18,2831.34,2797.36,2810.35
2022-02-28 17:00:00,2809.64,2822.57,2788.66,2822.21
2022-02-28 18:00:00,2823.2,2824.38,2795.71,2804.28
2022-02-28 19:00:00,2804.27,2810.29,2791.14,2808.42
2022-02-28 20:00:00,2809.35,2838.72,2796.2,2833.68
2022-02-28 21:00:00,2835.1,2835.1,2809.08,2819.71
2022-02-28 22:00:00,2821.92,2950.0,2819.71,2896.96
2022-02-28 23:00:00,2899.28,2925.73,2888.73,2922.41
2022-03-01 00:00:00,2920.96,2973.33,2920.6,2945.93
2022-03-01 01:00:00,2944.18,2949.4,2913.23,2917.0
2022-03-01 02:00:00,2916.99,2920.84,2904.83,2916.61
2022-03-01 03:00:00,2916.11,2916.25,2889.19,2912.27
2022-03-01 04:00:00,2913.6,2932.63,2907.89,2932.63
2022-03-01 05:00:00,2932.09,2934.36,2905.98,2911.77
2022-03-01 06:00:00,2912.23,2922.59,2882.44,2915.31
2022-03-01 07:00:00,2915.43,2930.76,2913.91,2920.21
2022-03-01 08:00:00,2920.73,2932.74,2906.6,2924.14
2022-03-01 09:00:00,2923.23,2923.23,2888.19,2892.4
2022-03-01 10:00:00,2897.9,2921.37,2853.98,2919.76
2022-03-01 11:00:00,2919.55,2929.8,2888.44,2904.6
2022-03-01 12:00:00,2902.54,2954.19,2902.17,2950.17
2022-03-01 13:00:00,2949.05,3033.75,2945.22,3019.53
2022-03-01 14:00:00,3017.07,3037.98,2966.51,2972.37
2022-03-01 15:00:00,2974.22,2990.12,2925.58,2950.66
2022-03-01 16:00:00,2949.32,2966.14,2896.79,2902.94
2022-03-01 17:00:00,2906.61,2959.44,2904.45,2934.5
2022-03-01 18:00:00,2935.28,2960.03,2913.84,2953.35
2022-03-01 19:00:00,2954.19,2976.06,2943.36,2944.79
2022-03-01 20:00:00,2945.5,2977.39,2945.01,2972.65
2022-03-01 21:00:00,2975.08,2979.51,2938.3,2952.7
2022-03-01 22:00:00,2956.32,2975.25,2945.2,2974.65
2022-03-01 23:00:00,2972.46,2979.63,2951.32,2978.05
2022-03-02 00:00:00,2972.67,2980.98,2922.66,2941.83
2022-03-02 01:00:00,2941.43,2958.52,2913.85,2931.01
2022-03-02 02:00:00,2929.25,2948.23,2914.59,2947.94
