datetime,WBTCUSD_open,WBTCUSD_high,WBTCUSD_low,WBTCUSD_close
2022-02-16 12:00:00,44241.28,44241.28,44048.54,44082.9
2022-02-16 13:00:00,44075.95,44075.95,43593.15,43644.9
2022-02-16 14:00:00,43710.75,43753.32,43363.86,43498.3
2022-02-16 15:00:00,43586.65,43690.1,43564.91,43643.62
2022-02-16 16:00:00,43639.19,43729.75,43405.31,43729.75
2022-02-16 17:00:00,43728.81,43737.51,43595.31,43626.59
2022-02-16 18:00:00,43590.13,44075.44,43590.13,44075.44
2022-02-16 19:00:00,44106.51,44355.79,43739.77,44284.56
2022-02-16 20:00:00,44293.34,44387.05,44137.56,44181.95
2022-02-16 21:00:00,44207.17,44207.17,43951.38,44086.86
2022-02-16 22:00:00,44086.5,44152.4,43992.13,44074.18
2022-02-16 23:00:00,44088.47,44180.26,43875.67,43916.74
2022-02-17 00:00:00,43970.99,44106.51,43877.0,44099.09
2022-02-17 01:00:00,44137.59,44172.17,44008.03,44110.37
2022-02-17 02:00:00,44099.92,44106.51,43889.5,44019.49
2022-02-17 03:00:00,44013.36,44050.61,43612.1,43612.1
2022-02-17 04:00:00,43581.38,43704.4,43397.55,43612.1
2022-02-17 05:00:00,43581.38,43735.99,43550.69,43673.62
2022-02-17 06:00:00,43704.4,43889.53,43673.01,43807.74
2022-02-17 07:00:00,43833.82,43982.39,43783.36,43982.39
2022-02-17 08:00:00,44013.38,44044.4,43397.55,43520.05
2022-02-17 09:00:00,43511.02,43511.02,42971.62,43305.96
2022-02-17 10:00:00,43322.48,43387.51,42971.62,43078.97
2022-02-17 11:00:00,43105.31,43275.46,43022.96,43275.46
2022-02-17 12:00:00,43305.96,43367.02,43244.95,43305.96
2022-02-17 13:00:00,43336.48,43336.48,42221.41,42221.41
2022-02-17 14:00:00,42340.59,42430.17,41925.0,42013.73
2022-02-17 15:00:00,42043.34,42190.28,41748.16,41943.26
2022-02-17 16:00:00,41934.43,42144.69,41711.91,41954.55
2022-02-17 17:00:00,41984.82,42039.92,41685.0,41853.4
2022-02-17 18:00:00,41855.0,41895.51,40846.28,41251.14
2022-02-17 19:00:00,41226.29,41289.05,40919.53,41225.46
2022-02-17 20:00:00,41164.05,41164.05,40895.0,40903.87
2022-02-17 21:00:00,40956.77,40986.34,40117.19,40673.99
2022-02-17 22:00:00,40708.91,40788.8,40444.5,40672.82
2022-02-17 23:00:00,40645.34,40803.62,40502.42,40553.11
2022-02-18 00:00:00,40502.42,40702.68,40333.73,40610.65
2022-02-18 01:00:00,40559.53,40961.58,40412.45,40825.08
2022-02-18 02:00:00,40814.36,40903.9,40731.34,40788.32
2022-02-18 03:00:00,40759.67,40781.37,40641.04,40760.07
2022-02-18 04:00:00,40723.08,40788.8,40551.72,40608.48
2022-02-18 05:00:00,40639.2,40749.93,40559.53,40645.34
2022-02-18 06:00:00,40704.93,40786.17,40671.3,40765.75
2022-02-18 07:00:00,40755.11,40823.01,40616.72,40702.68
2022-02-18 08:00:00,40731.37,40961.58,40731.37,40920.97
2022-02-18 09:00:00,40913.62,40948.02,40817.82,40905.49
2022-02-18 10:00:00,40875.07,40889.01,40760.04,40817.51
2022-02-18 11:00:00,40788.77,40788.77,40158.41,40246.45
2022-02-18 12:00:00,40274.82,40588.14,40133.17,40447.32
2022-02-18 13:00:00,40530.99,40559.56,40241.37,40508.35
2022-02-18 14:00:00,40527.27,40537.61,39683.33,40537.61
2022-02-18 15:00:00,40551.72,40802.57,39711.29,39767.29
2022-02-18 16:00:00,39739.28,40445.42,39515.94,39963.88
2022-02-18 17:00:00,40048.47,40388.47,39935.74,39986.91
2022-02-18 18:00:00,39963.88,40241.37,39786.0,40149.53
2022-02-18 19:00:00,40133.17,40331.6,40076.66,40274.82
2022-02-18 20:00:00,40218.08,40238.19,39987.73,40048.47
2022-02-18 21:00:00,40076.69,40161.48,39931.03,39963.88
2022-02-18 22:00:00,39935.74,40074.7,39767.29,40020.26
2022-02-18 23:00:00,40048.47,40120.5,39992.05,39992.05
2022-02-19 00:00:00,40034.33,40246.45,39963.88,40244.96
2022-02-19 01:00:00,40263.19,40310.91,40104.9,40175.06
