datetime,ADAUSD_open,ADAUSD_high,ADAUSD_low,ADAUSD_close
2022-01-25 16:00:00,1.0297,1.048,1.0273,1.0406
2022-01-25 17:00:00,1.0403,1.0587,1.039,1.0524
2022-01-25 18:00:00,1.0522,1.0748,1.0442,1.074
2022-01-25 19:00:00,1.0742,1.0744,1.0514,1.0572
2022-01-25 20:00:00,1.0573,1.0585,1.0339,1.0404
2022-01-25 21:00:00,1.0406,1.0423,1.0211,1.0277
2022-01-25 22:00:00,1.0277,1.0367,1.0254,1.0365
2022-01-25 23:00:00,1.0366,1.0503,1.0331,1.043
2022-01-26 00:00:00,1.043,1.0478,1.023,1.0292
2022-01-26 01:00:00,1.0293,1.0386,1.0227,1.0364
2022-01-26 02:00:00,1.0362,1.045,1.03,1.0311
2022-01-26 03:00:00,1.0308,1.0515,1.0303,1.0488
2022-01-26 04:00:00,1.0486,1.0628,1.043,1.0624
2022-01-26 05:00:00,1.0624,1.0651,1.0511,1.0563
2022-01-26 06:00:00,1.0563,1.0578,1.0358,1.0376
2022-01-26 07:00:00,1.0376,1.0441,1.0285,1.0425
2022-01-26 08:00:00,1.0424,1.0558,1.0419,1.0512
2022-01-26 09:00:00,1.0511,1.0697,1.0472,1.0527
2022-01-26 10:00:00,1.0526,1.07,1.0458,1.0653
2022-01-26 11:00:00,1.0654,1.0722,1.0578,1.0714
2022-01-26 12:00:00,1.0714,1.1065,1.064,1.0957
2022-01-26 13:00:00,1.0957,1.1168,1.078,1.1089
2022-01-26 14:00:00,1.1089,1.1321,1.1043,1.1149
2022-01-26 15:00:00,1.1152,1.1269,1.0939,1.1073
2022-01-26 16:00:00,1.107,1.1215,1.1047,1.1203
2022-01-26 17:00:00,1.1204,1.1227,1.0881,1.0943
2022-01-26 18:00:00,1.0948,1.1108,1.069,1.1014
2022-01-26 19:00:00,1.1013,1.1617,1.0998,1.1224
2022-01-26 20:00:00,1.1218,1.122,1.07,1.0896
2022-01-26 21:00:00,1.0896,1.1048,1.0365,1.0381
2022-01-26 22:00:00,1.0376,1.0704,1.0291,1.0672
2022-01-26 23:00:00,1.0671,1.0916,1.065,1.0784
2022-01-27 00:00:00,1.0779,1.0809,1.0632,1.079
2022-01-27 01:00:00,1.0789,1.0789,1.0296,1.0316
2022-01-27 02:00:00,1.0315,1.0351,1.0162,1.0325
2022-01-27 03:00:00,1.0322,1.0421,1.0005,1.0163
2022-01-27 04:00:00,1.0161,1.0315,1.0113,1.0246
2022-01-27 05:00:00,1.0247,1.0344,1.0222,1.0259
2022-01-27 06:00:00,1.0257,1.04,1.0195,1.0388
2022-01-27 07:00:00,1.039,1.0567,1.0334,1.044
2022-01-27 08:00:00,1.0442,1.0606,1.0308,1.056
2022-01-27 09:00:00,1.056,1.0604,1.0497,1.0529
2022-01-27 10:00:00,1.053,1.0592,1.0344,1.0382
2022-01-27 11:00:00,1.0383,1.0554,1.0383,1.0517
2022-01-27 12:00:00,1.0518,1.0591,1.0448,1.052
2022-01-27 13:00:00,1.0526,1.061,1.0469,1.057
2022-01-27 14:00:00,1.0572,1.0786,1.0547,1.0609
2022-01-27 15:00:00,1.061,1.0699,1.042,1.0498
2022-01-27 16:00:00,1.0501,1.0616,1.0391,1.0447
2022-01-27 17:00:00,1.044,1.0474,1.0252,1.0332
2022-01-27 18:00:00,1.0329,1.0374,1.0219,1.034
2022-01-27 19:00:00,1.0337,1.0408,1.0207,1.0256
2022-01-27 20:00:00,1.0257,1.038,1.0052,1.0064
2022-01-27 21:00:00,1.0065,1.0394,1.0063,1.0342
2022-01-27 22:00:00,1.0339,1.0508,1.025,1.0382
2022-01-27 23:00:00,1.0381,1.0461,1.0347,1.0428
2022-01-28 00:00:00,1.0429,1.0595,1.0395,1.0484
2022-01-28 01:00:00,1.0482,1.0549,1.0217,1.035
2022-01-28 02:00:00,1.035,1.0518,1.0219,1.0462
2022-01-28 03:00:00,1.0463,1.0588,1.0434,1.049
2022-01-28 04:00:00,1.0491,1.0523,1.033,1.0418
2022-01-28 05:00:00,1.0414,1.0497,1.0383,1.0443
2022-01-28 06:00:00,1.0444,1.0549,1.0336,1.0336
2022-01-28 07:00:00,1.034,1.0432,1.0306,1.0339
2022-01-28 08:00:00,1.0336,1.0383,1.0213,1.0321
2022-01-28 09:00:00,1.0321,1.0356,1.0179,1.0241
2022-01-28 10:00:00,1.0238,1.0259,1.0092,1.0243
2022-01-28 11:00:00,1.0243,1.0268,1.0111,1.0203
2022-01-28 12:00:00,1.0205,1.0253,1.0122,1.0213
2022-01-28 13:00:00,1.0215,1.04,1.0175,1.0348
2022-01-28 14:00:00,1.0348,1.0378,1.0167,1.0233
2022-01-28 15:00:00,1.0231,1.0401,1.0201,1.0401
2022-01-28 16:00:00,1.0403,1.0467,1.0338,1.0386
2022-01-28 17:00:00,1.0387,1.044,1.0268,1.0285
2022-01-28 18:00:00,1.0288,1.0397,1.0281,1.0348
2022-01-28 19:00:00,1.0348,1.0393,1.0257,1.0377
2022-01-28 20:00:00,1.0378,1.0504,1.0331,1.0471
2022-01-28 21:00:00,1.0471,1.0608,1.0463,1.0477
2022-01-28 22:00:00,1.0479,1.0553,1.043,1.0444
2022-01-28 23:00:00,1.0444,1.0539,1.0418,1.0486
2022-01-29 00:00:00,1.0486,1.0599,1.0439,1.0515
2022-01-29 01:00:00,1.0516,1.0557,1.0382,1.0425
2022-01-29 02:00:00,1.0424,1.0518,1.0417,1.0512
2022-01-29 03:00:00,1.0513,1.0559,1.0479,1.051
2022-01-29 04:00:00,1.0511,1.0577,1.0492,1.0502
2022-01-29 05:00:00,1.0501,1.0507,1.0456,1.0507
2022-01-29 06:00:00,1.0504,1.0577,1.0496,1.0569
2022-01-29 07:00:00,1.0568,1.0766,1.0564,1.0742
2022-01-29 08:00:00,1.074,1.077,1.0653,1.0689
2022-01-29 09:00:00,1.0686,1.0744,1.0583,1.0744
2022-01-29 10:00:00,1.0743,1.0743,1.0633,1.0672
2022-01-29 11:00:00,1.0669,1.0693,1.0635,1.0643
2022-01-29 12:00:00,1.0641,1.0709,1.0568,1.0696
2022-01-29 13:00:00,1.0699,1.08,1.064,1.0798
2022-01-29 14:00:00,1.08,1.0839,1.0565,1.0572
2022-01-29 15:00:00,1.0571,1.0625,1.0463,1.0545
2022-01-29 16:00:00,1.0542,1.0571,1.0416,1.0559
2022-01-29 17:00:00,1.0562,1.0611,1.049,1.0526
2022-01-29 18:00:00,1.0526,1.0633,1.0509,1.0615
2022-01-29 19:00:00,1.0616,1.0651,1.0548,1.0555
2022-01-29 20:00:00,1.0557,1.0725,1.0541,1.0666
2022-01-29 21:00:00,1.0665,1.0762,1.0644,1.0655
2022-01-29 22:00:00,1.0655,1.0682,1.0606,1.0657
2022-01-29 23:00:00,1.0657,1.0659,1.0544,1.0603
2022-01-30 00:00:00,1.0604,1.0646,1.0505,1.0528
2022-01-30 01:00:00,1.0527,1.0592,1.0519,1.0568
2022-01-30 02:00:00,1.0567,1.0652,1.0534,1.063
2022-01-30 03:00:00,1.0631,1.0658,1.0588,1.0605
2022-01-30 04:00:00,1.0604,1.0717,1.0594,1.0681
2022-01-30 05:00:00,1.0681,1.075,1.0668,1.0732
2022-01-30 06:00:00,1.073,1.0738,1.0672,1.071
2022-01-30 07:00:00,1.0713,1.0776,1.0687,1.0747
2022-01-30 08:00:00,1.0748,1.0774,1.063,1.063
2022-01-30 09:00:00,1.0631,1.0675,1.059,1.0626
2022-01-30 10:00:00,1.0626,1.0703,1.0613,1.0703
2022-01-30 11:00:00,1.07,1.0722,1.0626,1.0671
2022-01-30 12:00:00,1.067,1.0691,1.0554,1.0577
2022-01-30 13:00:00,1.0574,1.0607,1.0539,1.059
2022-01-30 14:00:00,1.0591,1.0612,1.048,1.0559
2022-01-30 15:00:00,1.056,1.0583,1.0506,1.0545
2022-01-30 16:00:00,1.0547,1.0586,1.048,1.0498
2022-01-30 17:00:00,1.0499,1.0525,1.0444,1.0522
2022-01-30 18:00:00,1.052,1.0531,1.0433,1.0447
2022-01-30 19:00:00,1.0448,1.0449,1.024,1.0307
2022-01-30 20:00:00,1.0305,1.0426,1.0277,1.0393
