datetime,ETHBUSD_open,ETHBUSD_high,ETHBUSD_low,ETHBUSD_close
2022-01-07 11:00:00,3131.02,3222.3,3090.84,3213.18
2022-01-07 12:00:00,3212.96,3215.35,3173.29,3202.46
2022-01-07 13:00:00,3202.42,3208.55,3156.46,3172.0
2022-01-07 14:00:00,3172.36,3202.03,3144.89,3196.57
2022-01-07 15:00:00,3196.58,3224.0,3182.9,3214.89
2022-01-07 16:00:00,3214.96,3222.51,3204.99,3214.68
2022-01-07 17:00:00,3214.37,3215.95,3165.5,3181.63
2022-01-07 18:00:00,3181.63,3198.8,3170.85,3197.44
2022-01-07 19:00:00,3197.68,3239.0,3188.4,3235.7
2022-01-07 20:00:00,3235.5,3245.48,3215.69,3217.29
2022-01-07 21:00:00,3217.29,3221.47,3189.29,3209.83
2022-01-07 22:00:00,3209.45,3212.91,3181.0,3203.35
2022-01-07 23:00:00,3203.19,3226.17,3201.78,3218.49
2022-01-08 00:00:00,3218.31,3219.92,3203.93,3214.82
2022-01-08 01:00:00,3214.8,3222.4,3191.7,3218.6
2022-01-08 02:00:00,3218.71,3228.0,3206.8,3215.42
2022-01-08 03:00:00,3215.31,3237.0,3208.3,3215.0
2022-01-08 04:00:00,3215.06,3240.55,3215.06,3240.36
2022-01-08 05:00:00,3240.36,3247.4,3209.31,3221.16
2022-01-08 06:00:00,3221.3,3223.75,3206.35,3220.29
2022-01-08 07:00:00,3219.94,3230.0,3192.5,3201.3
2022-01-08 08:00:00,3201.12,3208.23,3175.96,3200.06
2022-01-08 09:00:00,3200.07,3205.28,3175.4,3176.39
2022-01-08 10:00:00,3176.39,3183.65,3146.7,3160.36
2022-01-08 11:00:00,3160.36,3179.66,3121.52,3129.15
2022-01-08 12:00:00,3129.43,3136.34,3035.63,3040.75
2022-01-08 13:00:00,3040.74,3080.19,3001.7,3009.58
2022-01-08 14:00:00,3009.57,3055.2,3000.0,3028.9
2022-01-08 15:00:00,3028.89,3052.78,3003.68,3032.06
2022-01-08 16:00:00,3032.06,3104.31,3025.88,3078.45
2022-01-08 17:00:00,3078.44,3132.99,3075.89,3119.07
2022-01-08 18:00:00,3118.78,3120.26,3075.06,3080.63
2022-01-08 19:00:00,3080.82,3121.48,3058.43,3119.5
2022-01-08 20:00:00,3119.43,3135.11,3093.31,3115.4
2022-01-08 21:00:00,3115.31,3146.38,3110.71,3137.43
2022-01-08 22:00:00,3137.21,3145.57,3118.4,3120.83
2022-01-08 23:00:00,3120.82,3142.9,3116.62,3141.04
2022-01-09 00:00:00,3141.04,3146.57,3119.05,3123.09
2022-01-09 01:00:00,3123.08,3140.79,3119.13,3138.23
2022-01-09 02:00:00,3138.29,3140.56,3122.7,3128.06
2022-01-09 03:00:00,3128.1,3139.46,3104.37,3108.04
2022-01-09 04:00:00,3108.04,3117.04,3093.84,3097.03
2022-01-09 05:00:00,3096.97,3111.0,3084.4,3106.98
2022-01-09 06:00:00,3106.98,3133.3,3106.68,3128.7
2022-01-09 07:00:00,3128.7,3134.9,3105.13,3109.72
2022-01-09 08:00:00,3109.72,3129.4,3086.57,3086.58
2022-01-09 09:00:00,3086.59,3115.33,3086.5,3097.95
2022-01-09 10:00:00,3097.94,3103.96,3074.14,3097.78
2022-01-09 11:00:00,3097.77,3160.0,3092.2,3159.43
2022-01-09 12:00:00,3159.44,3176.57,3148.12,3166.27
2022-01-09 13:00:00,3166.73,3179.38,3165.01,3169.54
