datetime,ROSEBUSD_open,ROSEBUSD_high,ROSEBUSD_low,ROSEBUSD_close
2022-01-13 02:00:00,0.50577,0.52609,0.50312,0.52494
2022-01-13 03:00:00,0.52494,0.53882,0.51638,0.51705
2022-01-13 04:00:00,0.51696,0.51734,0.50901,0.51472
2022-01-13 05:00:00,0.51484,0.52207,0.51395,0.521
2022-01-13 06:00:00,0.52158,0.52481,0.50596,0.50726
2022-01-13 07:00:00,0.50701,0.51531,0.50701,0.51392
2022-01-13 08:00:00,0.51353,0.51387,0.50518,0.50729
2022-01-13 09:00:00,0.507,0.51973,0.505,0.5187
2022-01-13 10:00:00,0.519,0.51999,0.4816,0.494
2022-01-13 11:00:00,0.49429,0.49744,0.488,0.49093
2022-01-13 12:00:00,0.49119,0.49433,0.47641,0.49131
2022-01-13 13:00:00,0.49156,0.50181,0.49085,0.50002
2022-01-13 14:00:00,0.49954,0.51,0.49385,0.49837
2022-01-13 15:00:00,0.49837,0.5068,0.48973,0.50469
2022-01-13 16:00:00,0.50486,0.50499,0.49615,0.50109
2022-01-13 17:00:00,0.50057,0.5089,0.49851,0.50538
2022-01-13 18:00:00,0.50456,0.50511,0.49455,0.4946
2022-01-13 19:00:00,0.4946,0.50728,0.49129,0.50337
2022-01-13 20:00:00,0.50337,0.50517,0.49526,0.50206
2022-01-13 21:00:00,0.50171,0.50627,0.49504,0.50198
2022-01-13 22:00:00,0.50153,0.50724,0.49822,0.50599
2022-01-13 23:00:00,0.50657,0.52191,0.506,0.51425
2022-01-14 00:00:00,0.51477,0.52033,0.50184,0.50751
2022-01-14 01:00:00,0.50801,0.50834,0.49925,0.50015
2022-01-14 02:00:00,0.50013,0.50456,0.48342,0.48663
2022-01-14 03:00:00,0.4861,0.49,0.47688,0.486
2022-01-14 04:00:00,0.48585,0.492,0.4808,0.48692
2022-01-14 05:00:00,0.48705,0.51719,0.48474,0.5003
2022-01-14 06:00:00,0.49956,0.50529,0.49127,0.50303
2022-01-14 07:00:00,0.50254,0.5154,0.5013,0.51205
2022-01-14 08:00:00,0.51244,0.51968,0.51051,0.51391
2022-01-14 09:00:00,0.51336,0.54749,0.5115,0.54528
2022-01-14 10:00:00,0.54528,0.555,0.53672,0.54629
2022-01-14 11:00:00,0.54583,0.55145,0.53486,0.54942
2022-01-14 12:00:00,0.54944,0.5507,0.53854,0.5399
