datetime,BETABUSD_open,BETABUSD_high,BETABUSD_low,BETABUSD_close
2022-05-01 04:00:00,0.28075,0.28108,0.278,0.27852
2022-05-01 05:00:00,0.27885,0.28,0.27802,0.27945
2022-05-01 06:00:00,0.27858,0.27858,0.275,0.27575
2022-05-01 07:00:00,0.27578,0.28109,0.27489,0.28109
2022-05-01 08:00:00,0.28123,0.2823,0.27723,0.27841
2022-05-01 09:00:00,0.27831,0.27931,0.27789,0.27881
2022-05-01 10:00:00,0.27878,0.28743,0.27762,0.2859
2022-05-01 11:00:00,0.2865,0.29129,0.28538,0.2874
2022-05-01 12:00:00,0.28753,0.28894,0.28435,0.28479
2022-05-01 13:00:00,0.28479,0.28479,0.2758,0.2758
2022-05-01 14:00:00,0.27608,0.27739,0.274,0.27608
2022-05-01 15:00:00,0.27636,0.28136,0.27489,0.28136
2022-05-01 16:00:00,0.28174,0.28198,0.27749,0.28048
2022-05-01 17:00:00,0.28197,0.28271,0.27895,0.2809
2022-05-01 18:00:00,0.28096,0.28635,0.28032,0.28426
2022-05-01 19:00:00,0.28426,0.28851,0.284,0.28617
2022-05-01 20:00:00,0.28707,0.28896,0.2834,0.2834
2022-05-01 21:00:00,0.28329,0.28539,0.28223,0.2845
2022-05-01 22:00:00,0.28483,0.30995,0.27966,0.28158
2022-05-01 23:00:00,0.28114,0.28351,0.28,0.2822
2022-05-02 00:00:00,0.28283,0.28481,0.2823,0.28429
2022-05-02 01:00:00,0.28479,0.28613,0.2833,0.28437
2022-05-02 02:00:00,0.28397,0.28528,0.28177,0.28189
2022-05-02 03:00:00,0.28279,0.28319,0.27961,0.28029
2022-05-02 04:00:00,0.2799,0.28024,0.27476,0.275
2022-05-02 05:00:00,0.27475,0.27585,0.27212,0.27331
2022-05-02 06:00:00,0.27306,0.27306,0.26953,0.26953
2022-05-02 07:00:00,0.26956,0.29186,0.26945,0.27856
2022-05-02 08:00:00,0.27788,0.27788,0.26827,0.27481
2022-05-02 09:00:00,0.27425,0.28863,0.26976,0.28769
2022-05-02 10:00:00,0.2874,0.29403,0.27452,0.27557
2022-05-02 11:00:00,0.27578,0.27604,0.27212,0.27242
2022-05-02 12:00:00,0.27218,0.27348,0.26714,0.26878
2022-05-02 13:00:00,0.26853,0.26922,0.26596,0.26687
2022-05-02 14:00:00,0.26732,0.27081,0.26651,0.27
2022-05-02 15:00:00,0.26962,0.28672,0.2688,0.27036
2022-05-02 16:00:00,0.27057,0.27348,0.26949,0.27348
2022-05-02 17:00:00,0.27357,0.27816,0.27256,0.27301
2022-05-02 18:00:00,0.27304,0.27547,0.27188,0.27277
2022-05-02 19:00:00,0.2725,0.27409,0.27098,0.27218
2022-05-02 20:00:00,0.27234,0.27463,0.2715,0.27421
2022-05-02 21:00:00,0.27478,0.2755,0.27288,0.2751
2022-05-02 22:00:00,0.27481,0.27705,0.27456,0.27526
