datetime,SOLUSD_open,SOLUSD_high,SOLUSD_low,SOLUSD_close
2022-01-06 15:00:00,148.55,150.06,147.25,149.68
2022-01-06 16:00:00,149.68,150.53,148.81,150.37
2022-01-06 17:00:00,150.39,152.75,150.2,152.28
2022-01-06 18:00:00,152.23,154.42,152.0,154.33
2022-01-06 19:00:00,154.37,154.57,153.41,153.95
2022-01-06 20:00:00,153.92,154.6,151.13,151.69
2022-01-06 21:00:00,151.71,152.19,151.04,151.05
2022-01-06 22:00:00,151.05,152.14,150.47,151.97
2022-01-06 23:00:00,151.98,152.07,150.05,150.23
2022-01-07 00:00:00,150.26,150.73,145.67,145.99
2022-01-07 01:00:00,145.96,147.8,145.96,147.21
2022-01-07 02:00:00,147.22,147.5,144.48,144.89
2022-01-07 03:00:00,144.87,145.16,138.01,139.64
2022-01-07 04:00:00,139.64,140.76,135.5,140.23
2022-01-07 05:00:00,140.23,141.31,138.88,139.93
2022-01-07 06:00:00,139.97,140.14,136.27,137.11
2022-01-07 07:00:00,137.14,139.3,134.68,138.82
2022-01-07 08:00:00,138.91,143.0,138.2,139.54
2022-01-07 09:00:00,139.47,142.17,139.25,141.11
2022-01-07 10:00:00,141.09,141.51,139.1,139.12
2022-01-07 11:00:00,139.09,140.29,138.38,139.2
2022-01-07 12:00:00,139.22,142.01,139.22,140.87
2022-01-07 13:00:00,140.89,142.89,135.88,137.95
2022-01-07 14:00:00,137.94,140.6,137.32,139.91
2022-01-07 15:00:00,139.93,140.02,133.31,135.83
2022-01-07 16:00:00,135.82,140.15,134.4,139.41
2022-01-07 17:00:00,139.46,140.25,138.02,140.18
2022-01-07 18:00:00,140.17,140.42,138.36,139.49
2022-01-07 19:00:00,139.59,143.67,138.28,140.44
2022-01-07 20:00:00,140.42,141.19,138.74,139.78
2022-01-07 21:00:00,139.79,140.51,139.34,139.63
2022-01-07 22:00:00,139.67,139.67,135.99,136.76
2022-01-07 23:00:00,136.74,137.47,135.89,136.37
2022-01-08 00:00:00,136.38,140.08,135.77,140.02
2022-01-08 01:00:00,140.01,141.52,139.61,139.82
2022-01-08 02:00:00,139.87,140.14,138.32,139.82
2022-01-08 03:00:00,139.83,139.87,138.28,139.38
2022-01-08 04:00:00,139.38,141.95,139.33,141.16
2022-01-08 05:00:00,141.16,141.96,140.72,141.88
2022-01-08 06:00:00,141.87,143.82,140.4,143.7
2022-01-08 07:00:00,143.67,144.69,142.55,144.37
2022-01-08 08:00:00,144.4,146.44,144.32,145.71
2022-01-08 09:00:00,145.73,147.0,145.7,146.9
2022-01-08 10:00:00,146.93,148.14,145.95,146.65
2022-01-08 11:00:00,146.66,146.72,144.81,146.44
2022-01-08 12:00:00,146.46,146.83,144.17,145.26
2022-01-08 13:00:00,145.24,146.12,144.47,145.56
2022-01-08 14:00:00,145.56,145.78,143.39,143.69
2022-01-08 15:00:00,143.71,144.81,142.35,144.29
2022-01-08 16:00:00,144.29,146.23,139.85,140.66
2022-01-08 17:00:00,140.69,141.28,135.02,135.47
2022-01-08 18:00:00,135.47,138.52,133.0,133.62
2022-01-08 19:00:00,133.66,136.45,133.1,135.45
2022-01-08 20:00:00,135.46,139.1,134.68,137.55
2022-01-08 21:00:00,137.61,145.99,137.32,144.52
2022-01-08 22:00:00,144.45,146.99,143.61,144.35
2022-01-08 23:00:00,144.33,144.51,141.62,142.17
2022-01-09 00:00:00,142.11,145.39,140.75,144.66
2022-01-09 01:00:00,144.64,145.61,141.77,142.71
2022-01-09 02:00:00,142.71,144.59,141.88,144.04
2022-01-09 03:00:00,144.03,144.03,141.49,141.92
2022-01-09 04:00:00,141.93,143.68,141.84,143.54
2022-01-09 05:00:00,143.6,143.75,140.88,141.24
2022-01-09 06:00:00,141.17,142.23,140.55,141.67
2022-01-09 07:00:00,141.68,142.09,140.09,140.44
2022-01-09 08:00:00,140.44,141.4,139.1,139.32
2022-01-09 09:00:00,139.31,139.97,138.34,138.8
2022-01-09 10:00:00,138.8,139.99,137.87,139.69
2022-01-09 11:00:00,139.69,141.18,139.67,140.6
2022-01-09 12:00:00,140.61,140.94,139.19,140.02
2022-01-09 13:00:00,140.0,140.73,138.44,138.52
2022-01-09 14:00:00,138.43,140.55,138.43,139.82
2022-01-09 15:00:00,139.8,140.28,137.94,140.09
2022-01-09 16:00:00,140.11,143.48,139.68,143.48
2022-01-09 17:00:00,143.49,144.77,142.47,144.61
2022-01-09 18:00:00,144.64,145.05,143.13,143.43
2022-01-09 19:00:00,143.39,145.71,143.01,145.27
2022-01-09 20:00:00,145.31,145.67,143.62,143.63
2022-01-09 21:00:00,143.64,143.89,142.07,142.22
2022-01-09 22:00:00,142.22,142.64,140.81,141.48
2022-01-09 23:00:00,141.48,141.76,140.0,140.83
2022-01-10 00:00:00,140.82,142.58,140.14,140.5
2022-01-10 01:00:00,140.51,141.41,140.0,140.3
2022-01-10 02:00:00,140.33,141.39,138.9,140.97
2022-01-10 03:00:00,140.98,140.98,139.84,140.68
2022-01-10 04:00:00,140.62,143.63,140.3,143.15
2022-01-10 05:00:00,143.16,143.34,142.31,142.99
2022-01-10 06:00:00,142.99,143.3,142.27,142.33
2022-01-10 07:00:00,142.3,143.76,142.25,143.07
2022-01-10 08:00:00,143.08,143.5,141.16,141.56
2022-01-10 09:00:00,141.51,142.16,141.18,141.36
2022-01-10 10:00:00,141.32,142.19,140.78,140.92
2022-01-10 11:00:00,140.97,140.99,138.94,139.42
2022-01-10 12:00:00,139.48,139.72,135.4,135.53
2022-01-10 13:00:00,135.52,136.83,135.07,135.44
2022-01-10 14:00:00,135.44,135.67,130.0,133.37
2022-01-10 15:00:00,133.32,135.61,130.76,133.16
2022-01-10 16:00:00,133.16,137.21,132.61,136.84
2022-01-10 17:00:00,136.79,137.61,130.51,132.94
2022-01-10 18:00:00,132.98,134.69,132.66,133.76
2022-01-10 19:00:00,133.74,134.71,132.26,132.68
2022-01-10 20:00:00,132.68,135.76,131.92,135.36
2022-01-10 21:00:00,135.41,135.72,134.61,135.24
2022-01-10 22:00:00,135.22,136.02,134.52,134.97
2022-01-10 23:00:00,134.98,136.21,134.45,135.89
2022-01-11 00:00:00,135.89,136.19,135.07,135.12
2022-01-11 01:00:00,135.16,135.73,133.6,135.69
2022-01-11 02:00:00,135.7,137.53,135.47,137.0
2022-01-11 03:00:00,137.0,137.52,135.99,137.31
2022-01-11 04:00:00,137.3,137.95,136.08,136.62
2022-01-11 05:00:00,136.6,136.64,135.05,135.69
2022-01-11 06:00:00,135.69,136.82,135.48,136.79
2022-01-11 07:00:00,136.8,137.42,136.27,137.35
2022-01-11 08:00:00,137.34,138.5,136.15,136.5
2022-01-11 09:00:00,136.46,136.95,135.36,136.1
2022-01-11 10:00:00,136.09,136.67,134.34,134.67
2022-01-11 11:00:00,134.67,136.26,134.49,135.45
2022-01-11 12:00:00,135.45,137.1,135.11,136.53
2022-01-11 13:00:00,136.55,137.11,135.73,136.91
2022-01-11 14:00:00,136.91,137.82,135.11,136.48
2022-01-11 15:00:00,136.45,138.08,135.84,137.14
2022-01-11 16:00:00,137.15,141.5,136.98,140.67
2022-01-11 17:00:00,140.67,143.25,140.22,141.71
2022-01-11 18:00:00,141.71,143.57,140.76,142.41
2022-01-11 19:00:00,142.41,142.93,141.55,142.46
2022-01-11 20:00:00,142.45,143.18,141.59,141.98
2022-01-11 21:00:00,141.94,142.21,140.86,140.96
2022-01-11 22:00:00,140.95,141.18,140.06,140.23
2022-01-11 23:00:00,140.24,140.93,139.74,140.27
2022-01-12 00:00:00,140.27,141.59,139.9,140.01
2022-01-12 01:00:00,140.0,140.3,139.21,139.93
2022-01-12 02:00:00,139.96,140.88,139.93,140.83
2022-01-12 03:00:00,140.82,141.1,139.98,140.14
2022-01-12 04:00:00,140.14,140.41,139.69,140.15
2022-01-12 05:00:00,140.14,140.39,139.64,140.33
2022-01-12 06:00:00,140.33,140.89,139.44,139.77
2022-01-12 07:00:00,139.78,139.9,138.29,138.99
2022-01-12 08:00:00,138.99,140.32,138.75,139.9
2022-01-12 09:00:00,139.84,144.12,139.59,141.89
2022-01-12 10:00:00,141.87,142.65,140.52,140.68
2022-01-12 11:00:00,140.67,142.63,140.06,141.47
2022-01-12 12:00:00,141.4,143.76,141.27,143.62
2022-01-12 13:00:00,143.62,147.81,142.52,147.31
2022-01-12 14:00:00,147.32,147.68,145.6,147.21
2022-01-12 15:00:00,147.25,148.65,146.43,147.74
2022-01-12 16:00:00,147.76,152.29,147.63,152.28
2022-01-12 17:00:00,152.23,152.29,150.32,151.1
2022-01-12 18:00:00,151.11,151.45,150.27,150.58
2022-01-12 19:00:00,150.59,153.4,149.23,152.81
2022-01-12 20:00:00,152.79,153.29,151.36,151.89
2022-01-12 21:00:00,152.0,153.4,151.66,151.97
2022-01-12 22:00:00,152.01,152.83,151.62,152.22
2022-01-12 23:00:00,152.22,152.65,151.44,151.56
2022-01-13 00:00:00,151.56,152.28,150.47,150.84
2022-01-13 01:00:00,150.85,151.24,149.25,149.49
2022-01-13 02:00:00,149.48,150.24,149.19,149.39
2022-01-13 03:00:00,149.4,149.7,148.24,148.72
2022-01-13 04:00:00,148.75,149.74,148.7,149.16
2022-01-13 05:00:00,149.15,150.02,148.78,149.61
2022-01-13 06:00:00,149.61,151.02,149.44,150.51
2022-01-13 07:00:00,150.51,151.64,150.09,151.45
2022-01-13 08:00:00,151.46,152.6,151.3,151.89
2022-01-13 09:00:00,151.91,152.26,151.0,151.9
2022-01-13 10:00:00,151.92,152.89,151.77,151.87
2022-01-13 11:00:00,151.88,152.11,150.0,150.42
2022-01-13 12:00:00,150.4,153.95,150.33,153.78
2022-01-13 13:00:00,153.8,155.0,153.57,154.94
2022-01-13 14:00:00,154.91,157.94,154.6,157.18
2022-01-13 15:00:00,157.23,157.45,151.5,155.01
2022-01-13 16:00:00,155.0,155.25,152.55,152.55
2022-01-13 17:00:00,152.53,153.26,147.85,150.67
2022-01-13 18:00:00,150.67,151.81,148.77,149.64
2022-01-13 19:00:00,149.69,151.46,146.54,147.72
2022-01-13 20:00:00,147.68,148.42,145.56,148.42
2022-01-13 21:00:00,148.44,149.99,147.9,149.05
2022-01-13 22:00:00,149.02,149.5,146.19,146.66
2022-01-13 23:00:00,146.67,147.58,145.58,146.24
2022-01-14 00:00:00,146.21,148.06,144.54,147.8
2022-01-14 01:00:00,147.8,148.05,146.78,147.46
2022-01-14 02:00:00,147.43,147.98,145.76,147.93
2022-01-14 03:00:00,147.91,148.06,146.84,147.64
2022-01-14 04:00:00,147.58,149.09,147.47,147.9
2022-01-14 05:00:00,147.9,149.49,147.24,149.36
2022-01-14 06:00:00,149.38,150.65,148.82,149.6
2022-01-14 07:00:00,149.6,149.67,146.84,147.75
2022-01-14 08:00:00,147.75,147.84,145.22,146.16
2022-01-14 09:00:00,146.23,147.43,146.17,146.65
2022-01-14 10:00:00,146.63,147.07,142.54,143.18
2022-01-14 11:00:00,143.19,143.81,142.0,143.5
2022-01-14 12:00:00,143.49,144.97,142.05,143.81
2022-01-14 13:00:00,143.85,145.33,142.78,143.39
2022-01-14 14:00:00,143.36,147.03,142.9,146.6
2022-01-14 15:00:00,146.64,148.46,145.77,147.42
2022-01-14 16:00:00,147.41,148.24,145.74,147.87
2022-01-14 17:00:00,147.88,148.69,145.8,145.94
2022-01-14 18:00:00,145.95,147.24,145.66,146.97
2022-01-14 19:00:00,146.96,149.97,146.81,148.42
2022-01-14 20:00:00,148.42,149.06,146.63,146.63
2022-01-14 21:00:00,146.66,147.65,146.28,147.04
2022-01-14 22:00:00,147.03,147.62,146.24,147.07
2022-01-14 23:00:00,147.06,147.44,145.45,146.17
2022-01-15 00:00:00,146.17,146.54,145.05,145.74
2022-01-15 01:00:00,145.74,147.02,145.49,146.56
2022-01-15 02:00:00,146.54,147.39,146.05,147.13
2022-01-15 03:00:00,147.12,147.18,145.66,146.0
2022-01-15 04:00:00,145.98,146.32,144.7,145.23
2022-01-15 05:00:00,145.23,145.94,145.15,145.19
2022-01-15 06:00:00,145.16,145.68,144.77,145.62
2022-01-15 07:00:00,145.62,145.88,145.14,145.53
2022-01-15 08:00:00,145.5,146.1,145.23,145.36
