datetime,XRPTUSD_open,XRPTUSD_high,XRPTUSD_low,XRPTUSD_close
2022-04-28 20:00:00,0.6431,0.6431,0.6431,0.6431
2022-04-28 21:00:00,0.6431,0.6431,0.6431,0.6431
2022-04-28 22:00:00,0.6377,0.6377,0.6356,0.6356
2022-04-28 23:00:00,0.6366,0.6391,0.6365,0.6391
2022-04-29 00:00:00,0.6391,0.6391,0.6391,0.6391
2022-04-29 01:00:00,0.6391,0.6391,0.6391,0.6391
2022-04-29 02:00:00,0.6391,0.6391,0.6391,0.6391
2022-04-29 03:00:00,0.6391,0.6391,0.6391,0.6391
2022-04-29 04:00:00,0.6322,0.6339,0.6322,0.6339
2022-04-29 05:00:00,0.6307,0.6307,0.6159,0.6173
2022-04-29 06:00:00,0.6178,0.6178,0.6178,0.6178
2022-04-29 07:00:00,0.6177,0.6177,0.6174,0.6174
2022-04-29 08:00:00,0.6225,0.6251,0.6224,0.6224
2022-04-29 09:00:00,0.6224,0.6224,0.6224,0.6224
2022-04-29 10:00:00,0.6224,0.6224,0.6224,0.6224
2022-04-29 11:00:00,0.6109,0.6109,0.6085,0.6095
2022-04-29 12:00:00,0.6123,0.6123,0.6118,0.6118
2022-04-29 13:00:00,0.6096,0.6096,0.6012,0.6071
2022-04-29 14:00:00,0.606,0.6082,0.6025,0.6025
2022-04-29 15:00:00,0.6051,0.6127,0.6051,0.612
2022-04-29 16:00:00,0.612,0.612,0.612,0.612
2022-04-29 17:00:00,0.6108,0.6108,0.6044,0.6044
2022-04-29 18:00:00,0.6102,0.6117,0.6102,0.6117
2022-04-29 19:00:00,0.6133,0.6171,0.6133,0.6156
2022-04-29 20:00:00,0.6151,0.6151,0.6151,0.6151
2022-04-29 21:00:00,0.6195,0.6195,0.6195,0.6195
2022-04-29 22:00:00,0.6195,0.6195,0.6195,0.6195
2022-04-29 23:00:00,0.6195,0.6195,0.6195,0.6195
2022-04-30 00:00:00,0.6224,0.6234,0.6224,0.6234
2022-04-30 01:00:00,0.6274,0.6283,0.6257,0.6257
2022-04-30 02:00:00,0.6237,0.6239,0.6231,0.6231
2022-04-30 03:00:00,0.6231,0.6231,0.6231,0.6231
2022-04-30 04:00:00,0.6203,0.6203,0.6203,0.6203
2022-04-30 05:00:00,0.6203,0.6203,0.6203,0.6203
2022-04-30 06:00:00,0.6225,0.6225,0.6196,0.6196
2022-04-30 07:00:00,0.6196,0.6196,0.6196,0.6196
2022-04-30 08:00:00,0.6196,0.6196,0.6196,0.6196
2022-04-30 09:00:00,0.6105,0.6105,0.6096,0.6096
2022-04-30 10:00:00,0.6087,0.617,0.6087,0.617
2022-04-30 11:00:00,0.6174,0.6174,0.6173,0.6173
2022-04-30 12:00:00,0.6173,0.6173,0.6173,0.6173
2022-04-30 13:00:00,0.6092,0.6092,0.6092,0.6092
2022-04-30 14:00:00,0.6102,0.6102,0.6102,0.6102
2022-04-30 15:00:00,0.6076,0.6076,0.6076,0.6076
2022-04-30 16:00:00,0.6076,0.6076,0.6076,0.6076
2022-04-30 17:00:00,0.6076,0.6076,0.6076,0.6076
2022-04-30 18:00:00,0.5946,0.5946,0.568,0.5848
2022-04-30 19:00:00,0.5845,0.5871,0.5789,0.5869
2022-04-30 20:00:00,0.5869,0.5879,0.5783,0.5879
2022-04-30 21:00:00,0.5929,0.5929,0.5929,0.5929
2022-04-30 22:00:00,0.5862,0.5912,0.5862,0.5897
2022-04-30 23:00:00,0.5897,0.5897,0.5897,0.5897
2022-05-01 00:00:00,0.5896,0.5969,0.5896,0.5969
2022-05-01 01:00:00,0.5956,0.5956,0.591,0.5928
2022-05-01 02:00:00,0.5891,0.5896,0.5865,0.5865
2022-05-01 03:00:00,0.5901,0.5902,0.5901,0.5902
2022-05-01 04:00:00,0.5889,0.5889,0.5889,0.5889
2022-05-01 05:00:00,0.5923,0.5923,0.5901,0.5917
2022-05-01 06:00:00,0.5896,0.5896,0.589,0.589
2022-05-01 07:00:00,0.5904,0.5933,0.5904,0.5926
2022-05-01 08:00:00,0.5926,0.5926,0.5926,0.5926
2022-05-01 09:00:00,0.5921,0.5931,0.5921,0.5931
2022-05-01 10:00:00,0.5913,0.6049,0.5913,0.6049
2022-05-01 11:00:00,0.6034,0.6058,0.6034,0.6058
2022-05-01 12:00:00,0.6075,0.6102,0.6075,0.6095
2022-05-01 13:00:00,0.6095,0.6095,0.6095,0.6095
2022-05-01 14:00:00,0.5983,0.5983,0.5983,0.5983
2022-05-01 15:00:00,0.5967,0.6006,0.5956,0.6006
2022-05-01 16:00:00,0.6006,0.6006,0.6006,0.6006
2022-05-01 17:00:00,0.6033,0.607,0.6025,0.6034
2022-05-01 18:00:00,0.6057,0.6076,0.6055,0.6071
2022-05-01 19:00:00,0.6167,0.6167,0.6167,0.6167
2022-05-01 20:00:00,0.6187,0.6187,0.6187,0.6187
2022-05-01 21:00:00,0.6135,0.6135,0.6109,0.611
2022-05-01 22:00:00,0.6197,0.6229,0.6197,0.6229
2022-05-01 23:00:00,0.6202,0.6225,0.6172,0.6224
2022-05-02 00:00:00,0.6214,0.6252,0.6214,0.6237
