datetime,BIFIBUSD_open,BIFIBUSD_high,BIFIBUSD_low,BIFIBUSD_close
2022-01-05 03:00:00,1233.6,1243.4,1232.6,1243.0
2022-01-05 04:00:00,1243.4,1244.3,1235.8,1243.8
2022-01-05 05:00:00,1243.8,1288.7,1242.6,1259.7
2022-01-05 06:00:00,1261.4,1261.4,1253.5,1253.5
2022-01-05 07:00:00,1255.8,1255.9,1250.1,1253.9
2022-01-05 08:00:00,1255.1,1277.2,1255.1,1275.8
2022-01-05 09:00:00,1275.6,1277.2,1270.3,1275.8
2022-01-05 10:00:00,1275.8,1283.3,1252.5,1262.7
2022-01-05 11:00:00,1262.0,1263.0,1241.9,1251.9
2022-01-05 12:00:00,1252.5,1252.5,1233.8,1233.8
2022-01-05 13:00:00,1236.1,1236.3,1216.9,1231.9
2022-01-05 14:00:00,1231.9,1236.1,1165.4,1179.0
2022-01-05 15:00:00,1179.0,1183.6,1165.0,1167.6
2022-01-05 16:00:00,1169.7,1172.6,1165.0,1167.7
2022-01-05 17:00:00,1167.7,1183.7,1165.0,1175.2
2022-01-05 18:00:00,1179.2,1200.2,1178.7,1194.9
2022-01-05 19:00:00,1192.2,1197.9,1187.6,1197.9
2022-01-05 20:00:00,1197.6,1197.6,1175.5,1175.6
2022-01-05 21:00:00,1176.6,1177.1,1165.0,1165.0
2022-01-05 22:00:00,1168.2,1168.4,1165.0,1165.0
2022-01-05 23:00:00,1166.2,1166.7,1165.0,1165.8
2022-01-06 00:00:00,1166.3,1166.3,1165.0,1165.1
2022-01-06 01:00:00,1166.3,1166.3,1165.0,1165.7
2022-01-06 02:00:00,1166.1,1166.1,1165.0,1165.9
2022-01-06 03:00:00,1165.9,1178.1,1165.0,1170.6
2022-01-06 04:00:00,1171.2,1172.8,1165.7,1165.7
2022-01-06 05:00:00,1168.0,1168.4,1165.0,1166.6
2022-01-06 06:00:00,1168.0,1173.0,1165.7,1165.7
2022-01-06 07:00:00,1170.5,1172.1,1165.0,1167.9
2022-01-06 08:00:00,1168.8,1178.1,1165.0,1169.9
2022-01-06 09:00:00,1176.2,1195.5,1169.0,1184.0
2022-01-06 10:00:00,1186.5,1188.1,1180.0,1180.3
2022-01-06 11:00:00,1183.9,1187.7,1178.1,1182.1
2022-01-06 12:00:00,1184.4,1196.7,1179.4,1193.8
2022-01-06 13:00:00,1196.3,1203.9,1190.0,1197.2
2022-01-06 14:00:00,1203.8,1217.5,1195.6,1217.5
2022-01-06 15:00:00,1217.5,1218.2,1203.6,1205.0
2022-01-06 16:00:00,1212.4,1213.6,1190.0,1193.9
2022-01-06 17:00:00,1195.2,1195.6,1190.0,1192.9
