datetime,HIVEBUSD_open,HIVEBUSD_high,HIVEBUSD_low,HIVEBUSD_close
2022-01-18 20:00:00,1.2118,1.2157,1.202,1.2083
2022-01-18 21:00:00,1.2083,1.2087,1.1992,1.2
2022-01-18 22:00:00,1.2015,1.2015,1.1675,1.1702
2022-01-18 23:00:00,1.1717,1.1741,1.1653,1.17
2022-01-19 00:00:00,1.17,1.1727,1.1664,1.1664
2022-01-19 01:00:00,1.1664,1.1705,1.1652,1.1663
2022-01-19 02:00:00,1.1646,1.1646,1.1172,1.1177
2022-01-19 03:00:00,1.1205,1.1285,1.114,1.1266
2022-01-19 04:00:00,1.1293,1.1425,1.1293,1.1422
2022-01-19 05:00:00,1.1411,1.1411,1.125,1.1304
2022-01-19 06:00:00,1.1343,1.1573,1.1343,1.1497
2022-01-19 07:00:00,1.1517,1.1715,1.1517,1.1647
2022-01-19 08:00:00,1.1619,1.1709,1.1586,1.1599
2022-01-19 09:00:00,1.1599,1.1755,1.1579,1.1702
2022-01-19 10:00:00,1.1684,1.1707,1.1507,1.1573
2022-01-19 11:00:00,1.1577,1.1578,1.14,1.1535
2022-01-19 12:00:00,1.1538,1.1709,1.1538,1.1672
2022-01-19 13:00:00,1.1695,1.1695,1.1606,1.1648
2022-01-19 14:00:00,1.1623,1.1623,1.1529,1.1535
2022-01-19 15:00:00,1.1541,1.1564,1.1431,1.1471
2022-01-19 16:00:00,1.149,1.1497,1.1414,1.1454
2022-01-19 17:00:00,1.142,1.1556,1.1385,1.1556
2022-01-19 18:00:00,1.1556,1.1571,1.1401,1.1406
2022-01-19 19:00:00,1.1428,1.1428,1.1299,1.1348
2022-01-19 20:00:00,1.1341,1.1394,1.1242,1.1242
2022-01-19 21:00:00,1.1261,1.144,1.1261,1.1391
2022-01-19 22:00:00,1.142,1.147,1.1362,1.1365
2022-01-19 23:00:00,1.1379,1.1539,1.1367,1.1475
2022-01-20 00:00:00,1.1505,1.1696,1.1451,1.1497
2022-01-20 01:00:00,1.1521,1.1524,1.1489,1.1499
2022-01-20 02:00:00,1.1499,1.1579,1.1491,1.1555
2022-01-20 03:00:00,1.1557,1.1576,1.1465,1.1492
2022-01-20 04:00:00,1.1503,1.1522,1.1403,1.1517
2022-01-20 05:00:00,1.1495,1.15,1.1454,1.1479
2022-01-20 06:00:00,1.1479,1.1539,1.1479,1.1539
2022-01-20 07:00:00,1.1493,1.1499,1.1452,1.1459
2022-01-20 08:00:00,1.148,1.1649,1.1452,1.1588
2022-01-20 09:00:00,1.1625,1.1823,1.1625,1.1823
2022-01-20 10:00:00,1.1787,1.1888,1.1711,1.1826
2022-01-20 11:00:00,1.1843,1.1843,1.1687,1.1737
2022-01-20 12:00:00,1.1738,1.176,1.1711,1.1711
2022-01-20 13:00:00,1.1703,1.1715,1.1651,1.1682
2022-01-20 14:00:00,1.1692,1.1722,1.1668,1.1701
2022-01-20 15:00:00,1.1699,1.1703,1.1591,1.1612
2022-01-20 16:00:00,1.1592,1.1592,1.12,1.12
2022-01-20 17:00:00,1.115,1.1299,1.0993,1.1043
2022-01-20 18:00:00,1.1036,1.107,1.0673,1.0727
2022-01-20 19:00:00,1.0728,1.0892,1.0647,1.0758
2022-01-20 20:00:00,1.0748,1.0748,1.0088,1.0088
2022-01-20 21:00:00,1.01,1.0364,1.0052,1.0202
2022-01-20 22:00:00,1.018,1.0217,0.9843,0.9869
2022-01-20 23:00:00,0.9937,1.0112,0.9937,1.0077
2022-01-21 00:00:00,1.004,1.0094,0.9946,1.0038
2022-01-21 01:00:00,1.006,1.0069,0.9946,1.0019
2022-01-21 02:00:00,0.9998,1.0143,0.9959,1.0143
2022-01-21 03:00:00,1.0117,1.0215,1.0116,1.0171
2022-01-21 04:00:00,1.0169,1.0169,1.0091,1.0117
2022-01-21 05:00:00,1.0117,1.015,1.0076,1.0086
2022-01-21 06:00:00,1.004,1.004,0.99,1.0006
2022-01-21 07:00:00,1.0005,1.0005,0.96,0.977
2022-01-21 08:00:00,0.98,0.9901,0.9711,0.9835
2022-01-21 09:00:00,0.9851,0.9978,0.9754,0.9819
2022-01-21 10:00:00,0.9831,0.9981,0.9706,0.9893
2022-01-21 11:00:00,0.9915,1.0,0.987,0.9952
2022-01-21 12:00:00,0.9932,0.9957,0.956,0.9684
2022-01-21 13:00:00,0.9685,0.9772,0.9553,0.9644
2022-01-21 14:00:00,0.9652,0.9736,0.9546,0.9556
2022-01-21 15:00:00,0.957,0.9634,0.9345,0.9622
2022-01-21 16:00:00,0.963,0.9666,0.8838,0.9057
2022-01-21 17:00:00,0.9023,0.9237,0.8742,0.8964
2022-01-21 18:00:00,0.8898,0.9103,0.8833,0.9054
2022-01-21 19:00:00,0.9018,0.9127,0.8763,0.8995
2022-01-21 20:00:00,0.8952,0.9018,0.8836,0.8945
2022-01-21 21:00:00,0.8981,0.9127,0.8954,0.909
2022-01-21 22:00:00,0.9092,0.913,0.8799,0.8839
2022-01-21 23:00:00,0.8872,0.8878,0.8628,0.8637
2022-01-22 00:00:00,0.8657,0.8685,0.8214,0.8273
2022-01-22 01:00:00,0.8273,0.8664,0.8164,0.8246
2022-01-22 02:00:00,0.8164,0.8412,0.8004,0.8062
2022-01-22 03:00:00,0.8116,0.8181,0.8065,0.8089
2022-01-22 04:00:00,0.805,0.8105,0.7372,0.738
2022-01-22 05:00:00,0.7356,0.7891,0.7125,0.7755
2022-01-22 06:00:00,0.7822,0.7914,0.7583,0.7769
2022-01-22 07:00:00,0.7897,0.8173,0.7854,0.8169
2022-01-22 08:00:00,0.8151,0.8313,0.809,0.8121
2022-01-22 09:00:00,0.8064,0.8123,0.7916,0.793
2022-01-22 10:00:00,0.7937,0.7998,0.7767,0.7795
2022-01-22 11:00:00,0.7803,0.8139,0.7677,0.7919
2022-01-22 12:00:00,0.792,0.8009,0.7839,0.7902
2022-01-22 13:00:00,0.7933,0.7942,0.7542,0.7542
2022-01-22 14:00:00,0.7597,0.7664,0.7457,0.7492
2022-01-22 15:00:00,0.7489,0.7784,0.7426,0.7783
2022-01-22 16:00:00,0.7758,0.7869,0.7669,0.7843
2022-01-22 17:00:00,0.7847,0.7869,0.7777,0.7777
2022-01-22 18:00:00,0.783,0.7975,0.783,0.7975
2022-01-22 19:00:00,0.7978,0.8191,0.7971,0.8191
2022-01-22 20:00:00,0.8112,0.8169,0.8074,0.808
2022-01-22 21:00:00,0.8101,0.8101,0.7888,0.7888
2022-01-22 22:00:00,0.791,0.8027,0.7878,0.8007
2022-01-22 23:00:00,0.7981,0.8142,0.7981,0.8142
2022-01-23 00:00:00,0.8155,0.8236,0.8096,0.8236
2022-01-23 01:00:00,0.8217,0.8239,0.8151,0.8183
2022-01-23 02:00:00,0.8214,0.8342,0.8214,0.8338
2022-01-23 03:00:00,0.8311,0.8347,0.8272,0.8347
2022-01-23 04:00:00,0.8362,0.855,0.8362,0.8464
2022-01-23 05:00:00,0.8473,0.8539,0.837,0.8483
2022-01-23 06:00:00,0.8503,0.8562,0.8345,0.837
2022-01-23 07:00:00,0.8383,0.8391,0.8333,0.8365
2022-01-23 08:00:00,0.8384,0.8421,0.8346,0.8407
2022-01-23 09:00:00,0.8441,0.8442,0.8057,0.8166
2022-01-23 10:00:00,0.8129,0.814,0.8019,0.814
2022-01-23 11:00:00,0.815,0.8197,0.8078,0.812
2022-01-23 12:00:00,0.8142,0.8173,0.8129,0.8129
2022-01-23 13:00:00,0.814,0.814,0.8013,0.8013
2022-01-23 14:00:00,0.8048,0.8072,0.7877,0.7917
2022-01-23 15:00:00,0.7934,0.801,0.7886,0.7997
2022-01-23 16:00:00,0.7997,0.802,0.7906,0.7972
2022-01-23 17:00:00,0.7958,0.8045,0.7958,0.8027
2022-01-23 18:00:00,0.8026,0.8377,0.8026,0.8377
2022-01-23 19:00:00,0.8359,0.881,0.826,0.864
2022-01-23 20:00:00,0.862,0.8667,0.8431,0.852
2022-01-23 21:00:00,0.8464,0.8485,0.8199,0.8199
2022-01-23 22:00:00,0.8219,0.8258,0.8192,0.8257
2022-01-23 23:00:00,0.8271,0.8322,0.8219,0.8219
2022-01-24 00:00:00,0.8169,0.8169,0.8018,0.8169
2022-01-24 01:00:00,0.8127,0.8198,0.811,0.8141
2022-01-24 02:00:00,0.8141,0.8141,0.8023,0.8031
2022-01-24 03:00:00,0.8031,0.8131,0.7938,0.7951
2022-01-24 04:00:00,0.7976,0.7976,0.767,0.7692
2022-01-24 05:00:00,0.7672,0.7729,0.7351,0.7353
2022-01-24 06:00:00,0.7353,0.7564,0.725,0.745
2022-01-24 07:00:00,0.7475,0.7483,0.7183,0.72
2022-01-24 08:00:00,0.7171,0.734,0.7161,0.7237
2022-01-24 09:00:00,0.7201,0.7563,0.713,0.7398
2022-01-24 10:00:00,0.7399,0.7681,0.72,0.7632
2022-01-24 11:00:00,0.7634,0.7695,0.7421,0.7492
2022-01-24 12:00:00,0.7395,0.7814,0.7389,0.7742
2022-01-24 13:00:00,0.7722,0.8235,0.7707,0.8167
2022-01-24 14:00:00,0.8167,0.8167,0.7939,0.8047
2022-01-24 15:00:00,0.797,0.8277,0.797,0.8277
2022-01-24 16:00:00,0.8109,0.8275,0.8083,0.8275
2022-01-24 17:00:00,0.8257,0.8258,0.8158,0.8181
2022-01-24 18:00:00,0.8215,0.8489,0.8215,0.8441
2022-01-24 19:00:00,0.8459,0.8491,0.791,0.791
2022-01-24 20:00:00,0.7959,0.8063,0.7959,0.8016
2022-01-24 21:00:00,0.8033,0.8181,0.8033,0.8134
2022-01-24 22:00:00,0.8134,0.8235,0.8085,0.8186
2022-01-24 23:00:00,0.8174,0.8175,0.7867,0.7882
2022-01-25 00:00:00,0.7903,0.7948,0.7868,0.7914
2022-01-25 01:00:00,0.7918,0.7934,0.7834,0.7874
2022-01-25 02:00:00,0.7874,0.7955,0.783,0.7942
2022-01-25 03:00:00,0.796,0.8269,0.796,0.811
2022-01-25 04:00:00,0.8104,0.8314,0.8104,0.8242
2022-01-25 05:00:00,0.824,0.8355,0.8152,0.8208
2022-01-25 06:00:00,0.8222,0.8237,0.8132,0.8206
2022-01-25 07:00:00,0.8189,0.8435,0.8148,0.8341
2022-01-25 08:00:00,0.8315,0.8339,0.8181,0.8209
2022-01-25 09:00:00,0.821,0.8419,0.8192,0.8205
2022-01-25 10:00:00,0.8144,0.8255,0.8139,0.8255
2022-01-25 11:00:00,0.8262,0.84,0.8262,0.8324
2022-01-25 12:00:00,0.8367,0.8437,0.8347,0.8383
2022-01-25 13:00:00,0.8391,0.8425,0.8371,0.8425
2022-01-25 14:00:00,0.8425,0.8454,0.8396,0.8398
2022-01-25 15:00:00,0.8351,0.8378,0.828,0.833
2022-01-25 16:00:00,0.8331,0.8331,0.8221,0.8236
2022-01-25 17:00:00,0.8256,0.8303,0.8187,0.8287
2022-01-25 18:00:00,0.8283,0.8425,0.8283,0.8374
2022-01-25 19:00:00,0.8374,0.9341,0.8346,0.9238
2022-01-25 20:00:00,0.922,0.945,0.8939,0.9063
2022-01-25 21:00:00,0.9092,0.9349,0.9026,0.9128
2022-01-25 22:00:00,0.9128,0.9585,0.9006,0.9268
2022-01-25 23:00:00,0.9349,0.974,0.9115,0.9339
2022-01-26 00:00:00,0.9387,0.9446,0.925,0.9299
2022-01-26 01:00:00,0.9298,0.9298,0.8919,0.8997
2022-01-26 02:00:00,0.9,0.9113,0.8967,0.9036
2022-01-26 03:00:00,0.9062,0.925,0.9055,0.9192
2022-01-26 04:00:00,0.9169,0.925,0.906,0.9089
2022-01-26 05:00:00,0.9062,0.9205,0.906,0.916
2022-01-26 06:00:00,0.919,0.9228,0.9126,0.9205
2022-01-26 07:00:00,0.9217,0.9224,0.9019,0.9032
2022-01-26 08:00:00,0.9022,0.9113,0.8916,0.9102
2022-01-26 09:00:00,0.9103,0.919,0.8988,0.9066
2022-01-26 10:00:00,0.9079,0.9386,0.8896,0.8998
2022-01-26 11:00:00,0.8956,0.9064,0.8935,0.9
2022-01-26 12:00:00,0.902,0.9079,0.8994,0.9058
2022-01-26 13:00:00,0.9047,0.9078,0.8916,0.8988
2022-01-26 14:00:00,0.9067,0.9259,0.8877,0.8966
2022-01-26 15:00:00,0.8913,0.8913,0.8595,0.8712
2022-01-26 16:00:00,0.878,0.8795,0.8424,0.8424
2022-01-26 17:00:00,0.8416,0.8572,0.8375,0.8545
2022-01-26 18:00:00,0.8584,0.879,0.8584,0.8624
2022-01-26 19:00:00,0.8581,0.8928,0.8541,0.8928
2022-01-26 20:00:00,0.8901,0.8927,0.8426,0.8426
2022-01-26 21:00:00,0.8409,0.8484,0.8304,0.8455
2022-01-26 22:00:00,0.8492,0.8515,0.8252,0.8334
2022-01-26 23:00:00,0.8334,0.8405,0.8334,0.8375
2022-01-27 00:00:00,0.8413,0.8414,0.8361,0.8401
2022-01-27 01:00:00,0.8384,0.8558,0.836,0.8455
2022-01-27 02:00:00,0.8467,0.8677,0.8467,0.8635
2022-01-27 03:00:00,0.8651,0.87,0.8564,0.87
2022-01-27 04:00:00,0.8715,0.8795,0.8658,0.8697
2022-01-27 05:00:00,0.8686,0.8776,0.8609,0.8614
2022-01-27 06:00:00,0.8614,0.8802,0.8614,0.877
2022-01-27 07:00:00,0.8767,0.883,0.8734,0.8817
2022-01-27 08:00:00,0.8845,0.8908,0.8802,0.8833
2022-01-27 09:00:00,0.886,0.8974,0.886,0.8923
2022-01-27 10:00:00,0.8899,0.9022,0.8776,0.8856
2022-01-27 11:00:00,0.885,0.8889,0.8763,0.8828
2022-01-27 12:00:00,0.8829,0.8845,0.8743,0.8757
2022-01-27 13:00:00,0.8756,0.8758,0.8706,0.8755
2022-01-27 14:00:00,0.8756,0.8776,0.8628,0.8673
2022-01-27 15:00:00,0.867,0.8704,0.836,0.836
2022-01-27 16:00:00,0.8361,0.8551,0.8351,0.8525
2022-01-27 17:00:00,0.8517,0.8691,0.8338,0.8668
2022-01-27 18:00:00,0.8668,0.8845,0.865,0.8845
2022-01-27 19:00:00,0.8823,0.8846,0.8699,0.8709
2022-01-27 20:00:00,0.8777,0.8828,0.8681,0.8696
2022-01-27 21:00:00,0.8692,0.873,0.8574,0.8718
2022-01-27 22:00:00,0.8718,0.883,0.8698,0.8823
2022-01-27 23:00:00,0.8832,0.8838,0.8719,0.8782
2022-01-28 00:00:00,0.8797,0.8806,0.8752,0.8784
2022-01-28 01:00:00,0.8791,0.8899,0.8753,0.8753
2022-01-28 02:00:00,0.8741,0.8783,0.871,0.8752
2022-01-28 03:00:00,0.8752,0.8789,0.865,0.8671
2022-01-28 04:00:00,0.8666,0.8753,0.8628,0.8679
2022-01-28 05:00:00,0.8682,0.8802,0.8614,0.8797
2022-01-28 06:00:00,0.8797,0.8941,0.8775,0.88
2022-01-28 07:00:00,0.8793,0.8829,0.8612,0.8654
2022-01-28 08:00:00,0.8638,0.8811,0.8638,0.8808
2022-01-28 09:00:00,0.8808,0.9004,0.8774,0.889
2022-01-28 10:00:00,0.8906,0.9086,0.8906,0.9053
2022-01-28 11:00:00,0.9069,0.9202,0.9069,0.9134
2022-01-28 12:00:00,0.9105,0.9142,0.902,0.9047
2022-01-28 13:00:00,0.9026,0.9112,0.9001,0.9099
2022-01-28 14:00:00,0.9099,0.9099,0.8971,0.9056
2022-01-28 15:00:00,0.9057,0.9228,0.9014,0.9181
2022-01-28 16:00:00,0.9175,0.926,0.9175,0.9184
2022-01-28 17:00:00,0.9183,0.92,0.9072,0.9099
2022-01-28 18:00:00,0.91,0.9334,0.9095,0.9303
2022-01-28 19:00:00,0.9314,0.9525,0.9271,0.9432
2022-01-28 20:00:00,0.9421,0.9502,0.9252,0.9312
2022-01-28 21:00:00,0.9312,0.9386,0.9265,0.9357
2022-01-28 22:00:00,0.9367,0.9421,0.9342,0.9367
2022-01-28 23:00:00,0.9366,0.9496,0.9359,0.9453
2022-01-29 00:00:00,0.9464,0.9473,0.9379,0.9395
2022-01-29 01:00:00,0.94,0.9458,0.94,0.9434
2022-01-29 02:00:00,0.9452,0.9547,0.9425,0.9547
2022-01-29 03:00:00,0.9547,0.9547,0.9468,0.9501
2022-01-29 04:00:00,0.9461,0.9461,0.9347,0.94
2022-01-29 05:00:00,0.9383,0.94,0.9356,0.9381
2022-01-29 06:00:00,0.9371,0.9412,0.9323,0.9374
2022-01-29 07:00:00,0.9414,0.9503,0.9392,0.9503
2022-01-29 08:00:00,0.9503,0.967,0.9429,0.967
2022-01-29 09:00:00,0.9658,0.9796,0.9217,0.929
2022-01-29 10:00:00,0.9276,0.9344,0.923,0.9289
2022-01-29 11:00:00,0.9262,0.9294,0.9184,0.9278
2022-01-29 12:00:00,0.9293,0.9387,0.9293,0.9357
2022-01-29 13:00:00,0.9381,0.9433,0.9322,0.9423
2022-01-29 14:00:00,0.9449,0.948,0.9372,0.9405
2022-01-29 15:00:00,0.9399,0.9666,0.9399,0.9514
2022-01-29 16:00:00,0.9514,0.9616,0.9514,0.9594
2022-01-29 17:00:00,0.9585,0.9585,0.9442,0.9519
2022-01-29 18:00:00,0.9527,0.9527,0.9458,0.9517
2022-01-29 19:00:00,0.9485,0.9594,0.9364,0.9394
2022-01-29 20:00:00,0.9368,0.9455,0.9366,0.9455
2022-01-29 21:00:00,0.9428,0.9447,0.9419,0.9425
2022-01-29 22:00:00,0.9457,0.9527,0.9453,0.9467
2022-01-29 23:00:00,0.9449,0.9511,0.9449,0.9511
2022-01-30 00:00:00,0.951,0.9561,0.9499,0.9525
2022-01-30 01:00:00,0.951,0.951,0.9461,0.949
2022-01-30 02:00:00,0.949,0.9555,0.949,0.9532
2022-01-30 03:00:00,0.9535,0.9535,0.9467,0.9508
2022-01-30 04:00:00,0.9499,0.9529,0.944,0.9478
2022-01-30 05:00:00,0.948,0.9527,0.947,0.9527
2022-01-30 06:00:00,0.9538,0.9554,0.9493,0.9504
2022-01-30 07:00:00,0.9492,0.9548,0.9461,0.9461
2022-01-30 08:00:00,0.943,0.9449,0.9368,0.9389
2022-01-30 09:00:00,0.9404,0.9404,0.912,0.9188
2022-01-30 10:00:00,0.9209,0.9291,0.9195,0.9285
2022-01-30 11:00:00,0.9294,0.9303,0.9223,0.9223
2022-01-30 12:00:00,0.9193,0.9294,0.9173,0.9281
2022-01-30 13:00:00,0.9286,0.9311,0.9252,0.9267
2022-01-30 14:00:00,0.9243,0.9243,0.9138,0.9158
2022-01-30 15:00:00,0.9189,0.9212,0.914,0.9187
2022-01-30 16:00:00,0.921,0.9262,0.9164,0.9184
2022-01-30 17:00:00,0.9203,0.9218,0.9148,0.9182
2022-01-30 18:00:00,0.9172,0.9476,0.9172,0.9368
2022-01-30 19:00:00,0.9408,0.98,0.9184,0.9184
2022-01-30 20:00:00,0.921,0.9418,0.907,0.9252
2022-01-30 21:00:00,0.9184,0.9294,0.9057,0.9247
2022-01-30 22:00:00,0.9196,0.9239,0.9088,0.9128
2022-01-30 23:00:00,0.9092,0.91,0.8996,0.8996
2022-01-31 00:00:00,0.8997,0.9098,0.8995,0.9088
2022-01-31 01:00:00,0.9078,0.9095,0.9021,0.9021
2022-01-31 02:00:00,0.9023,0.9085,0.9023,0.9054
2022-01-31 03:00:00,0.9085,0.9118,0.9085,0.9092
2022-01-31 04:00:00,0.9111,0.9173,0.9107,0.9132
2022-01-31 05:00:00,0.9132,0.9154,0.9132,0.9154
2022-01-31 06:00:00,0.919,0.919,0.8959,0.9081
2022-01-31 07:00:00,0.9063,0.9063,0.8961,0.9012
2022-01-31 08:00:00,0.9025,0.9157,0.8991,0.9115
2022-01-31 09:00:00,0.912,0.9211,0.9097,0.9211
2022-01-31 10:00:00,0.9211,0.949,0.9211,0.9322
2022-01-31 11:00:00,0.935,0.9471,0.931,0.9438
2022-01-31 12:00:00,0.9454,0.948,0.9394,0.9435
2022-01-31 13:00:00,0.9435,0.9459,0.9398,0.9423
2022-01-31 14:00:00,0.9423,0.9494,0.9403,0.9422
2022-01-31 15:00:00,0.9435,0.9496,0.9403,0.9476
2022-01-31 16:00:00,0.9465,0.9622,0.9463,0.9622
2022-01-31 17:00:00,0.9603,0.966,0.9556,0.9572
2022-01-31 18:00:00,0.9587,0.9829,0.9587,0.961
2022-01-31 19:00:00,0.9635,0.9716,0.952,0.9594
2022-01-31 20:00:00,0.9591,0.9592,0.9477,0.9492
2022-01-31 21:00:00,0.9522,0.9563,0.9516,0.9563
2022-01-31 22:00:00,0.9547,0.966,0.9543,0.966
2022-01-31 23:00:00,0.9643,0.9666,0.9593,0.9593
2022-02-01 00:00:00,0.9597,0.9612,0.9545,0.9545
2022-02-01 01:00:00,0.9543,0.9543,0.945,0.9472
2022-02-01 02:00:00,0.9489,0.9513,0.9464,0.9492
2022-02-01 03:00:00,0.9491,0.9558,0.949,0.9514
2022-02-01 04:00:00,0.9541,0.9652,0.9408,0.9408
2022-02-01 05:00:00,0.9402,0.948,0.9392,0.9436
2022-02-01 06:00:00,0.9444,0.9527,0.9432,0.9512
2022-02-01 07:00:00,0.951,0.956,0.9493,0.9535
2022-02-01 08:00:00,0.9555,0.9556,0.9492,0.9519
2022-02-01 09:00:00,0.9523,0.9601,0.9415,0.9456
2022-02-01 10:00:00,0.9448,0.9465,0.936,0.9465
2022-02-01 11:00:00,0.9464,0.9555,0.9443,0.9555
2022-02-01 12:00:00,0.9506,0.9558,0.9461,0.952
2022-02-01 13:00:00,0.9512,0.9546,0.9448,0.9448
2022-02-01 14:00:00,0.9457,0.9488,0.9416,0.9432
2022-02-01 15:00:00,0.9463,0.9531,0.9438,0.9483
2022-02-01 16:00:00,0.9477,0.9553,0.9477,0.954
2022-02-01 17:00:00,0.9548,0.9574,0.9526,0.9558
2022-02-01 18:00:00,0.9543,0.9554,0.951,0.9523
