datetime,BTCUSDT_open,BTCUSDT_high,BTCUSDT_low,BTCUSDT_close
2022-02-23 06:00:00,37998.28,38141.56,37927.57,37970.07
2022-02-23 07:00:00,38029.68,38192.09,38002.8,38154.33
2022-02-23 08:00:00,38161.59,38787.94,38091.65,38672.32
2022-02-23 09:00:00,38671.57,38982.81,38602.26,38906.03
2022-02-23 10:00:00,38904.84,38939.13,38765.53,38840.18
2022-02-23 11:00:00,38860.3,39111.11,38743.83,38800.64
2022-02-23 12:00:00,38802.23,39087.56,38745.46,39006.38
2022-02-23 13:00:00,39003.6,39257.92,38896.6,38974.62
2022-02-23 14:00:00,38988.3,38989.14,38624.06,38644.42
2022-02-23 15:00:00,38661.39,38667.58,38436.49,38485.63
2022-02-23 16:00:00,38497.05,38700.37,38351.56,38638.79
2022-02-23 17:00:00,38641.35,38759.46,38029.83,38082.56
2022-02-23 18:00:00,38048.19,38094.24,37713.4,37786.89
2022-02-23 19:00:00,37741.63,37872.92,37538.48,37613.74
2022-02-23 20:00:00,37598.68,37715.34,37391.68,37668.63
2022-02-23 21:00:00,37684.25,37790.87,37436.11,37501.27
2022-02-23 22:00:00,37535.0,37651.01,37129.27,37599.17
2022-02-23 23:00:00,37577.25,37723.07,37056.65,37255.4
2022-02-24 00:00:00,37255.96,37411.5,36699.0,36751.34
2022-02-24 01:00:00,36748.77,37063.42,36644.89,36974.62
2022-02-24 02:00:00,36990.61,37016.78,35831.01,35924.61
2022-02-24 03:00:00,35962.12,35962.12,34628.84,34949.15
2022-02-24 04:00:00,34922.67,35203.86,34531.08,35100.14
2022-02-24 05:00:00,35093.87,35093.87,34323.54,34651.08
2022-02-24 06:00:00,34679.08,35081.49,34600.31,34893.38
2022-02-24 07:00:00,34888.82,35513.0,34393.58,35275.45
2022-02-24 08:00:00,35276.21,35881.08,35164.75,35502.68
2022-02-24 09:00:00,35539.8,35789.08,35281.99,35323.0
2022-02-24 10:00:00,35345.74,35459.75,34839.69,35212.57
2022-02-24 11:00:00,35217.42,35568.47,34900.0,35397.8
2022-02-24 12:00:00,35380.26,35453.87,35050.38,35259.61
2022-02-24 13:00:00,35251.68,35685.38,35124.48,35489.3
2022-02-24 14:00:00,35500.78,35905.98,35216.93,35647.93
2022-02-24 15:00:00,35641.75,36106.32,35431.97,35928.15
2022-02-24 16:00:00,35928.61,36322.26,35859.18,36168.25
2022-02-24 17:00:00,36131.66,36159.76,35733.12,35825.28
2022-02-24 18:00:00,35866.71,36786.01,35807.67,36387.98
2022-02-24 19:00:00,36418.23,37355.57,36229.46,37339.35
2022-02-24 20:00:00,37311.99,39760.77,37299.99,38404.42
2022-02-24 21:00:00,38404.42,38639.13,38185.73,38414.18
2022-02-24 22:00:00,38444.55,38452.06,37762.57,37863.92
2022-02-24 23:00:00,37856.0,38384.29,37856.0,38329.44
2022-02-25 00:00:00,38316.16,38761.8,38224.49,38237.94
2022-02-25 01:00:00,38249.02,38910.82,38132.15,38576.33
2022-02-25 02:00:00,38579.03,38816.63,38497.16,38816.63
2022-02-25 03:00:00,38800.98,39006.43,38519.37,38924.58
2022-02-25 04:00:00,38888.06,38928.47,38656.13,38721.36
2022-02-25 05:00:00,38702.63,38772.87,38303.31,38462.3
2022-02-25 06:00:00,38455.99,38732.19,38376.19,38702.69
2022-02-25 07:00:00,38678.52,38819.77,38384.86,38453.41
2022-02-25 08:00:00,38440.98,38514.25,38170.83,38334.69
2022-02-25 09:00:00,38341.14,38754.47,38025.08,38678.06
2022-02-25 10:00:00,38682.31,38779.0,38472.22,38548.25
2022-02-25 11:00:00,38555.57,38867.95,38362.78,38749.03
2022-02-25 12:00:00,38755.29,39513.76,38749.24,39337.77
2022-02-25 13:00:00,39413.29,39677.77,39243.15,39363.41
2022-02-25 14:00:00,39354.4,39456.65,38948.21,38997.33
2022-02-25 15:00:00,39030.84,39567.59,38714.01,39397.76
2022-02-25 16:00:00,39409.42,39592.77,39189.95,39372.55
2022-02-25 17:00:00,39367.99,39404.64,38888.86,38972.95
2022-02-25 18:00:00,38983.96,39046.39,38550.0,38645.97
2022-02-25 19:00:00,38647.5,38954.68,38546.51,38680.36
2022-02-25 20:00:00,38670.75,39219.31,38635.48,39126.92
2022-02-25 21:00:00,39100.14,39219.95,38944.51,38975.93
2022-02-25 22:00:00,38949.49,39484.61,38856.0,39432.09
2022-02-25 23:00:00,39424.78,39596.13,39123.03,39222.89
2022-02-26 00:00:00,39210.17,40312.8,39073.16,39760.75
2022-02-26 01:00:00,39748.82,39804.15,39569.06,39713.85
2022-02-26 02:00:00,39671.78,39724.87,39472.24,39537.33
2022-02-26 03:00:00,39581.33,39593.61,39254.38,39386.26
2022-02-26 04:00:00,39414.09,39459.75,39269.35,39351.61
2022-02-26 05:00:00,39349.92,39374.41,38957.91,39012.86
2022-02-26 06:00:00,38998.69,39211.65,38998.14,39134.25
2022-02-26 07:00:00,39137.93,39196.56,38967.48,39195.58
2022-02-26 08:00:00,39195.58,39544.94,38673.22,38761.73
2022-02-26 09:00:00,38767.97,38904.36,38579.15,38764.08
2022-02-26 10:00:00,38783.83,39051.28,38783.83,39003.82
2022-02-26 11:00:00,39006.92,39163.3,38791.94,38951.37
2022-02-26 12:00:00,38967.68,39024.35,38783.63,39000.0
2022-02-26 13:00:00,38998.18,39238.08,38927.23,39102.54
2022-02-26 14:00:00,39079.9,39371.23,38957.99,39242.02
2022-02-26 15:00:00,39211.83,39358.89,39148.26,39229.57
2022-02-26 16:00:00,39186.48,39317.5,39054.67,39142.35
2022-02-26 17:00:00,39131.38,39308.58,39103.13,39253.45
2022-02-26 18:00:00,39249.87,39249.87,38838.51,39118.74
2022-02-26 19:00:00,39128.31,39457.46,39128.31,39264.29
2022-02-26 20:00:00,39264.29,39445.5,39220.45,39324.44
2022-02-26 21:00:00,39291.83,39675.57,39291.83,39447.89
2022-02-26 22:00:00,39443.95,39475.0,39050.35,39155.77
2022-02-26 23:00:00,39125.17,39168.31,38910.94,39124.1
2022-02-27 00:00:00,39107.41,39257.79,38722.9,38797.74
2022-02-27 01:00:00,38811.38,38844.69,38171.0,38233.12
2022-02-27 02:00:00,38221.38,38554.43,38193.72,38523.44
2022-02-27 03:00:00,38537.04,38683.57,38537.04,38598.99
2022-02-27 04:00:00,38591.36,38646.46,38461.39,38556.17
2022-02-27 05:00:00,38561.88,38735.11,38473.49,38570.33
2022-02-27 06:00:00,38600.3,38861.49,38600.3,38813.4
2022-02-27 07:00:00,38819.1,38871.47,38758.58,38794.63
2022-02-27 08:00:00,38802.55,38886.1,38625.67,38820.82
2022-02-27 09:00:00,38828.23,39125.89,38749.37,39090.61
2022-02-27 10:00:00,39090.1,39457.73,38997.2,39394.05
2022-02-27 11:00:00,39405.26,39545.68,39238.39,39500.0
2022-02-27 12:00:00,39522.36,39845.97,39379.27,39764.36
2022-02-27 13:00:00,39750.78,39793.21,38588.11,39080.3
2022-02-27 14:00:00,39084.21,39175.86,38689.88,38789.28
2022-02-27 15:00:00,38822.72,39426.38,38748.38,39352.34
2022-02-27 16:00:00,39367.04,39453.68,38951.24,39064.13
2022-02-27 17:00:00,39046.11,39134.09,38940.41,38985.81
2022-02-27 18:00:00,38948.03,39145.97,38792.46,38925.88
2022-02-27 19:00:00,38941.83,38964.09,37511.35,37586.36
2022-02-27 20:00:00,37567.29,38291.27,37375.99,37953.12
2022-02-27 21:00:00,37957.32,38037.57,36999.0,37370.51
2022-02-27 22:00:00,37354.95,37878.79,37354.95,37802.01
2022-02-27 23:00:00,37818.26,37823.42,37347.12,37692.51
2022-02-28 00:00:00,37694.84,37800.64,37450.27,37554.08
2022-02-28 01:00:00,37597.81,38386.24,37597.81,38004.7
2022-02-28 02:00:00,38000.04,38110.73,37568.05,37764.79
2022-02-28 03:00:00,37765.03,37882.88,37670.06,37831.54
2022-02-28 04:00:00,37842.0,38041.41,37740.17,37803.37
2022-02-28 05:00:00,37781.68,38010.0,37743.82,37842.66
2022-02-28 06:00:00,37830.09,38120.87,37488.27,37982.42
2022-02-28 07:00:00,37949.51,38460.13,37908.27,38347.47
2022-02-28 08:00:00,38336.36,38673.2,38179.32,38329.5
2022-02-28 09:00:00,38299.4,38556.03,38111.11,38111.11
2022-02-28 10:00:00,38111.11,38451.79,38088.67,38399.34
2022-02-28 11:00:00,38399.77,38478.22,38123.65,38336.47
2022-02-28 12:00:00,38365.17,38636.28,38160.41,38281.15
2022-02-28 13:00:00,38251.84,38343.76,37934.99,38000.32
2022-02-28 14:00:00,37998.94,39887.98,37998.94,39823.56
2022-02-28 15:00:00,39846.7,40891.19,39613.23,40845.12
2022-02-28 16:00:00,40876.75,41325.27,40701.62,40993.66
2022-02-28 17:00:00,41003.84,41437.5,40744.56,41428.68
2022-02-28 18:00:00,41430.82,41450.5,41040.47,41196.57
2022-02-28 19:00:00,41192.27,41390.74,41012.38,41334.93
2022-02-28 20:00:00,41334.93,41943.96,41275.12,41896.29
2022-02-28 21:00:00,41887.98,41887.98,41500.82,41677.02
2022-02-28 22:00:00,41700.0,44198.61,41636.87,43027.2
2022-02-28 23:00:00,43045.81,43343.94,42685.72,43179.1
2022-03-01 00:00:00,43168.1,43727.21,43168.1,43561.17
2022-03-01 01:00:00,43562.28,43617.92,43239.83,43279.4
2022-03-01 02:00:00,43261.19,43305.19,42974.35,43153.59
2022-03-01 03:00:00,43159.41,43174.75,42859.73,43153.53
2022-03-01 04:00:00,43142.7,43400.08,43076.14,43400.08
2022-03-01 05:00:00,43395.94,43395.96,43150.0,43204.52
2022-03-01 06:00:00,43206.52,43477.88,43049.98,43422.32
2022-03-01 07:00:00,43441.05,43554.41,43298.37,43494.5
2022-03-01 08:00:00,43486.37,43710.94,43328.4,43513.16
2022-03-01 09:00:00,43495.91,43495.91,43139.65,43261.83
